County,State,2010,2011,2012,2013,2014,2015,2016
Jackson,Iowa,"19,830","19,734","19,685","19,517","19,431","19,366","19,393"
Jasper,Iowa,"36,812","36,622","36,574","36,728","36,886","36,750","36,736"
Jefferson,Iowa,"16,837","17,096","17,278","17,629","17,793","17,906","18,063"
Johnson,Iowa,"131,337","134,086","137,103","140,151","142,730","144,943","146,928"
Jones,Iowa,"20,689","20,743","20,601","20,519","20,548","20,433","20,392"
Keokuk,Iowa,"10,508","10,398","10,427","10,337","10,283","10,171","10,170"
Kossuth,Iowa,"15,525","15,400","15,413","15,332","15,229","15,158","15,104"
Lee,Iowa,"35,849","35,569","35,541","35,236","35,059","34,894","34,458"
Linn,Iowa,"211,705","214,207","215,485","216,488","218,129","220,271","222,188"
Louisa,Iowa,"11,382","11,381","11,360","11,348","11,250","11,285","11,221"
Lucas,Iowa,"8,898","8,880","8,778","8,697","8,636","8,610","8,555"
Lyon,Iowa,"11,567","11,692","11,757","11,695","11,703","11,747","11,780"
Madison,Iowa,"15,739","15,740","15,641","15,483","15,616","15,720","15,796"
Mahaska,Iowa,"22,408","22,501","22,398","22,421","22,363","22,312","22,186"
Marion,Iowa,"33,225","33,270","33,274","33,014","33,269","33,109","33,146"
Marshall,Iowa,"40,722","41,013","41,032","40,995","40,722","40,352","40,135"
Mills,Iowa,"15,076","15,029","14,873","14,905","14,760","14,882","15,053"
Mitchell,Iowa,"10,793","10,709","10,716","10,669","10,700","10,676","10,644"
Monona,Iowa,"9,248","9,238","9,091","9,032","8,899","8,866","8,786"
Monroe,Iowa,"7,997","8,060","8,073","7,979","7,958","7,924","7,836"
Montgomery,Iowa,"10,690","10,632","10,540","10,404","10,384","10,149","10,124"
Muscatine,Iowa,"42,803","42,842","42,916","43,010","43,028","43,068","42,968"
O'Brien,Iowa,"14,408","14,218","14,156","14,045","14,042","13,926","13,926"
Osceola,Iowa,"6,459","6,316","6,204","6,236","6,231","6,160","6,095"
Page,Iowa,"15,921","15,898","15,702","15,516","15,483","15,462","15,329"
Palo Alto,Iowa,"9,398","9,354","9,279","9,164","9,120","9,140","9,034"
Plymouth,Iowa,"24,975","24,818","24,830","24,931","24,911","24,899","25,180"
Pocahontas,Iowa,"7,289","7,204","7,143","7,112","7,097","6,967","6,854"
Polk,Iowa,"432,352","438,737","444,671","452,657","460,898","467,304","474,277"
Pottawattamie,Iowa,"93,363","93,498","92,916","92,855","93,258","93,563","93,518"
Poweshiek,Iowa,"18,925","18,896","18,728","18,606","18,608","18,358","18,279"
Ringgold,Iowa,"5,113","5,049","5,027","4,971","4,961","4,977","4,985"
Sac,Iowa,"10,354","10,222","10,161","10,030","10,048","9,966","9,816"
Scott,Iowa,"165,272","166,629","168,347","170,201","171,310","171,903","172,135"
Shelby,Iowa,"12,174","11,992","12,024","11,899","11,878","11,789","11,655"
Sioux,Iowa,"33,754","34,016","34,282","34,503","34,635","34,754","34,944"
Story,Iowa,"89,654","91,136","92,003","93,877","95,802","96,636","96,893"
Tama,Iowa,"17,719","17,614","17,501","17,430","17,309","17,217","17,192"
Taylor,Iowa,"6,322","6,304","6,260","6,233","6,175","6,246","6,213"
Union,Iowa,"12,513","12,556","12,586","12,616","12,627","12,430","12,360"
Van Buren,Iowa,"7,577","7,513","7,449","7,434","7,390","7,296","7,241"
Wapello,Iowa,"35,682","35,486","35,431","35,507","35,426","35,456","35,265"
Warren,Iowa,"46,340","46,645","46,895","47,358","47,827","48,468","49,356"
Washington,Iowa,"21,688","21,822","21,903","21,944","22,029","22,145","22,126"
Wayne,Iowa,"6,419","6,337","6,329","6,385","6,376","6,359","6,447"
Webster,Iowa,"37,879","37,745","37,323","37,327","37,069","37,066","36,781"
Winnebago,Iowa,"10,846","10,696","10,602","10,430","10,556","10,603","10,602"
Winneshiek,Iowa,"21,076","21,051","21,041","20,840","20,696","20,745","20,427"
Woodbury,Iowa,"102,388","102,720","102,321","102,284","102,292","102,492","102,686"
Worth,Iowa,"7,583","7,561","7,496","7,489","7,557","7,503","7,471"
Wright,Iowa,"13,185","13,034","13,020","12,982","12,906","12,841","12,839"
Allen,Kansas,"13,363","13,350","13,306","13,069","12,892","12,683","12,670"
Anderson,Kansas,"8,103","8,060","7,919","7,854","7,881","7,816","7,812"
Atchison,Kansas,"16,855","16,753","16,774","16,688","16,523","16,418","16,376"
Barber,Kansas,"4,852","4,923","4,867","4,909","4,881","4,824","4,673"
Barton,Kansas,"27,675","27,697","27,520","27,443","27,334","27,159","26,878"
Bourbon,Kansas,"15,135","14,944","14,878","14,835","14,797","14,733","14,624"
Brown,Kansas,"9,968","9,972","9,866","9,912","9,785","9,708","9,641"
Butler,Kansas,"65,901","65,838","65,669","65,671","65,861","66,249","66,652"
Chase,Kansas,"2,784","2,769","2,743","2,690","2,654","2,656","2,632"
Chautauqua,Kansas,"3,649","3,610","3,559","3,529","3,456","3,387","3,360"
Cherokee,Kansas,"21,526","21,359","21,192","20,899","20,768","20,535","20,256"
Cheyenne,Kansas,"2,714","2,693","2,667","2,671","2,686","2,674","2,667"
Clark,Kansas,"2,199","2,120","2,165","2,178","2,114","2,081","2,065"
Clay,Kansas,"8,548","8,529","8,504","8,388","8,301","8,293","8,105"
Cloud,Kansas,"9,519","9,421","9,417","9,355","9,331","9,188","9,070"
Coffey,Kansas,"8,585","8,487","8,467","8,377","8,394","8,291","8,339"
Comanche,Kansas,"1,886","1,882","1,914","1,926","1,950","1,827","1,838"
Cowley,Kansas,"36,312","36,249","36,267","36,170","35,896","35,752","35,650"
Crawford,Kansas,"39,172","39,204","39,324","39,250","39,269","39,139","39,046"
Decatur,Kansas,"2,957","2,927","2,884","2,908","2,897","2,923","2,828"
Dickinson,Kansas,"19,773","19,685","19,705","19,433","19,305","19,206","18,956"
Doniphan,Kansas,"7,960","7,960","7,890","7,876","7,840","7,788","7,718"
Douglas,Kansas,"111,198","112,479","113,313","114,713","116,445","118,141","119,662"
Edwards,Kansas,"3,054","3,019","2,965","2,967","3,025","2,955","2,899"
Elk,Kansas,"2,867","2,786","2,661","2,633","2,696","2,574","2,511"
Ellis,Kansas,"28,424","28,765","29,089","29,030","28,963","28,999","28,942"
Ellsworth,Kansas,"6,513","6,461","6,462","6,365","6,345","6,302","6,302"
Finney,Kansas,"36,952","37,115","37,110","37,073","37,119","37,148","36,885"
Ford,Kansas,"34,008","34,372","34,665","34,879","34,930","34,629","34,552"
Franklin,Kansas,"25,985","25,856","25,825","25,734","25,531","25,469","25,523"
Geary,Kansas,"35,243","35,294","37,903","36,797","36,446","36,681","35,223"
Gove,Kansas,"2,692","2,726","2,759","2,794","2,748","2,698","2,622"
Graham,Kansas,"2,602","2,635","2,581","2,588","2,557","2,591","2,562"
Grant,Kansas,"7,825","7,896","7,832","7,846","7,787","7,724","7,675"
Gray,Kansas,"6,026","6,086","5,963","5,980","6,062","6,082","6,031"
Greeley,Kansas,"1,259","1,255","1,268","1,283","1,302","1,302","1,277"
Greenwood,Kansas,"6,680","6,611","6,426","6,358","6,288","6,233","6,112"
Hamilton,Kansas,"2,707","2,637","2,651","2,620","2,659","2,568","2,634"
Harper,Kansas,"6,008","5,937","5,862","5,842","5,829","5,781","5,667"
Harvey,Kansas,"34,740","34,691","34,754","34,715","34,597","34,802","34,726"
Haskell,Kansas,"4,273","4,235","4,215","4,126","4,101","4,089","4,026"
Hodgeman,Kansas,"1,920","1,957","1,927","1,924","1,883","1,869","1,851"
Jackson,Kansas,"13,462","13,427","13,401","13,310","13,437","13,285","13,270"
Jefferson,Kansas,"19,121","18,942","18,861","18,773","18,805","18,794","18,824"
Jewell,Kansas,"3,063","3,091","3,054","3,060","3,043","2,963","2,880"
Johnson,Kansas,"545,655","552,907","559,428","566,351","572,940","579,684","586,015"
Kearny,Kansas,"4,002","3,958","3,971","3,912","3,938","3,929","3,890"
Kingman,Kansas,"7,857","7,891","7,825","7,801","7,683","7,636","7,417"
Kiowa,Kansas,"2,569","2,558","2,513","2,534","2,532","2,570","2,507"
Labette,Kansas,"21,537","21,377","21,163","20,871","20,773","20,628","20,313"
Lane,Kansas,"1,736","1,743","1,684","1,698","1,666","1,630","1,593"
Leavenworth,Kansas,"76,520","77,075","77,644","78,082","78,554","79,119","80,244"
Lincoln,Kansas,"3,244","3,234","3,181","3,161","3,184","3,142","3,077"
Linn,Kansas,"9,626","9,612","9,485","9,543","9,536","9,580","9,606"
Logan,Kansas,"2,774","2,766","2,794","2,775","2,768","2,787","2,818"
Lyon,Kansas,"33,648","33,652","33,550","33,479","33,143","33,133","33,369"
McPherson,Kansas,"29,128","29,154","29,221","29,415","28,896","28,648","28,429"
Marion,Kansas,"12,671","12,545","12,376","12,205","12,188","12,053","12,017"
Marshall,Kansas,"10,111","9,983","10,026","9,973","9,945","9,845","9,789"
Meade,Kansas,"4,596","4,519","4,378","4,286","4,357","4,301","4,236"
Miami,Kansas,"32,882","32,737","32,669","32,834","32,868","32,758","32,923"
Mitchell,Kansas,"6,336","6,284","6,301","6,309","6,248","6,294","6,207"
Montgomery,Kansas,"35,349","34,779","34,472","34,444","34,090","33,436","32,859"
Morris,Kansas,"5,918","5,864","5,849","5,719","5,664","5,628","5,558"
Morton,Kansas,"3,240","3,176","3,127","3,116","3,041","2,953","2,790"
Nemaha,Kansas,"10,159","10,088","10,067","10,092","10,087","10,094","10,089"
Neosho,Kansas,"16,475","16,447","16,420","16,383","16,325","16,287","16,127"
Ness,Kansas,"3,104","3,118","3,077","3,087","3,089","3,020","2,957"
Norton,Kansas,"5,664","5,656","5,586","5,614","5,534","5,536","5,491"
Osage,Kansas,"16,274","16,341","16,176","16,080","15,970","15,865","15,811"
Osborne,Kansas,"3,850","3,833","3,809","3,800","3,752","3,641","3,588"
Ottawa,Kansas,"6,096","6,064","6,029","6,044","6,030","5,934","5,905"
Pawnee,Kansas,"6,980","6,978","6,863","6,863","6,822","6,769","6,719"
Phillips,Kansas,"5,632","5,541","5,521","5,560","5,494","5,420","5,402"
Pottawatomie,Kansas,"21,727","22,028","22,331","22,574","22,740","23,123","23,605"
Pratt,Kansas,"9,641","9,644","9,758","9,778","9,768","9,697","9,557"
Rawlins,Kansas,"2,496","2,508","2,509","2,563","2,543","2,506","2,500"
Reno,Kansas,"64,552","64,429","64,205","64,079","63,701","63,596","63,184"
Republic,Kansas,"4,938","4,892","4,826","4,767","4,741","4,688","4,659"
Rice,Kansas,"10,115","10,097","9,990","9,978","9,971","9,925","9,782"
Riley,Kansas,"71,551","73,424","77,497","76,923","76,479","77,185","75,172"
Rooks,Kansas,"5,195","5,200","5,221","5,195","5,204","5,179","5,118"
Rush,Kansas,"3,314","3,211","3,208","3,176","3,161","3,098","3,054"
Russell,Kansas,"7,001","6,987","6,990","6,977","7,007","7,044","7,007"
Saline,Kansas,"55,780","55,778","55,829","55,750","55,511","55,429","54,955"
Scott,Kansas,"4,959","4,889","4,853","4,906","4,966","4,948","4,979"
Sedgwick,Kansas,"499,128","501,011","504,101","506,442","508,968","511,083","513,092"
Seward,Kansas,"22,970","23,128","23,353","23,311","23,303","23,273","22,897"
Shawnee,Kansas,"178,360","178,948","178,975","178,650","178,567","178,689","178,350"
Sheridan,Kansas,"2,530","2,502","2,491","2,500","2,502","2,475","2,485"
Sherman,Kansas,"6,018","6,053","6,120","6,090","6,067","5,964","5,955"
Smith,Kansas,"3,860","3,791","3,753","3,699","3,729","3,689","3,656"
Stafford,Kansas,"4,429","4,380","4,350","4,339","4,281","4,215","4,186"
Stanton,Kansas,"2,246","2,213","2,155","2,178","2,141","2,070","2,105"
Stevens,Kansas,"5,752","5,631","5,738","5,808","5,840","5,789","5,653"
Sumner,Kansas,"24,118","23,787","23,635","23,537","23,384","23,417","23,183"
Thomas,Kansas,"7,930","7,941","7,933","7,933","7,836","7,895","7,847"
Trego,Kansas,"3,006","2,954","2,941","2,945","2,895","2,907","2,852"
Wabaunsee,Kansas,"7,049","7,038","6,994","7,025","6,938","6,887","6,884"
Wallace,Kansas,"1,480","1,526","1,523","1,560","1,501","1,505","1,502"
Washington,Kansas,"5,785","5,820","5,727","5,626","5,610","5,568","5,564"
Wichita,Kansas,"2,239","2,259","2,228","2,192","2,188","2,167","2,131"
Wilson,Kansas,"9,389","9,238","9,120","9,091","8,970","8,845","8,698"
Woodson,Kansas,"3,308","3,322","3,275","3,215","3,187","3,144","3,189"
Wyandotte,Kansas,"157,633","158,011","159,379","160,933","162,246","163,682","164,785"
Adair,Kentucky,"18,757","18,987","18,934","19,124","19,262","19,162","19,259"
Allen,Kentucky,"20,037","20,176","20,232","20,316","20,493","20,660","20,721"
Anderson,Kentucky,"21,470","21,564","21,694","21,747","21,868","21,920","22,191"
Ballard,Kentucky,"8,260","8,269","8,285","8,252","8,188","8,216","8,046"
Barren,Kentucky,"42,116","42,321","42,607","42,937","43,034","43,546","43,763"
Bath,Kentucky,"11,618","11,715","11,780","11,975","12,130","12,203","12,246"
Bell,Kentucky,"28,709","28,658","28,284","28,031","27,826","27,370","27,204"
Boone,Kentucky,"119,373","121,710","123,412","125,022","126,677","128,161","129,503"
Bourbon,Kentucky,"19,965","20,051","20,050","20,026","20,055","20,166","20,130"
Boyd,Kentucky,"49,602","49,407","49,224","48,880","48,798","48,471","48,121"
Boyle,Kentucky,"28,674","28,800","29,020","29,632","29,810","29,782","29,965"
Bracken,Kentucky,"8,513","8,510","8,462","8,423","8,359","8,290","8,368"
Breathitt,Kentucky,"13,857","13,789","13,612","13,527","13,366","13,363","13,177"
Breckinridge,Kentucky,"20,043","20,272","20,074","20,042","19,883","19,979","19,982"
Bullitt,Kentucky,"74,500","75,195","75,902","76,878","78,023","78,677","79,222"
Butler,Kentucky,"12,735","12,718","12,738","12,704","12,736","12,734","12,686"
Caldwell,Kentucky,"13,010","13,027","12,992","12,887","12,848","12,748","12,634"
Calloway,Kentucky,"37,348","37,667","38,046","38,425","38,452","38,656","38,733"
Campbell,Kentucky,"90,623","91,241","91,246","91,423","91,971","92,124","92,257"
Carlisle,Kentucky,"5,083","5,034","5,027","4,959","4,961","4,852","4,783"
Carroll,Kentucky,"10,806","10,994","10,874","10,838","10,738","10,682","10,614"
Carter,Kentucky,"27,746","27,627","27,637","27,600","27,517","27,439","27,304"
Casey,Kentucky,"15,984","15,911","16,024","16,011","15,782","15,749","15,775"
Christian,Kentucky,"74,130","73,464","74,892","73,612","73,282","73,075","71,796"
Clark,Kentucky,"35,603","35,434","35,685","35,550","35,622","35,660","35,851"
Clay,Kentucky,"21,660","21,591","21,518","21,186","21,081","20,974","20,626"
Clinton,Kentucky,"10,244","10,158","10,270","10,175","10,203","10,183","10,200"
Crittenden,Kentucky,"9,297","9,249","9,220","9,178","9,175","9,168","9,131"
Cumberland,Kentucky,"6,864","6,870","6,855","6,790","6,722","6,737","6,731"
Daviess,Kentucky,"96,704","97,159","97,840","98,294","98,441","99,485","100,032"
Edmonson,Kentucky,"12,228","12,229","12,091","12,058","12,007","11,991","12,076"
Elliott,Kentucky,"7,843","7,782","7,633","7,551","7,532","7,548","7,491"
Estill,Kentucky,"14,713","14,654","14,503","14,482","14,441","14,373","14,315"
Fayette,Kentucky,"296,848","301,696","305,947","309,865","311,784","315,819","319,644"
Fleming,Kentucky,"14,400","14,483","14,525","14,536","14,476","14,578","14,481"
Floyd,Kentucky,"39,930","39,752","39,126","38,474","37,998","37,531","36,968"
Franklin,Kentucky,"49,253","49,313","49,453","49,478","49,725","50,070","50,292"
Fulton,Kentucky,"6,807","6,747","6,564","6,389","6,266","6,266","6,185"
Gallatin,Kentucky,"8,612","8,619","8,552","8,578","8,636","8,613","8,719"
Garrard,Kentucky,"16,941","16,868","17,006","16,992","16,972","17,207","17,382"
Grant,Kentucky,"24,677","24,765","24,521","24,565","24,829","24,736","24,910"
Graves,Kentucky,"37,262","37,613","37,566","37,406","37,583","37,248","37,217"
Grayson,Kentucky,"25,786","25,752","25,792","25,948","26,066","26,138","26,093"
Green,Kentucky,"11,230","11,191","11,277","11,154","11,017","10,951","10,969"
Greenup,Kentucky,"36,885","36,841","36,686","36,483","36,303","36,006","35,824"
Hancock,Kentucky,"8,551","8,588","8,642","8,626","8,681","8,641","8,723"
Hardin,Kentucky,"106,950","107,497","108,198","108,969","108,483","106,272","106,964"
Harlan,Kentucky,"29,222","29,129","28,681","28,489","28,014","27,506","26,996"
Harrison,Kentucky,"18,810","18,689","18,622","18,571","18,636","18,641","18,569"
Hart,Kentucky,"18,188","18,289","18,401","18,464","18,512","18,421","18,541"
Henderson,Kentucky,"46,260","46,334","46,419","46,338","46,366","46,344","46,212"
Henry,Kentucky,"15,376","15,375","15,336","15,432","15,547","15,563","15,834"
Hickman,Kentucky,"4,860","4,783","4,737","4,708","4,679","4,612","4,607"
Hopkins,Kentucky,"46,841","46,844","46,607","46,424","46,155","46,055","45,598"
Jackson,Kentucky,"13,480","13,384","13,307","13,391","13,307","13,325","13,364"
Jefferson,Kentucky,"742,054","746,361","751,629","759,183","761,725","764,946","767,464"
Jessamine,Kentucky,"48,682","48,892","49,467","50,120","50,871","51,809","52,219"
Johnson,Kentucky,"23,385","23,417","23,403","23,458","23,252","23,128","22,858"
Kenton,Kentucky,"159,961","160,526","161,704","163,131","163,623","164,478","164,962"
Knott,Kentucky,"16,355","16,312","16,127","16,092","15,944","15,680","15,492"
Knox,Kentucky,"31,851","31,878","31,494","31,638","31,540","31,465","31,471"
Larue,Kentucky,"14,169","14,179","14,048","14,019","14,106","14,110","14,018"
Laurel,Kentucky,"58,998","59,359","59,534","59,701","59,897","59,919","60,078"
Lawrence,Kentucky,"15,866","15,941","15,891","15,901","15,878","15,861","15,839"
Lee,Kentucky,"7,717","7,707","7,581","6,876","6,796","6,746","6,604"
Leslie,Kentucky,"11,278","11,237","11,140","10,985","10,830","10,644","10,431"
Letcher,Kentucky,"24,534","24,376","24,011","23,540","23,357","23,049","22,759"
Lewis,Kentucky,"13,837","13,837","13,839","13,751","13,830","13,663","13,516"
Lincoln,Kentucky,"24,724","24,721","24,404","24,438","24,429","24,342","24,382"
Livingston,Kentucky,"9,520","9,502","9,435","9,332","9,329","9,289","9,198"
Logan,Kentucky,"26,851","26,847","26,722","26,976","26,812","26,746","26,678"
Lyon,Kentucky,"8,329","8,435","8,446","8,452","8,411","8,474","8,238"
McCracken,Kentucky,"65,515","65,794","65,584","65,337","65,318","64,948","65,304"
McCreary,Kentucky,"18,328","18,283","18,051","17,925","17,922","17,883","17,548"
McLean,Kentucky,"9,515","9,508","9,490","9,453","9,407","9,395","9,337"
Madison,Kentucky,"83,468","84,775","85,394","85,934","87,080","88,212","89,532"
Magoffin,Kentucky,"13,306","13,220","13,061","12,941","12,980","12,784","12,668"
Marion,Kentucky,"19,840","20,001","19,918","19,928","19,079","19,212","19,135"
Marshall,Kentucky,"31,451","31,261","31,261","31,215","30,993","31,059","31,280"
Martin,Kentucky,"12,895","12,829","12,725","12,651","12,494","12,285","11,945"
Mason,Kentucky,"17,505","17,546","17,460","17,323","17,133","17,050","17,167"
Meade,Kentucky,"28,714","29,643","29,255","29,240","29,086","27,725","27,959"
Menifee,Kentucky,"6,371","6,419","6,338","6,341","6,304","6,373","6,449"
Mercer,Kentucky,"21,308","21,275","21,323","21,291","21,360","21,377","21,405"
Metcalfe,Kentucky,"10,147","10,070","9,983","9,960","9,997","9,925","10,020"
Monroe,Kentucky,"10,970","10,918","10,848","10,715","10,674","10,618","10,539"
Montgomery,Kentucky,"26,549","26,751","26,860","27,229","27,365","27,576","27,666"
Morgan,Kentucky,"13,726","13,719","13,531","13,362","13,343","13,267","13,260"
Muhlenberg,Kentucky,"31,657","31,528","31,382","31,323","31,302","31,245","31,150"
Nelson,Kentucky,"43,629","44,062","44,401","44,540","44,858","45,114","45,497"
Nicholas,Kentucky,"7,128","7,088","7,008","7,008","7,050","7,059","7,083"
Ohio,Kentucky,"23,834","23,985","24,021","23,975","23,948","24,021","24,158"
Oldham,Kentucky,"60,437","60,772","62,105","63,062","63,969","64,556","65,410"
Owen,Kentucky,"10,850","10,825","10,762","10,645","10,657","10,736","10,668"
Owsley,Kentucky,"4,748","4,806","4,681","4,599","4,502","4,445","4,472"
Pendleton,Kentucky,"14,915","14,662","14,552","14,565","14,476","14,487","14,595"
Perry,Kentucky,"28,669","28,698","28,295","27,982","27,554","27,373","27,197"
Pike,Kentucky,"65,074","64,908","64,582","63,853","62,931","61,781","60,431"
Powell,Kentucky,"12,643","12,618","12,471","12,470","12,349","12,226","12,266"
Pulaski,Kentucky,"63,190","63,510","63,514","63,793","63,866","63,862","64,013"
Robertson,Kentucky,"2,275","2,290","2,214","2,214","2,185","2,134","2,125"
Rockcastle,Kentucky,"17,081","17,108","17,057","16,742","16,826","16,932","16,872"
Rowan,Kentucky,"23,376","23,558","23,796","24,210","24,250","24,642","24,416"
Russell,Kentucky,"17,573","17,700","17,637","17,749","17,787","17,685","17,769"
Scott,Kentucky,"47,274","47,913","48,970","50,000","51,219","52,155","53,425"
Shelby,Kentucky,"42,189","42,848","43,656","44,460","45,089","45,787","46,548"
Simpson,Kentucky,"17,336","17,302","17,543","17,681","17,753","17,901","17,992"
Spencer,Kentucky,"17,201","17,466","17,518","17,678","17,813","18,072","18,336"
Taylor,Kentucky,"24,673","24,991","25,069","25,159","25,360","25,586","25,441"
Todd,Kentucky,"12,432","12,428","12,618","12,475","12,429","12,447","12,357"
Trigg,Kentucky,"14,322","14,214","14,410","14,300","14,131","14,218","14,302"
Trimble,Kentucky,"8,812","8,814","8,844","8,805","8,722","8,733","8,596"
Union,Kentucky,"15,276","15,262","15,082","15,061","15,072","14,951","14,765"
Warren,Kentucky,"114,341","115,862","117,389","119,575","121,394","124,122","126,419"
Washington,Kentucky,"11,695","11,690","11,821","11,849","11,901","12,007","12,109"
Wayne,Kentucky,"20,850","20,901","20,824","20,782","20,618","20,609","20,728"
Webster,Kentucky,"13,579","13,528","13,460","13,357","13,184","13,155","13,181"
Whitley,Kentucky,"35,718","35,854","35,768","35,870","35,833","36,109","36,108"
Wolfe,Kentucky,"7,361","7,362","7,194","7,279","7,252","7,241","7,189"
Woodford,Kentucky,"25,040","24,944","25,117","25,345","25,586","25,860","26,118"
Acadia Parish,Louisiana,"61,877","61,865","61,997","62,299","62,667","62,679","62,786"
Allen Parish,Louisiana,"25,702","25,740","25,622","25,664","25,714","25,631","25,680"
Ascension Parish,Louisiana,"107,890","110,075","112,218","114,636","117,282","119,374","121,558"
Assumption Parish,Louisiana,"23,333","23,185","23,072","23,199","23,047","22,898","22,756"
Avoyelles Parish,Louisiana,"42,106","41,795","41,572","41,275","41,088","40,979","40,983"
Beauregard Parish,Louisiana,"35,831","36,090","36,333","36,260","36,239","36,531","36,973"
Bienville Parish,Louisiana,"14,306","14,261","14,192","13,961","13,782","13,823","13,780"
Bossier Parish,Louisiana,"117,675","120,134","123,160","124,021","124,868","125,554","125,920"
Caddo Parish,Louisiana,"255,590","256,967","257,252","255,127","252,605","251,345","248,837"
Calcasieu Parish,Louisiana,"193,026","193,861","194,479","195,492","196,570","198,450","200,568"
Caldwell Parish,Louisiana,"10,148","10,123","10,042","9,984","9,950","10,045","10,074"
Cameron Parish,Louisiana,"6,917","6,673","6,631","6,713","6,726","6,825","6,896"
Catahoula Parish,Louisiana,"10,377","10,286","10,240","10,251","10,129","10,029","9,869"
Claiborne Parish,Louisiana,"17,175","16,940","16,868","16,662","16,402","16,261","16,146"
Concordia Parish,Louisiana,"20,839","20,842","20,501","20,500","20,479","20,228","19,970"
De Soto Parish,Louisiana,"26,670","26,779","27,023","27,089","27,061","27,101","27,190"
East Baton Rouge Parish,Louisiana,"440,912","441,564","442,955","444,181","445,119","445,512","446,677"
East Carroll Parish,Louisiana,"7,737","7,658","7,579","7,500","7,445","7,277","7,235"
East Feliciana Parish,Louisiana,"20,157","20,085","19,860","19,601","19,677","19,540","19,513"
Evangeline Parish,Louisiana,"33,956","33,842","33,748","33,827","33,758","33,724","33,667"
Franklin Parish,Louisiana,"20,810","20,771","20,573","20,508","20,432","20,386","20,370"
Grant Parish,Louisiana,"22,336","22,382","22,388","22,301","22,356","22,302","22,279"
Iberia Parish,Louisiana,"73,111","73,439","73,660","73,839","73,724","73,747","72,971"
Iberville Parish,Louisiana,"33,388","33,361","33,327","33,385","33,131","33,136","32,864"
Jackson Parish,Louisiana,"16,307","16,350","16,264","16,130","15,989","15,947","15,895"
Jefferson Parish,Louisiana,"432,610","434,089","433,954","434,264","434,078","435,175","436,572"
Jefferson Davis Parish,Louisiana,"31,632","31,592","31,445","31,295","31,447","31,431","31,388"
Lafayette Parish,Louisiana,"222,315","224,673","227,298","231,471","235,695","239,332","241,275"
Lafourche Parish,Louisiana,"96,745","97,078","97,177","97,276","97,886","98,314","98,506"
LaSalle Parish,Louisiana,"14,908","14,941","14,862","14,821","14,875","14,979","15,022"
Lincoln Parish,Louisiana,"46,850","47,058","47,026","47,233","47,198","47,434","47,473"
Livingston Parish,Louisiana,"128,337","129,828","131,478","133,668","135,168","137,116","139,627"
Madison Parish,Louisiana,"12,106","11,976","12,212","11,908","11,819","11,554","11,486"
Morehouse Parish,Louisiana,"27,873","27,479","27,375","26,938","26,652","26,301","25,894"
Natchitoches Parish,Louisiana,"39,528","39,386","39,339","39,118","39,124","39,004","39,024"
Orleans Parish,Louisiana,"347,772","360,735","369,787","378,637","383,940","389,742","391,843"
Ouachita Parish,Louisiana,"153,969","154,650","155,256","156,062","156,360","156,880","156,897"
Plaquemines Parish,Louisiana,"23,117","23,582","23,826","23,509","23,304","23,437","23,323"
Pointe Coupee Parish,Louisiana,"22,823","22,814","22,683","22,429","22,313","22,197","22,111"
Rapides Parish,Louisiana,"131,760","132,020","132,012","132,322","132,202","131,780","131,845"
Red River Parish,Louisiana,"9,099","9,083","9,072","8,957","8,757","8,711","8,621"
Richland Parish,Louisiana,"20,756","20,886","20,912","20,913","20,759","20,546","20,446"
Sabine Parish,Louisiana,"24,226","24,421","24,322","24,261","24,112","24,205","24,055"
St,Bernard Parish,"36,824","39,516","41,483","43,430","44,439","45,421","45,777"
St,Charles Parish,"52,818","52,390","52,420","52,614","52,678","52,572","52,796"
St,Helena Parish,"11,197","10,955","10,979","10,771","10,519","10,457","10,389"
St,James Parish,"22,048","21,784","21,634","21,607","21,515","21,481","21,433"
St,John the Baptist Parish,"45,591","45,066","44,719","43,570","43,714","43,523","43,401"
St,Landry Parish,"83,495","83,442","83,466","83,415","83,680","83,649","83,768"
St,Martin Parish,"52,224","52,760","52,614","52,901","53,256","53,831","53,771"
St,Mary Parish,"54,550","54,187","53,562","53,581","53,273","52,876","52,069"
St,Tammany Parish,"234,544","236,846","239,064","241,953","245,237","248,930","252,468"
Tangipahoa Parish,Louisiana,"121,485","122,700","123,646","125,520","127,010","128,716","130,619"
Tensas Parish,Louisiana,"5,229","5,092","4,999","4,933","4,853","4,772","4,656"
Terrebonne Parish,Louisiana,"111,506","111,635","111,708","112,707","113,482","113,817","113,006"
Union Parish,Louisiana,"22,833","22,757","22,520","22,454","22,558","22,487","22,528"
Vermilion Parish,Louisiana,"58,085","58,198","58,636","59,284","59,534","59,918","60,074"
Vernon Parish,Louisiana,"52,742","52,270","54,120","52,815","52,816","51,431","51,481"
Washington Parish,Louisiana,"47,089","47,127","46,676","46,407","46,319","46,358","46,387"
Webster Parish,Louisiana,"41,199","41,244","40,908","40,660","40,285","40,061","39,751"
West Baton Rouge Parish,Louisiana,"23,951","24,109","24,149","24,654","25,192","25,554","25,901"
West Carroll Parish,Louisiana,"11,576","11,520","11,499","11,453","11,526","11,287","11,136"
West Feliciana Parish,Louisiana,"15,641","15,517","15,476","15,462","15,379","15,383","15,327"
Winn Parish,Louisiana,"15,303","15,151","15,102","14,849","14,819","14,642","14,532"
