Location,total_votes,2000_republican_votes,2000_democrat_votes
"Illinois, Edgar",8232,4833.0,3216.0
"Illinois, Edwards",3260,2212.0,978.0
"Illinois, Effingham",14485,9855.0,4225.0
"Illinois, Fayette",9338,5200.0,3886.0
"Illinois, Ford",6153,3889.0,2090.0
"Illinois, Franklin",19212,8490.0,10201.0
"Illinois, Fulton",16277,6936.0,8940.0
"Illinois, Gallatin",3558,1591.0,1878.0
"Illinois, Greene",5767,3129.0,2490.0
"Illinois, Grundy",16584,8709.0,7516.0
"Illinois, Hamilton",4587,2519.0,1943.0
"Illinois, Hancock",9691,5134.0,4256.0
"Illinois, Hardin",2637,1366.0,1184.0
"Illinois, Henderson",3866,1708.0,2030.0
"Illinois, Henry",23470,10896.0,11921.0
"Illinois, Iroquois",13424,8685.0,4397.0
"Illinois, Jackson",23090,9823.0,11773.0
"Illinois, Jasper",5021,3119.0,1815.0
"Illinois, Jefferson",15360,8362.0,6685.0
"Illinois, Jersey",9413,4699.0,4355.0
"Illinois, Jo Daviess",10322,5304.0,4585.0
"Illinois, Johnson",5362,3285.0,1928.0
"Illinois, Kane",141405,76996.0,60127.0
"Illinois, Kankakee",40183,20049.0,19180.0
"Illinois, Kendall",22769,13688.0,8444.0
"Illinois, Knox",23174,9912.0,12572.0
"Illinois, Lake",242164,120988.0,115058.0
"Illinois, LaSalle",46007,21276.0,23355.0
"Illinois, Lawrence",6578,3594.0,2822.0
"Illinois, Lee",14620,8069.0,6111.0
"Illinois, Livingston",15421,9187.0,5829.0
"Illinois, Logan",13065,8141.0,4600.0
"Illinois, McDonough",13012,6465.0,6080.0
"Illinois, McHenry",106185,62112.0,40698.0
"Illinois, McLean",60898,34008.0,24936.0
"Illinois, Macon",49499,23830.0,24262.0
"Illinois, Macoupin",21389,9749.0,11015.0
"Illinois, Madison",111104,48821.0,59077.0
"Illinois, Marion",16663,8240.0,8068.0
"Illinois, Marshall",5907,3145.0,2570.0
"Illinois, Mason",6772,3411.0,3192.0
"Illinois, Massac",6744,3676.0,2912.0
"Illinois, Menard",6202,3862.0,2164.0
"Illinois, Mercer",8318,3688.0,4400.0
"Illinois, Monroe",13796,7632.0,5797.0
"Illinois, Montgomery",13093,6226.0,6542.0
"Illinois, Morgan",14334,8058.0,5899.0
"Illinois, Moultrie",5725,3058.0,2529.0
"Illinois, Ogle",20601,12325.0,7673.0
"Illinois, Peoria",76812,36398.0,38604.0
"Illinois, Perry",9942,4802.0,4862.0
"Illinois, Piatt",8385,4619.0,3488.0
"Illinois, Pike",8112,4706.0,3198.0
"Illinois, Pope",2330,1346.0,927.0
"Illinois, Pulaski",3016,1430.0,1518.0
"Illinois, Putnam",3179,1437.0,1657.0
"Illinois, Randolph",14287,7127.0,6794.0
"Illinois, Richland",7428,4718.0,2491.0
"Illinois, Rock Island",65095,25194.0,37957.0
"Illinois, St. Clair",100393,42299.0,55961.0
"Illinois, Saline",11650,5933.0,5427.0
"Illinois, Sangamon",91485,50374.0,38414.0
"Illinois, Schuyler",3772,2077.0,1587.0
"Illinois, Scott",2469,1458.0,954.0
"Illinois, Shelby",10163,5851.0,4018.0
"Illinois, Stark",2989,1694.0,1211.0
"Illinois, Stephenson",19378,10715.0,8062.0
"Illinois, Tazewell",58348,31537.0,25379.0
"Illinois, Union",8660,4397.0,3982.0
"Illinois, Vermilion",32100,15783.0,15406.0
"Illinois, Wabash",5508,3406.0,1987.0
"Illinois, Warren",7631,3899.0,3524.0
"Illinois, Washington",7138,4353.0,2638.0
"Illinois, Wayne",7693,5347.0,2209.0
"Illinois, White",7637,4521.0,2958.0
"Illinois, Whiteside",24837,11252.0,12886.0
"Illinois, Will",191670,95828.0,90902.0
"Illinois, Williamson",26939,14012.0,12192.0
"Illinois, Winnebago",109297,53816.0,51981.0
"Illinois, Woodford",16793,10905.0,5529.0
"Indiana, Adams",12590,8555.0,3775.0
"Indiana, Allen",114320,70426.0,41636.0
"Indiana, Bartholomew",25769,16200.0,9015.0
"Indiana, Benton",3874,2441.0,1328.0
"Indiana, Blackford",4893,2699.0,2103.0
"Indiana, Boone",18396,13161.0,4763.0
"Indiana, Brown",6817,3871.0,2608.0
"Indiana, Carroll",8268,5102.0,2965.0
"Indiana, Cass",15106,9305.0,5412.0
"Indiana, Clark",37336,19417.0,17360.0
"Indiana, Clay",10158,6393.0,3605.0
"Indiana, Clinton",10991,7141.0,3643.0
"Indiana, Crawford",4209,2327.0,1817.0
"Indiana, Daviess",9761,6872.0,2697.0
"Indiana, Dearborn",17650,11452.0,6020.0
"Indiana, Decatur",9171,6115.0,2889.0
"Indiana, DeKalb",13785,8701.0,4776.0
"Indiana, Delaware",44147,22105.0,20876.0
"Indiana, Dubois",15504,10134.0,5090.0
"Indiana, Elkhart",54482,36756.0,16402.0
"Indiana, Fayette",8647,5060.0,3415.0
"Indiana, Floyd",30030,16486.0,13209.0
"Indiana, Fountain",7281,4408.0,2717.0
"Indiana, Franklin",8339,5587.0,2591.0
"Indiana, Fulton",8327,5218.0,2960.0
"Indiana, Gibson",13772,7734.0,5802.0
"Indiana, Grant",26386,16153.0,9712.0
"Indiana, Greene",12619,7452.0,4898.0
"Indiana, Hamilton",75926,56372.0,18002.0
"Indiana, Hancock",22950,15943.0,6503.0
"Indiana, Harrison",14896,8711.0,5870.0
"Indiana, Hendricks",40221,28651.0,10786.0
"Indiana, Henry",18315,10321.0,7647.0
"Indiana, Howard",34095,20331.0,12899.0
"Indiana, Huntington",14620,10113.0,4119.0
"Indiana, Jackson",14602,9054.0,5330.0
"Indiana, Jasper",11167,7212.0,3744.0
"Indiana, Jay",8030,4687.0,3167.0
"Indiana, Jefferson",11931,6582.0,5117.0
"Indiana, Jennings",9494,5732.0,3549.0
"Indiana, Johnson",42284,29404.0,11952.0
"Indiana, Knox",15054,8485.0,6300.0
"Indiana, Kosciusko",25284,19040.0,5785.0
"Indiana, LaGrange",8333,5437.0,2733.0
"Indiana, Lake",175994,63389.0,109078.0
"Indiana, LaPorte",39747,18994.0,19736.0
"Indiana, Lawrence",16142,10677.0,5071.0
"Indiana, Madison",52216,27956.0,23403.0
"Indiana, Marion",279903,137810.0,134189.0
"Indiana, Marshall",16150,10266.0,5541.0
"Indiana, Martin",4609,3008.0,1518.0
"Indiana, Miami",12928,8401.0,4155.0
"Indiana, Monroe",40220,19147.0,17523.0
"Indiana, Montgomery",13101,8891.0,3899.0
"Indiana, Morgan",22036,15286.0,6228.0
"Indiana, Newton",5510,3250.0,2101.0
"Indiana, Noble",14216,9103.0,4822.0
"Indiana, Ohio",2492,1515.0,951.0
"Indiana, Orange",7458,4687.0,2601.0
"Indiana, Owen",6503,4019.0,2253.0
"Indiana, Parke",6447,3841.0,2481.0
"Indiana, Perry",7387,3461.0,3823.0
"Indiana, Pike",6302,3566.0,2605.0
"Indiana, Porter",59378,31157.0,26790.0
"Indiana, Posey",11110,6498.0,4430.0
"Indiana, Pulaski",5518,3497.0,1919.0
"Indiana, Putnam",11871,7352.0,4123.0
"Indiana, Randolph",10132,6020.0,3906.0
"Indiana, Ripley",10675,6988.0,3498.0
"Indiana, Rush",7284,4749.0,2370.0
"Indiana, St. Joseph",97474,47581.0,47703.0
"Indiana, Scott",7846,3761.0,3915.0
"Indiana, Shelby",15310,9590.0,5374.0
"Indiana, Spencer",8987,5096.0,3752.0
"Indiana, Starke",8701,4349.0,4136.0
"Indiana, Steuben",11277,6953.0,4103.0
"Indiana, Sullivan",8262,4319.0,3833.0
"Indiana, Switzerland",3239,1831.0,1336.0
"Indiana, Tippecanoe",46295,26106.0,18220.0
"Indiana, Tipton",7316,4784.0,2392.0
"Indiana, Union",2828,1838.0,927.0
"Indiana, Vanderburgh",66221,35846.0,29222.0
"Indiana, Vermillion",6633,3130.0,3370.0
"Indiana, Vigo",36228,18021.0,17570.0
"Indiana, Wabash",12883,8321.0,4277.0
"Indiana, Warren",3768,2218.0,1471.0
"Indiana, Warrick",22309,13205.0,8749.0
"Indiana, Washington",9801,5868.0,3675.0
"Indiana, Wayne",25151,14273.0,10273.0
"Indiana, Wells",11281,7755.0,3319.0
"Indiana, White",9904,6037.0,3655.0
"Indiana, Whitley",12432,8080.0,4107.0
"Iowa, Adair",4123,2275.0,1753.0
"Iowa, Adams",2145,1170.0,897.0
"Iowa, Allamakee",6462,3277.0,2883.0
"Iowa, Appanoose",5704,2992.0,2560.0
"Iowa, Audubon",3784,1909.0,1780.0
"Iowa, Benton",11766,5468.0,5915.0
"Iowa, Black Hawk",55085,23468.0,30112.0
"Iowa, Boone",12249,5625.0,6270.0
"Iowa, Bremer",11175,5675.0,5169.0
"Iowa, Buchanan",9410,4092.0,5045.0
"Iowa, Buena Vista",7977,4354.0,3297.0
"Iowa, Butler",6724,3837.0,2735.0
"Iowa, Calhoun",5041,2776.0,2132.0
"Iowa, Carroll",9568,4879.0,4463.0
"Iowa, Cass",6880,4206.0,2481.0
"Iowa, Cedar",8344,4031.0,4033.0
"Iowa, Cerro Gordo",22162,9397.0,12185.0
"Iowa, Cherokee",6592,3463.0,2845.0
"Iowa, Chickasaw",6584,2936.0,3435.0
"Iowa, Clarke",4176,1984.0,2081.0
"Iowa, Clay",7578,3992.0,3294.0
"Iowa, Clayton",8571,4034.0,4238.0
"Iowa, Clinton",22180,9229.0,12276.0
"Iowa, Crawford",6555,3482.0,2838.0
"Iowa, Dallas",19330,10306.0,8561.0
"Iowa, Davis",3758,1956.0,1691.0
"Iowa, Decatur",3709,1903.0,1674.0
"Iowa, Delaware",8349,4273.0,3808.0
"Iowa, Des Moines",19365,7385.0,11351.0
"Iowa, Dickinson",8121,4225.0,3660.0
"Iowa, Dubuque",40323,16462.0,22341.0
"Iowa, Emmet",4630,2331.0,2165.0
"Iowa, Fayette",9621,4747.0,4640.0
"Iowa, Floyd",7238,3191.0,3830.0
"Iowa, Franklin",4938,2657.0,2122.0
"Iowa, Fremont",3616,2069.0,1459.0
"Iowa, Greene",4719,2282.0,2301.0
"Iowa, Grundy",6111,3851.0,2139.0
"Iowa, Guthrie",5469,2840.0,2493.0
"Iowa, Hamilton",7574,3968.0,3407.0
"Iowa, Hancock",5438,2988.0,2281.0
"Iowa, Hardin",8435,4486.0,3734.0
"Iowa, Harrison",6543,3802.0,2551.0
"Iowa, Henry",8671,4476.0,3907.0
"Iowa, Howard",4491,1922.0,2426.0
"Iowa, Humboldt",4940,2846.0,1949.0
"Iowa, Ida",3491,1968.0,1411.0
"Iowa, Iowa",7413,3894.0,3230.0
"Iowa, Jackson",9032,3769.0,4945.0
"Iowa, Jasper",17835,8729.0,8699.0
"Iowa, Jefferson",7548,3248.0,2863.0
"Iowa, Johnson",52769,17899.0,31174.0
"Iowa, Jones",9143,4201.0,4690.0
"Iowa, Keokuk",4947,2571.0,2181.0
"Iowa, Kossuth",8878,4612.0,3960.0
"Iowa, Lee",16572,6339.0,9632.0
"Iowa, Linn",92064,40417.0,48897.0
"Iowa, Louisa",4637,2207.0,2294.0
"Iowa, Lucas",4303,2262.0,1934.0
"Iowa, Lyon",5342,3918.0,1313.0
"Iowa, Madison",6969,3662.0,3093.0
"Iowa, Mahaska",9543,5971.0,3370.0
"Iowa, Marion",14408,8358.0,5741.0
"Iowa, Marshall",17624,8785.0,8322.0
"Iowa, Mills",5915,3684.0,2039.0
"Iowa, Mitchell",5162,2388.0,2650.0
"Iowa, Monona",4560,2304.0,2086.0
"Iowa, Monroe",3647,1858.0,1699.0
"Iowa, Montgomery",5394,3417.0,1838.0
"Iowa, Muscatine",16076,7483.0,8058.0
"Iowa, O'Brien",7044,4674.0,2170.0
"Iowa, Osceola",3063,2064.0,913.0
"Iowa, Page",7059,4588.0,2293.0
"Iowa, Palo Alto",4823,2341.0,2326.0
"Iowa, Plymouth",10118,6189.0,3499.0
"Iowa, Pocahontas",4141,2242.0,1736.0
"Iowa, Polk",174167,79927.0,89715.0
"Iowa, Pottawattamie",34467,18783.0,14726.0
"Iowa, Poweshiek",8980,4396.0,4222.0
"Iowa, Ringgold",2692,1369.0,1246.0
"Iowa, Sac",5033,2776.0,2099.0
"Iowa, Scott",70568,32801.0,35857.0
"Iowa, Shelby",6009,3655.0,2179.0
"Iowa, Sioux",14692,12241.0,2148.0
"Iowa, Story",35364,16228.0,17478.0
"Iowa, Tama",8315,4034.0,4045.0
"Iowa, Taylor",3096,1770.0,1247.0
"Iowa, Union",5740,3003.0,2540.0
"Iowa, Van Buren",3561,2016.0,1440.0
"Iowa, Wapello",15139,6313.0,8355.0
"Iowa, Warren",19653,9621.0,9521.0
"Iowa, Washington",9094,4827.0,3932.0
"Iowa, Wayne",3021,1666.0,1300.0
"Iowa, Webster",17048,8172.0,8479.0
"Iowa, Winnebago",5527,2662.0,2691.0
"Iowa, Winneshiek",9417,4647.0,4339.0
"Iowa, Woodbury",37896,18864.0,17691.0
"Iowa, Worth",4004,1659.0,2208.0
"Iowa, Wright",6336,3384.0,2796.0
"Kansas, Allen",5766,3379.0,2132.0
"Kansas, Anderson",3478,1984.0,1327.0
"Kansas, Atchison",6900,3378.0,3171.0
"Kansas, Barber",2498,1755.0,637.0
"Kansas, Barton",10955,7302.0,3238.0
"Kansas, Bourbon",6308,3852.0,2211.0
"Kansas, Brown",4691,2985.0,1512.0
"Kansas, Butler",21002,13377.0,6755.0
"Kansas, Chase",1317,848.0,391.0
"Kansas, Chautauqua",1880,1347.0,443.0
"Kansas, Cherokee",9130,5014.0,3783.0
"Kansas, Cheyenne",1727,1312.0,350.0
"Kansas, Clark",1261,926.0,292.0
"Kansas, Clay",4088,2998.0,951.0
"Kansas, Cloud",4503,2918.0,1314.0
"Kansas, Coffey",4040,2700.0,1196.0
"Kansas, Comanche",1006,760.0,211.0
"Kansas, Cowley",14210,8080.0,5535.0
"Kansas, Crawford",15034,7160.0,7076.0
"Kansas, Decatur",1759,1255.0,424.0
"Kansas, Dickinson",8092,5243.0,2413.0
"Kansas, Doniphan",3649,2350.0,1134.0
"Kansas, Douglas",39838,17062.0,18249.0
"Kansas, Edwards",1563,1062.0,447.0
"Kansas, Elk",1550,1080.0,402.0
"Kansas, Ellis",11160,6516.0,3926.0
"Kansas, Ellsworth",2839,1845.0,825.0
"Kansas, Finney",9150,6442.0,2431.0
"Kansas, Ford",8917,6050.0,2566.0
"Kansas, Franklin",9658,5925.0,3321.0
"Kansas, Geary",6866,3977.0,2660.0
"Kansas, Gove",1495,1122.0,296.0
"Kansas, Graham",1474,1058.0,346.0
"Kansas, Grant",2856,2126.0,683.0
"Kansas, Gray",2160,1631.0,482.0
"Kansas, Greeley",803,628.0,143.0
"Kansas, Greenwood",3561,2392.0,1027.0
"Kansas, Hamilton",1192,901.0,264.0
"Kansas, Harper",3055,2076.0,869.0
"Kansas, Harvey",13684,8271.0,4591.0
"Kansas, Haskell",1616,1323.0,263.0
"Kansas, Hodgeman",1088,835.0,217.0
"Kansas, Jackson",5250,3001.0,1990.0
"Kansas, Jefferson",7877,4423.0,3000.0
"Kansas, Jewell",1877,1400.0,380.0
"Kansas, Johnson",217536,129965.0,79118.0
"Kansas, Kearny",1435,1084.0,320.0
"Kansas, Kingman",3808,2672.0,991.0
"Kansas, Kiowa",1608,1262.0,294.0
"Kansas, Labette",8538,4475.0,3745.0
"Kansas, Lane",1133,846.0,252.0
"Kansas, Leavenworth",23271,12583.0,9733.0
"Kansas, Lincoln",1890,1295.0,469.0
"Kansas, Linn",4259,2513.0,1587.0
"Kansas, Logan",1397,1088.0,231.0
"Kansas, Lyon",12455,6652.0,5190.0
"Kansas, McPherson",12461,8501.0,3272.0
"Kansas, Marion",5903,4156.0,1475.0
"Kansas, Marshall",5115,3066.0,1831.0
"Kansas, Meade",2053,1604.0,400.0
"Kansas, Miami",11607,6611.0,4554.0
"Kansas, Mitchell",3266,2350.0,751.0
"Kansas, Montgomery",13745,8496.0,4770.0
"Kansas, Morris",2641,1599.0,882.0
"Kansas, Morton",1557,1203.0,321.0
"Kansas, Nemaha",5290,3578.0,1494.0
"Kansas, Neosho",6886,4014.0,2588.0
"Kansas, Ness",1876,1420.0,383.0
"Kansas, Norton",2451,1744.0,598.0
"Kansas, Osage",6613,3770.0,2530.0
"Kansas, Osborne",2030,1432.0,484.0
"Kansas, Ottawa",2791,1977.0,631.0
"Kansas, Pawnee",2940,1850.0,968.0
"Kansas, Phillips",2792,2057.0,611.0
"Kansas, Pottawatomie",7731,4985.0,2037.0
"Kansas, Pratt",4416,2885.0,1314.0
"Kansas, Rawlins",1740,1349.0,306.0
"Kansas, Reno",25430,15179.0,9025.0
"Kansas, Republic",2985,2239.0,604.0
"Kansas, Rice",4520,2903.0,1422.0
"Kansas, Riley",18253,10672.0,6188.0
"Kansas, Rooks",2775,2016.0,597.0
"Kansas, Rush",1854,1235.0,505.0
"Kansas, Russell",3482,2434.0,886.0
"Kansas, Saline",21527,12412.0,7487.0
"Kansas, Scott",2303,1811.0,418.0
"Kansas, Sedgwick",163417,93724.0,62561.0
"Kansas, Seward",5096,3869.0,1126.0
"Kansas, Shawnee",74373,35894.0,34818.0
"Kansas, Sheridan",1489,1132.0,281.0
"Kansas, Sherman",2682,1894.0,681.0
"Kansas, Smith",2184,1534.0,534.0
"Kansas, Stafford",2200,1546.0,567.0
"Kansas, Stanton",1029,785.0,215.0
"Kansas, Stevens",2111,1714.0,345.0
"Kansas, Sumner",10232,6176.0,3549.0
"Kansas, Thomas",3780,2822.0,807.0
"Kansas, Trego",1837,1220.0,516.0
"Kansas, Wabaunsee",3420,2182.0,1025.0
"Kansas, Wallace",861,737.0,103.0
"Kansas, Washington",3267,2446.0,687.0
"Kansas, Wichita",1090,859.0,207.0
"Kansas, Wilson",4095,2748.0,1186.0
"Kansas, Woodson",1595,974.0,521.0
"Kansas, Wyandotte",48272,14024.0,32411.0
"Kentucky, Adair",7328,5460.0,1779.0
"Kentucky, Allen",6429,4415.0,1950.0
"Kentucky, Anderson",7967,4909.0,2902.0
"Kentucky, Ballard",3770,1824.0,1880.0
"Kentucky, Barren",13844,8741.0,4930.0
"Kentucky, Bath",4473,2303.0,2087.0
"Kentucky, Bell",10611,5585.0,4787.0
"Kentucky, Boone",31984,22016.0,9248.0
"Kentucky, Bourbon",7102,3881.0,3048.0
"Kentucky, Boyd",19182,9247.0,9541.0
"Kentucky, Boyle",10326,6126.0,3963.0
"Kentucky, Bracken",3019,2065.0,888.0
"Kentucky, Breathitt",5073,2084.0,2902.0
"Kentucky, Breckinridge",7453,4763.0,2595.0
"Kentucky, Bullitt",22701,14054.0,8195.0
"Kentucky, Butler",5010,3654.0,1299.0
"Kentucky, Caldwell",5482,3161.0,2223.0
"Kentucky, Calloway",13673,7705.0,5635.0
"Kentucky, Campbell",33829,20789.0,12040.0
"Kentucky, Carlisle",2593,1405.0,1149.0
"Kentucky, Carroll",3499,1818.0,1601.0
"Kentucky, Carter",8959,4617.0,4182.0
"Kentucky, Casey",5469,4284.0,1122.0
"Kentucky, Christian",17773,10787.0,6778.0
"Kentucky, Clark",12473,7297.0,4918.0
"Kentucky, Clay",6719,4926.0,1723.0
"Kentucky, Clinton",4305,3224.0,1032.0
"Kentucky, Crittenden",4154,2469.0,1610.0
"Kentucky, Cumberland",3006,2220.0,736.0
"Kentucky, Daviess",36240,21361.0,14126.0
"Kentucky, Edmonson",4995,3250.0,1710.0
"Kentucky, Elliott",2381,827.0,1525.0
"Kentucky, Estill",4710,3033.0,1591.0
"Kentucky, Fayette",105477,54495.0,47277.0
"Kentucky, Fleming",5179,3282.0,1813.0
"Kentucky, Floyd",15394,5068.0,10088.0
"Kentucky, Franklin",21654,10209.0,10853.0
"Kentucky, Fulton",2788,1293.0,1452.0
"Kentucky, Gallatin",2459,1345.0,1049.0
"Kentucky, Garrard",5823,4043.0,1713.0
"Kentucky, Grant",7103,4405.0,2568.0
"Kentucky, Graves",14231,7849.0,6097.0
"Kentucky, Grayson",8558,5843.0,2604.0
"Kentucky, Green",4756,3615.0,1085.0
"Kentucky, Greenup",14663,7233.0,7164.0
"Kentucky, Hancock",3610,2032.0,1508.0
"Kentucky, Hardin",30690,18964.0,11095.0
"Kentucky, Harlan",10535,4980.0,5365.0
"Kentucky, Harrison",6611,3793.0,2658.0
"Kentucky, Hart",6019,3725.0,2201.0
"Kentucky, Henderson",16039,7698.0,8054.0
"Kentucky, Henry",5473,3244.0,2117.0
"Kentucky, Hickman",2124,1151.0,940.0
"Kentucky, Hopkins",16489,9490.0,6734.0
"Kentucky, Jackson",4855,4079.0,701.0
"Kentucky, Jefferson",302362,145052.0,149901.0
"Kentucky, Jessamine",15061,10074.0,4633.0
"Kentucky, Johnson",8180,4783.0,3251.0
"Kentucky, Kenton",56249,35363.0,19100.0
"Kentucky, Knott",6458,2029.0,4349.0
"Kentucky, Knox",9910,6058.0,3690.0
"Kentucky, Larue",5179,3384.0,1727.0
"Kentucky, Laurel",18120,13029.0,4856.0
"Kentucky, Lawrence",5307,2969.0,2258.0
"Kentucky, Lee",2764,1893.0,836.0
"Kentucky, Leslie",4434,3159.0,1210.0
"Kentucky, Letcher",8985,4092.0,4698.0
"Kentucky, Lewis",4568,3217.0,1293.0
"Kentucky, Lincoln",7597,4795.0,2678.0
"Kentucky, Livingston",4230,2118.0,2022.0
"Kentucky, Logan",9332,5344.0,3885.0
"Kentucky, Lyon",3420,1688.0,1680.0
"Kentucky, McCracken",26689,14745.0,11412.0
"Kentucky, McCreary",4799,3321.0,1418.0
"Kentucky, McLean",4022,2219.0,1747.0
"Kentucky, Madison",23666,13682.0,9309.0
"Kentucky, Magoffin",5453,2785.0,2603.0
"Kentucky, Marion",6176,3259.0,2778.0
"Kentucky, Marshall",13761,7294.0,6203.0
"Kentucky, Martin",4456,2667.0,1714.0
"Kentucky, Mason",5873,3572.0,2178.0
"Kentucky, Meade",9071,5319.0,3596.0
"Kentucky, Menifee",2249,1170.0,1038.0
"Kentucky, Mercer",8632,5362.0,3092.0
"Kentucky, Metcalfe",3849,2476.0,1318.0
"Kentucky, Monroe",5569,4377.0,1158.0
"Kentucky, Montgomery",8519,4534.0,3833.0
"Kentucky, Morgan",4240,2295.0,1875.0
"Kentucky, Muhlenberg",11956,5518.0,6295.0
"Kentucky, Nelson",13488,7714.0,5481.0
"Kentucky, Nicholas",2673,1613.0,994.0
"Kentucky, Ohio",8882,5413.0,3303.0
"Kentucky, Oldham",20268,13580.0,6236.0
"Kentucky, Owen",4070,2582.0,1394.0
"Kentucky, Owsley",1826,1466.0,339.0
"Kentucky, Pendleton",4803,3044.0,1670.0
"Kentucky, Perry",11000,5300.0,5514.0
"Kentucky, Pike",24935,11005.0,13611.0
"Kentucky, Powell",4362,2258.0,2008.0
"Kentucky, Pulaski",21541,15845.0,5415.0
"Kentucky, Robertson",998,630.0,341.0
"Kentucky, Rockcastle",5247,3992.0,1174.0
"Kentucky, Rowan",7226,3546.0,3505.0
"Kentucky, Russell",7074,5268.0,1710.0
"Kentucky, Scott",13786,7952.0,5472.0
"Kentucky, Shelby",12738,8068.0,4435.0
"Kentucky, Simpson",5824,3169.0,2583.0
"Kentucky, Spencer",4772,3150.0,1554.0
"Kentucky, Taylor",9051,6151.0,2790.0
"Kentucky, Todd",4187,2646.0,1496.0
"Kentucky, Trigg",5344,3130.0,2110.0
"Kentucky, Trimble",3081,1837.0,1181.0
"Kentucky, Union",5368,2749.0,2547.0
"Kentucky, Warren",32975,20235.0,12180.0
"Kentucky, Washington",4588,3044.0,1458.0
"Kentucky, Wayne",6474,4069.0,2312.0
"Kentucky, Webster",5072,2599.0,2388.0
"Kentucky, Whitley",11774,7502.0,4101.0
"Kentucky, Wolfe",2425,1267.0,1136.0
"Kentucky, Woodford",10137,5890.0,3995.0
"Louisiana, Acadia",23238,13814.0,8892.0
"Louisiana, Allen",8292,4035.0,3914.0
"Louisiana, Ascension",30844,16818.0,13385.0
"Louisiana, Assumption",10053,4388.0,5222.0
"Louisiana, Avoyelles",14653,7329.0,6701.0
"Louisiana, Beauregard",12205,7862.0,3958.0
"Louisiana, Bienville",7006,3269.0,3413.0
"Louisiana, Bossier",35915,23224.0,11933.0
"Louisiana, Caddo",95639,46807.0,47530.0
"Louisiana, Calcasieu",73636,38086.0,33919.0
"Louisiana, Caldwell",4328,2817.0,1359.0
"Louisiana, Cameron",4183,2593.0,1435.0
"Louisiana, Catahoula",4765,2912.0,1718.0
"Louisiana, Claiborne",6281,3384.0,2721.0
"Louisiana, Concordia",8499,4627.0,3569.0
"Louisiana, De Soto",10596,5260.0,5036.0
"Louisiana, East Baton Rouge",168989,89128.0,76516.0
"Louisiana, East Carroll",3245,1280.0,1876.0
"Louisiana, East Feliciana",8099,4051.0,3870.0
"Louisiana, Evangeline",13612,7290.0,5763.0
"Louisiana, Franklin",8356,5363.0,2792.0
"Louisiana, Grant",7055,4784.0,2099.0
"Louisiana, Iberia",30020,17236.0,11762.0
"Louisiana, Iberville",14503,5573.0,8355.0
"Louisiana, Jackson",7106,4347.0,2582.0
"Louisiana, Jefferson",179151,105003.0,70411.0
"Louisiana, Jefferson Davis",12546,6945.0,5162.0
"Louisiana, Lafayette",78293,48491.0,27190.0
"Louisiana, Lafourche",34449,18575.0,14627.0
"Louisiana, La Salle",6108,4564.0,1397.0
"Louisiana, Lincoln",16551,9246.0,6851.0
"Louisiana, Livingston",36865,24889.0,11008.0
"Louisiana, Madison",4743,2127.0,2489.0
"Louisiana, Morehouse",12321,6641.0,5289.0
"Louisiana, Natchitoches",14857,7332.0,6924.0
"Louisiana, Orleans",181221,39404.0,137630.0
"Louisiana, Ouachita",58211,35107.0,21457.0
"Louisiana, Plaquemines",10931,6302.0,4425.0
"Louisiana, Pointe Coupee",10832,4710.0,5813.0
"Louisiana, Rapides",49024,28831.0,18898.0
"Louisiana, Red River",4522,2200.0,2177.0
"Louisiana, Richland",8485,4895.0,3282.0
"Louisiana, Sabine",8862,5754.0,2846.0
"Louisiana, St. Bernard",28621,16255.0,11682.0
"Louisiana, St. Charles",21510,11981.0,8918.0
"Louisiana, St. Helena",5254,1965.0,3059.0
"Louisiana, St. James",10705,3813.0,6523.0
"Louisiana, St. John the Baptist",17713,7423.0,9745.0
"Louisiana, St. Landry",34151,15449.0,18067.0
"Louisiana, St. Martin",20778,9961.0,9853.0
"Louisiana, St. Mary",21810,11325.0,9851.0
"Louisiana, St. Tammany",83737,59193.0,22722.0
"Louisiana, Tangipahoa",37155,20421.0,15843.0
"Louisiana, Tensas",3010,1330.0,1580.0
"Louisiana, Terrebonne",36675,21314.0,14414.0
"Louisiana, Union",9343,5772.0,3205.0
"Louisiana, Vermilion",22235,12495.0,8704.0
"Louisiana, Vernon",13827,8794.0,4655.0
"Louisiana, Washington",16887,8983.0,7399.0
"Louisiana, Webster",17090,9420.0,7197.0
"Louisiana, West Baton Rouge",10169,4924.0,5058.0
"Louisiana, West Carroll",4675,3220.0,1319.0
"Louisiana, West Feliciana",4860,2512.0,2187.0
"Louisiana, Winn",6361,4028.0,2167.0
"Maine, Androscoggin",49245,19948.0,26251.0
"Maine, Aroostook",35143,16555.0,17196.0
"Maine, Cumberland",142620,58543.0,74203.0
"Maine, Franklin",15448,6459.0,7593.0
"Maine, Hancock",28574,12732.0,12983.0
"Maine, Kennebec",58907,23967.0,31198.0
"Maine, Knox",20501,8968.0,9453.0
"Maine, Lincoln",19671,9457.0,8634.0
"Maine, Oxford",27493,11835.0,13649.0
"Maine, Penobscot",73206,35620.0,32868.0
"Maine, Piscataquis",9256,4845.0,3745.0
"Maine, Sagadahoc",18406,8052.0,8844.0
"Maine, Somerset",23951,10684.0,11538.0
"Maine, Waldo",19138,8689.0,8477.0
"Maine, Washington",15708,7958.0,6701.0
"Maine, York",94550,42304.0,46618.0
"Maryland, Allegany",26371,14656.0,10894.0
