Location,total_votes,2000_republican_votes,2000_democrat_votes
"Arkansas, Montgomery",3739,2128.0,1438.0
"Arkansas, Nevada",3738,1796.0,1867.0
"Arkansas, Newton",3927,2529.0,1205.0
"Arkansas, Ouachita",10395,4739.0,5464.0
"Arkansas, Perry",4007,2114.0,1648.0
"Arkansas, Phillips",9313,3154.0,6018.0
"Arkansas, Pike",3971,2275.0,1604.0
"Arkansas, Poinsett",7235,2988.0,4102.0
"Arkansas, Polk",7193,4600.0,2315.0
"Arkansas, Pope",18422,11244.0,6669.0
"Arkansas, Prairie",3507,1862.0,1563.0
"Arkansas, Pulaski",127151,55866.0,68320.0
"Arkansas, Randolph",5877,2673.0,3019.0
"Arkansas, St. Francis",8496,3414.0,4986.0
"Arkansas, Saline",32391,18617.0,12700.0
"Arkansas, Scott",3981,2399.0,1444.0
"Arkansas, Searcy",4058,2610.0,1229.0
"Arkansas, Sebastian",40159,23483.0,15555.0
"Arkansas, Sevier",4293,2111.0,2095.0
"Arkansas, Sharp",7126,3698.0,3236.0
"Arkansas, Stone",4860,2623.0,2043.0
"Arkansas, Union",15609,8647.0,6261.0
"Arkansas, Van Buren",6984,3485.0,3202.0
"Arkansas, Washington",51459,28231.0,21425.0
"Arkansas, White",22150,13170.0,8342.0
"Arkansas, Woodruff",2651,898.0,1699.0
"Arkansas, Yell",6479,3223.0,3062.0
"California, Alameda",494336,119279.0,342889.0
"California, Alpine",586,281.0,265.0
"California, Amador",15464,8766.0,5906.0
"California, Butte",83721,45584.0,31338.0
"California, Calaveras",18876,10599.0,7093.0
"California, Colusa",5590,3629.0,1745.0
"California, Contra Costa",381478,141373.0,224338.0
"California, Del Norte",8294,4526.0,3117.0
"California, El Dorado",72136,42045.0,26220.0
"California, Fresno",220835,117342.0,95059.0
"California, Glenn",8711,5795.0,2498.0
"California, Humboldt",55972,23219.0,24851.0
"California, Imperial",28937,12524.0,15489.0
"California, Inyo",7815,4713.0,2652.0
"California, Kern",182308,110663.0,66003.0
"California, Kings",28335,16377.0,11041.0
"California, Lake",20919,8699.0,10717.0
"California, Lassen",10586,7080.0,2982.0
"California, Los Angeles",2695154,871930.0,1710505.0
"California, Madera",33395,20283.0,11650.0
"California, Marin",123155,34872.0,79135.0
"California, Mariposa",8074,4727.0,2816.0
"California, Mendocino",34410,12272.0,16634.0
"California, Merced",50418,26102.0,22726.0
"California, Modoc",4107,2969.0,945.0
"California, Mono",4371,2296.0,1788.0
"California, Monterey",117534,43761.0,67618.0
"California, Napa",51724,20633.0,28097.0
"California, Nevada",47479,25998.0,17670.0
"California, Orange",970905,541299.0,391819.0
"California, Placer",117799,69835.0,42449.0
"California, Plumas",10401,6343.0,3458.0
"California, Riverside",451127,231955.0,202576.0
"California, Sacramento",431550,195619.0,212792.0
"California, San Benito",16831,7015.0,9131.0
"California, San Bernardino",454893,221757.0,214749.0
"California, San Diego",958634,475736.0,437666.0
"California, San Francisco",319786,51496.0,241578.0
"California, San Joaquin",167239,81773.0,79776.0
"California, San Luis Obispo",108886,56859.0,44526.0
"California, San Mateo",259399,80296.0,166757.0
"California, Santa Barbara",154974,71493.0,73411.0
"California, Santa Clara",548129,188750.0,332490.0
"California, Santa Cruz",108350,29627.0,66618.0
"California, Shasta",66544,43278.0,20127.0
"California, Sierra",1847,1172.0,540.0
"California, Siskiyou",19819,12198.0,6323.0
"California, Solano",131735,51604.0,75116.0
"California, Sonoma",197006,63529.0,117295.0
"California, Stanislaus",128267,67188.0,56448.0
"California, Sutter",26564,17350.0,8416.0
"California, Tehama",20854,13270.0,6507.0
"California, Trinity",5797,3340.0,1932.0
"California, Tulare",89818,54070.0,33006.0
"California, Tuolumne",23727,13172.0,9359.0
"California, Ventura",282692,136173.0,133258.0
"California, Yolo",61436,23057.0,33747.0
"California, Yuba",16127,9838.0,5546.0
"Colorado, Adams",107852,47561.0,54132.0
"Colorado, Alamosa",5659,2857.0,2455.0
"Colorado, Arapahoe",189942,97768.0,82614.0
"Colorado, Archuleta",4758,2988.0,1432.0
"Colorado, Baca",2278,1663.0,531.0
"Colorado, Bent",1963,1096.0,783.0
"Colorado, Boulder",139626,50873.0,69983.0
"Colorado, Chaffee",7610,4300.0,2768.0
"Colorado, Cheyenne",1212,957.0,209.0
"Colorado, Clear Creek",4924,2247.0,2188.0
"Colorado, Conejos",3671,1772.0,1749.0
"Colorado, Costilla",1648,504.0,1054.0
"Colorado, Crowley",1445,855.0,511.0
"Colorado, Custer",2111,1451.0,507.0
