Location,Total_Votes_2004,2004_republican_votes,2004_democrat_votes,State_Code
"Alabama, Autauga",20081,15196.0,4758.0,AL
"Alabama, Baldwin",69320,52971.0,15599.0,AL
"Alabama, Barbour",10777,5899.0,4832.0,AL
"Alabama, Bibb",7600,5472.0,2089.0,AL
"Alabama, Blount",21504,17386.0,3938.0,AL
"Alabama, Bullock",4717,1494.0,3210.0,AL
"Alabama, Butler",8416,4979.0,3413.0,AL
"Alabama, Calhoun",45249,29814.0,15083.0,AL
"Alabama, Chambers",13032,7622.0,5347.0,AL
"Alabama, Cherokee",9049,5923.0,3040.0,AL
"Alabama, Chilton",16693,12829.0,3778.0,AL
"Alabama, Choctaw",7227,3897.0,3303.0,AL
"Alabama, Clarke",11394,6730.0,4627.0,AL
"Alabama, Clay",6576,4624.0,1893.0,AL
"Alabama, Cleburne",5798,4370.0,1391.0,AL
"Alabama, Coffee",17616,13019.0,4480.0,AL
"Alabama, Colbert",23935,13188.0,10598.0,AL
"Alabama, Conecuh",6021,3271.0,2719.0,AL
"Alabama, Coosa",5001,2905.0,2055.0,AL
"Alabama, Covington",14627,11119.0,3423.0,AL
"Alabama, Crenshaw",5500,3777.0,1698.0,AL
"Alabama, Cullman",35191,26818.0,8045.0,AL
"Alabama, Dale",18231,13621.0,4484.0,AL
"Alabama, Dallas",18573,7335.0,11175.0,AL
"Alabama, DeKalb",24135,16904.0,7092.0,AL
"Alabama, Elmore",28680,22056.0,6471.0,AL
"Alabama, Escambia",12395,8513.0,3814.0,AL
"Alabama, Etowah",42680,26999.0,15328.0,AL
"Alabama, Fayette",8002,5534.0,2408.0,AL
"Alabama, Franklin",12269,7690.0,4514.0,AL
"Alabama, Geneva",10520,8342.0,2113.0,AL
"Alabama, Greene",4748,958.0,3764.0,AL
"Alabama, Hale",7945,3281.0,4631.0,AL
"Alabama, Henry",7361,4881.0,2452.0,AL
"Alabama, Houston",36201,26874.0,9144.0,AL
"Alabama, Jackson",20321,11534.0,8635.0,AL
"Alabama, Jefferson",292967,158680.0,132286.0,AL
"Alabama, Lamar",6885,4894.0,1956.0,AL
"Alabama, Lauderdale",37107,22161.0,14628.0,AL
"Alabama, Lawrence",14001,7730.0,6155.0,AL
"Alabama, Lee",44610,27972.0,16227.0,AL
"Alabama, Limestone",29073,19702.0,9126.0,AL
"Alabama, Lowndes",6021,1786.0,4233.0,AL
"Alabama, Macon",9407,1570.0,7800.0,AL
"Alabama, Madison",131062,77173.0,52644.0,AL
"Alabama, Marengo",10322,5255.0,5037.0,AL
"Alabama, Marion",12875,8983.0,3808.0,AL
"Alabama, Marshall",31491,22783.0,8452.0,AL
"Alabama, Mobile",156771,92014.0,63732.0,AL
"Alabama, Monroe",9534,5831.0,3666.0,AL
"Alabama, Montgomery",89650,44097.0,45160.0,AL
"Alabama, Morgan",47007,32477.0,14131.0,AL
"Alabama, Perry",5523,1738.0,3767.0,AL
"Alabama, Pickens",9132,5170.0,3915.0,AL
"Alabama, Pike",11883,7483.0,4334.0,AL
"Alabama, Randolph",9001,6127.0,2817.0,AL
"Alabama, Russell",16809,8337.0,8375.0,AL
"Alabama, Shelby",78906,63435.0,14850.0,AL
