year,state,state_code,county,candidate,party,candidate_votes,total_votes,Location
2004,Alabama,AL,Franklin,George W. Bush,republican,7690.0,12269,"Alabama, Franklin"
2004,Alabama,AL,Geneva,John Kerry,democrat,2113.0,10520,"Alabama, Geneva"
2004,Alabama,AL,Geneva,George W. Bush,republican,8342.0,10520,"Alabama, Geneva"
2004,Alabama,AL,Greene,John Kerry,democrat,3764.0,4748,"Alabama, Greene"
2004,Alabama,AL,Greene,George W. Bush,republican,958.0,4748,"Alabama, Greene"
2004,Alabama,AL,Hale,John Kerry,democrat,4631.0,7945,"Alabama, Hale"
2004,Alabama,AL,Hale,George W. Bush,republican,3281.0,7945,"Alabama, Hale"
2004,Alabama,AL,Henry,John Kerry,democrat,2452.0,7361,"Alabama, Henry"
2004,Alabama,AL,Henry,George W. Bush,republican,4881.0,7361,"Alabama, Henry"
2004,Alabama,AL,Houston,John Kerry,democrat,9144.0,36201,"Alabama, Houston"
2004,Alabama,AL,Houston,George W. Bush,republican,26874.0,36201,"Alabama, Houston"
2004,Alabama,AL,Jackson,John Kerry,democrat,8635.0,20321,"Alabama, Jackson"
2004,Alabama,AL,Jackson,George W. Bush,republican,11534.0,20321,"Alabama, Jackson"
2004,Alabama,AL,Jefferson,John Kerry,democrat,132286.0,292967,"Alabama, Jefferson"
2004,Alabama,AL,Jefferson,George W. Bush,republican,158680.0,292967,"Alabama, Jefferson"
2004,Alabama,AL,Lamar,John Kerry,democrat,1956.0,6885,"Alabama, Lamar"
2004,Alabama,AL,Lamar,George W. Bush,republican,4894.0,6885,"Alabama, Lamar"
2004,Alabama,AL,Lauderdale,John Kerry,democrat,14628.0,37107,"Alabama, Lauderdale"
2004,Alabama,AL,Lauderdale,George W. Bush,republican,22161.0,37107,"Alabama, Lauderdale"
2004,Alabama,AL,Lawrence,John Kerry,democrat,6155.0,14001,"Alabama, Lawrence"
2004,Alabama,AL,Lawrence,George W. Bush,republican,7730.0,14001,"Alabama, Lawrence"
2004,Alabama,AL,Lee,John Kerry,democrat,16227.0,44610,"Alabama, Lee"
2004,Alabama,AL,Lee,George W. Bush,republican,27972.0,44610,"Alabama, Lee"
2004,Alabama,AL,Limestone,John Kerry,democrat,9126.0,29073,"Alabama, Limestone"
2004,Alabama,AL,Limestone,George W. Bush,republican,19702.0,29073,"Alabama, Limestone"
2004,Alabama,AL,Lowndes,John Kerry,democrat,4233.0,6021,"Alabama, Lowndes"
2004,Alabama,AL,Lowndes,George W. Bush,republican,1786.0,6021,"Alabama, Lowndes"
2004,Alabama,AL,Macon,John Kerry,democrat,7800.0,9407,"Alabama, Macon"
2004,Alabama,AL,Macon,George W. Bush,republican,1570.0,9407,"Alabama, Macon"
2004,Alabama,AL,Madison,John Kerry,democrat,52644.0,131062,"Alabama, Madison"
2004,Alabama,AL,Madison,George W. Bush,republican,77173.0,131062,"Alabama, Madison"
2004,Alabama,AL,Marengo,John Kerry,democrat,5037.0,10322,"Alabama, Marengo"
2004,Alabama,AL,Marengo,George W. Bush,republican,5255.0,10322,"Alabama, Marengo"
2004,Alabama,AL,Marion,John Kerry,democrat,3808.0,12875,"Alabama, Marion"
2004,Alabama,AL,Marion,George W. Bush,republican,8983.0,12875,"Alabama, Marion"
2004,Alabama,AL,Marshall,John Kerry,democrat,8452.0,31491,"Alabama, Marshall"
2004,Alabama,AL,Marshall,George W. Bush,republican,22783.0,31491,"Alabama, Marshall"
2004,Alabama,AL,Mobile,John Kerry,democrat,63732.0,156771,"Alabama, Mobile"
2004,Alabama,AL,Mobile,George W. Bush,republican,92014.0,156771,"Alabama, Mobile"
2004,Alabama,AL,Monroe,John Kerry,democrat,3666.0,9534,"Alabama, Monroe"
2004,Alabama,AL,Monroe,George W. Bush,republican,5831.0,9534,"Alabama, Monroe"
2004,Alabama,AL,Montgomery,John Kerry,democrat,45160.0,89650,"Alabama, Montgomery"
2004,Alabama,AL,Montgomery,George W. Bush,republican,44097.0,89650,"Alabama, Montgomery"
2004,Alabama,AL,Morgan,John Kerry,democrat,14131.0,47007,"Alabama, Morgan"
2004,Alabama,AL,Morgan,George W. Bush,republican,32477.0,47007,"Alabama, Morgan"
2004,Alabama,AL,Perry,John Kerry,democrat,3767.0,5523,"Alabama, Perry"
2004,Alabama,AL,Perry,George W. Bush,republican,1738.0,5523,"Alabama, Perry"
2004,Alabama,AL,Pickens,John Kerry,democrat,3915.0,9132,"Alabama, Pickens"
2004,Alabama,AL,Pickens,George W. Bush,republican,5170.0,9132,"Alabama, Pickens"
