year,state,state_code,county,candidate,party,candidate_votes,total_votes,Location
2004,Georgia,GA,Early,John Kerry,democrat,1701.0,4213,"Georgia, Early"
2004,Georgia,GA,Early,George W. Bush,republican,2495.0,4213,"Georgia, Early"
2004,Georgia,GA,Echols,John Kerry,democrat,231.0,991,"Georgia, Echols"
2004,Georgia,GA,Echols,George W. Bush,republican,757.0,991,"Georgia, Echols"
2004,Georgia,GA,Effingham,John Kerry,democrat,3613.0,16167,"Georgia, Effingham"
2004,Georgia,GA,Effingham,George W. Bush,republican,12503.0,16167,"Georgia, Effingham"
2004,Georgia,GA,Elbert,John Kerry,democrat,2984.0,7656,"Georgia, Elbert"
2004,Georgia,GA,Elbert,George W. Bush,republican,4626.0,7656,"Georgia, Elbert"
2004,Georgia,GA,Emanuel,John Kerry,democrat,2774.0,7468,"Georgia, Emanuel"
2004,Georgia,GA,Emanuel,George W. Bush,republican,4666.0,7468,"Georgia, Emanuel"
2004,Georgia,GA,Evans,John Kerry,democrat,1213.0,3514,"Georgia, Evans"
2004,Georgia,GA,Evans,George W. Bush,republican,2291.0,3514,"Georgia, Evans"
2004,Georgia,GA,Fannin,John Kerry,democrat,2727.0,9650,"Georgia, Fannin"
2004,Georgia,GA,Fannin,George W. Bush,republican,6862.0,9650,"Georgia, Fannin"
2004,Georgia,GA,Fayette,John Kerry,democrat,14887.0,52528,"Georgia, Fayette"
2004,Georgia,GA,Fayette,George W. Bush,republican,37346.0,52528,"Georgia, Fayette"
2004,Georgia,GA,Floyd,John Kerry,democrat,10038.0,31625,"Georgia, Floyd"
2004,Georgia,GA,Floyd,George W. Bush,republican,21400.0,31625,"Georgia, Floyd"
2004,Georgia,GA,Forsyth,John Kerry,democrat,9201.0,56826,"Georgia, Forsyth"
2004,Georgia,GA,Forsyth,George W. Bush,republican,47267.0,56826,"Georgia, Forsyth"
2004,Georgia,GA,Franklin,John Kerry,democrat,2245.0,7502,"Georgia, Franklin"
2004,Georgia,GA,Franklin,George W. Bush,republican,5218.0,7502,"Georgia, Franklin"
2004,Georgia,GA,Fulton,John Kerry,democrat,199436.0,336024,"Georgia, Fulton"
2004,Georgia,GA,Fulton,George W. Bush,republican,134372.0,336024,"Georgia, Fulton"
2004,Georgia,GA,Gilmer,John Kerry,democrat,2510.0,9998,"Georgia, Gilmer"
2004,Georgia,GA,Gilmer,George W. Bush,republican,7414.0,9998,"Georgia, Gilmer"
2004,Georgia,GA,Glascock,John Kerry,democrat,250.0,1269,"Georgia, Glascock"
2004,Georgia,GA,Glascock,George W. Bush,republican,1016.0,1269,"Georgia, Glascock"
2004,Georgia,GA,Glynn,John Kerry,democrat,8962.0,27692,"Georgia, Glynn"
2004,Georgia,GA,Glynn,George W. Bush,republican,18608.0,27692,"Georgia, Glynn"
2004,Georgia,GA,Gordon,John Kerry,democrat,4028.0,15775,"Georgia, Gordon"
2004,Georgia,GA,Gordon,George W. Bush,republican,11671.0,15775,"Georgia, Gordon"
2004,Georgia,GA,Grady,John Kerry,democrat,3092.0,8191,"Georgia, Grady"
2004,Georgia,GA,Grady,George W. Bush,republican,5068.0,8191,"Georgia, Grady"
2004,Georgia,GA,Greene,John Kerry,democrat,2774.0,6872,"Georgia, Greene"
2004,Georgia,GA,Greene,George W. Bush,republican,4069.0,6872,"Georgia, Greene"
2004,Georgia,GA,Gwinnett,John Kerry,democrat,81708.0,243917,"Georgia, Gwinnett"
2004,Georgia,GA,Gwinnett,George W. Bush,republican,160445.0,243917,"Georgia, Gwinnett"
2004,Georgia,GA,Habersham,John Kerry,democrat,2750.0,13245,"Georgia, Habersham"
2004,Georgia,GA,Habersham,George W. Bush,republican,10434.0,13245,"Georgia, Habersham"
2004,Georgia,GA,Hall,John Kerry,democrat,10514.0,49696,"Georgia, Hall"
2004,Georgia,GA,Hall,George W. Bush,republican,38883.0,49696,"Georgia, Hall"
2004,Georgia,GA,Hancock,John Kerry,democrat,2715.0,3550,"Georgia, Hancock"
2004,Georgia,GA,Hancock,George W. Bush,republican,822.0,3550,"Georgia, Hancock"
2004,Georgia,GA,Haralson,John Kerry,democrat,2434.0,10193,"Georgia, Haralson"
2004,Georgia,GA,Haralson,George W. Bush,republican,7703.0,10193,"Georgia, Haralson"
2004,Georgia,GA,Harris,John Kerry,democrat,3400.0,12331,"Georgia, Harris"
2004,Georgia,GA,Harris,George W. Bush,republican,8878.0,12331,"Georgia, Harris"
2004,Georgia,GA,Hart,John Kerry,democrat,3479.0,9021,"Georgia, Hart"
2004,Georgia,GA,Hart,George W. Bush,republican,5500.0,9021,"Georgia, Hart"
2004,Georgia,GA,Heard,John Kerry,democrat,1148.0,3955,"Georgia, Heard"
2004,Georgia,GA,Heard,George W. Bush,republican,2788.0,3955,"Georgia, Heard"
2004,Georgia,GA,Henry,John Kerry,democrat,21096.0,64153,"Georgia, Henry"
2004,Georgia,GA,Henry,George W. Bush,republican,42759.0,64153,"Georgia, Henry"
2004,Georgia,GA,Houston,John Kerry,democrat,15054.0,45153,"Georgia, Houston"
2004,Georgia,GA,Houston,George W. Bush,republican,29862.0,45153,"Georgia, Houston"
2004,Georgia,GA,Irwin,John Kerry,democrat,1051.0,3414,"Georgia, Irwin"
2004,Georgia,GA,Irwin,George W. Bush,republican,2347.0,3414,"Georgia, Irwin"
2004,Georgia,GA,Jackson,John Kerry,democrat,3468.0,16170,"Georgia, Jackson"
2004,Georgia,GA,Jackson,George W. Bush,republican,12611.0,16170,"Georgia, Jackson"
2004,Georgia,GA,Jasper,John Kerry,democrat,1558.0,4740,"Georgia, Jasper"
2004,Georgia,GA,Jasper,George W. Bush,republican,3157.0,4740,"Georgia, Jasper"
2004,Georgia,GA,Jeff Davis,John Kerry,democrat,1277.0,4844,"Georgia, Jeff Davis"
2004,Georgia,GA,Jeff Davis,George W. Bush,republican,3549.0,4844,"Georgia, Jeff Davis"
2004,Georgia,GA,Jefferson,John Kerry,democrat,3447.0,6535,"Georgia, Jefferson"
2004,Georgia,GA,Jefferson,George W. Bush,republican,3066.0,6535,"Georgia, Jefferson"
2004,Georgia,GA,Jenkins,John Kerry,democrat,1494.0,3403,"Georgia, Jenkins"
2004,Georgia,GA,Jenkins,George W. Bush,republican,1898.0,3403,"Georgia, Jenkins"
2004,Georgia,GA,Johnson,John Kerry,democrat,1263.0,3553,"Georgia, Johnson"
2004,Georgia,GA,Johnson,George W. Bush,republican,2279.0,3553,"Georgia, Johnson"
2004,Georgia,GA,Jones,John Kerry,democrat,3855.0,10845,"Georgia, Jones"
2004,Georgia,GA,Jones,George W. Bush,republican,6939.0,10845,"Georgia, Jones"
2004,Georgia,GA,Lamar,John Kerry,democrat,2432.0,6494,"Georgia, Lamar"
2004,Georgia,GA,Lamar,George W. Bush,republican,4027.0,6494,"Georgia, Lamar"
2004,Georgia,GA,Lanier,John Kerry,democrat,931.0,2584,"Georgia, Lanier"
2004,Georgia,GA,Lanier,George W. Bush,republican,1641.0,2584,"Georgia, Lanier"
2004,Georgia,GA,Laurens,John Kerry,democrat,6281.0,17237,"Georgia, Laurens"
2004,Georgia,GA,Laurens,George W. Bush,republican,10883.0,17237,"Georgia, Laurens"
2004,Georgia,GA,Lee,John Kerry,democrat,2182.0,10413,"Georgia, Lee"
2004,Georgia,GA,Lee,George W. Bush,republican,8201.0,10413,"Georgia, Lee"
2004,Georgia,GA,Liberty,John Kerry,democrat,6619.0,12800,"Georgia, Liberty"
2004,Georgia,GA,Liberty,George W. Bush,republican,6131.0,12800,"Georgia, Liberty"
2004,Georgia,GA,Lincoln,John Kerry,democrat,1337.0,3657,"Georgia, Lincoln"
2004,Georgia,GA,Lincoln,George W. Bush,republican,2309.0,3657,"Georgia, Lincoln"
2004,Georgia,GA,Long,John Kerry,democrat,1033.0,3036,"Georgia, Long"
2004,Georgia,GA,Long,George W. Bush,republican,1994.0,3036,"Georgia, Long"
2004,Georgia,GA,Lowndes,John Kerry,democrat,12516.0,31622,"Georgia, Lowndes"
2004,Georgia,GA,Lowndes,George W. Bush,republican,18981.0,31622,"Georgia, Lowndes"
2004,Georgia,GA,Lumpkin,John Kerry,democrat,2091.0,8855,"Georgia, Lumpkin"
2004,Georgia,GA,Lumpkin,George W. Bush,republican,6690.0,8855,"Georgia, Lumpkin"
2004,Georgia,GA,Macon,John Kerry,democrat,2906.0,4777,"Georgia, Macon"
2004,Georgia,GA,Macon,George W. Bush,republican,1851.0,4777,"Georgia, Macon"
2004,Georgia,GA,Madison,John Kerry,democrat,2527.0,9833,"Georgia, Madison"
2004,Georgia,GA,Madison,George W. Bush,republican,7254.0,9833,"Georgia, Madison"
2004,Georgia,GA,Marion,John Kerry,democrat,1275.0,2952,"Georgia, Marion"
2004,Georgia,GA,Marion,George W. Bush,republican,1670.0,2952,"Georgia, Marion"
2004,Georgia,GA,McDuffie,John Kerry,democrat,2899.0,7773,"Georgia, McDuffie"
2004,Georgia,GA,McDuffie,George W. Bush,republican,4846.0,7773,"Georgia, McDuffie"
2004,Georgia,GA,McIntosh,John Kerry,democrat,2523.0,5378,"Georgia, McIntosh"
2004,Georgia,GA,McIntosh,George W. Bush,republican,2837.0,5378,"Georgia, McIntosh"
2004,Georgia,GA,Meriwether,John Kerry,democrat,3709.0,8147,"Georgia, Meriwether"
2004,Georgia,GA,Meriwether,George W. Bush,republican,4402.0,8147,"Georgia, Meriwether"
2004,Georgia,GA,Miller,John Kerry,democrat,736.0,2441,"Georgia, Miller"
2004,Georgia,GA,Miller,George W. Bush,republican,1694.0,2441,"Georgia, Miller"
2004,Georgia,GA,Mitchell,John Kerry,democrat,3360.0,7267,"Georgia, Mitchell"
2004,Georgia,GA,Mitchell,George W. Bush,republican,3885.0,7267,"Georgia, Mitchell"
2004,Georgia,GA,Monroe,John Kerry,democrat,3216.0,9783,"Georgia, Monroe"
2004,Georgia,GA,Monroe,George W. Bush,republican,6522.0,9783,"Georgia, Monroe"
2004,Georgia,GA,Montgomery,John Kerry,democrat,1007.0,3168,"Georgia, Montgomery"
2004,Georgia,GA,Montgomery,George W. Bush,republican,2150.0,3168,"Georgia, Montgomery"
2004,Georgia,GA,Morgan,John Kerry,democrat,2304.0,7242,"Georgia, Morgan"
2004,Georgia,GA,Morgan,George W. Bush,republican,4902.0,7242,"Georgia, Morgan"
2004,Georgia,GA,Murray,John Kerry,democrat,2899.0,10689,"Georgia, Murray"
2004,Georgia,GA,Murray,George W. Bush,republican,7745.0,10689,"Georgia, Murray"
2004,Georgia,GA,Muscogee,John Kerry,democrat,32867.0,63948,"Georgia, Muscogee"
2004,Georgia,GA,Muscogee,George W. Bush,republican,30850.0,63948,"Georgia, Muscogee"
2004,Georgia,GA,Newton,John Kerry,democrat,10939.0,29166,"Georgia, Newton"
2004,Georgia,GA,Newton,George W. Bush,republican,18095.0,29166,"Georgia, Newton"
2004,Georgia,GA,Oconee,John Kerry,democrat,3789.0,14170,"Georgia, Oconee"
2004,Georgia,GA,Oconee,George W. Bush,republican,10276.0,14170,"Georgia, Oconee"
2004,Georgia,GA,Oglethorpe,John Kerry,democrat,1899.0,5628,"Georgia, Oglethorpe"
2004,Georgia,GA,Oglethorpe,George W. Bush,republican,3688.0,5628,"Georgia, Oglethorpe"
2004,Georgia,GA,Paulding,John Kerry,democrat,9420.0,40467,"Georgia, Paulding"
2004,Georgia,GA,Paulding,George W. Bush,republican,30843.0,40467,"Georgia, Paulding"
2004,Georgia,GA,Peach,John Kerry,democrat,3961.0,8545,"Georgia, Peach"
2004,Georgia,GA,Peach,George W. Bush,republican,4554.0,8545,"Georgia, Peach"
2004,Georgia,GA,Pickens,John Kerry,democrat,2444.0,10627,"Georgia, Pickens"
2004,Georgia,GA,Pickens,George W. Bush,republican,8115.0,10627,"Georgia, Pickens"
2004,Georgia,GA,Pierce,John Kerry,democrat,1234.0,5923,"Georgia, Pierce"
2004,Georgia,GA,Pierce,George W. Bush,republican,4680.0,5923,"Georgia, Pierce"
2004,Georgia,GA,Pike,John Kerry,democrat,1506.0,6741,"Georgia, Pike"
2004,Georgia,GA,Pike,George W. Bush,republican,5193.0,6741,"Georgia, Pike"
2004,Georgia,GA,Polk,John Kerry,democrat,3868.0,12395,"Georgia, Polk"
2004,Georgia,GA,Polk,George W. Bush,republican,8467.0,12395,"Georgia, Polk"
2004,Georgia,GA,Pulaski,John Kerry,democrat,1294.0,3511,"Georgia, Pulaski"
2004,Georgia,GA,Pulaski,George W. Bush,republican,2202.0,3511,"Georgia, Pulaski"
2004,Georgia,GA,Putnam,John Kerry,democrat,2880.0,8107,"Georgia, Putnam"
2004,Georgia,GA,Putnam,George W. Bush,republican,5188.0,8107,"Georgia, Putnam"
2004,Georgia,GA,Quitman,John Kerry,democrat,543.0,965,"Georgia, Quitman"
2004,Georgia,GA,Quitman,George W. Bush,republican,409.0,965,"Georgia, Quitman"
2004,Georgia,GA,Rabun,John Kerry,democrat,1918.0,6625,"Georgia, Rabun"
2004,Georgia,GA,Rabun,George W. Bush,republican,4650.0,6625,"Georgia, Rabun"
2004,Georgia,GA,Randolph,John Kerry,democrat,1612.0,3047,"Georgia, Randolph"
2004,Georgia,GA,Randolph,George W. Bush,republican,1418.0,3047,"Georgia, Randolph"
2004,Georgia,GA,Richmond,John Kerry,democrat,39262.0,69282,"Georgia, Richmond"
2004,Georgia,GA,Richmond,George W. Bush,republican,29764.0,69282,"Georgia, Richmond"
2004,Georgia,GA,Rockdale,John Kerry,democrat,12136.0,31156,"Georgia, Rockdale"
2004,Georgia,GA,Rockdale,George W. Bush,republican,18856.0,31156,"Georgia, Rockdale"
2004,Georgia,GA,Schley,John Kerry,democrat,464.0,1530,"Georgia, Schley"
2004,Georgia,GA,Schley,George W. Bush,republican,1063.0,1530,"Georgia, Schley"
2004,Georgia,GA,Screven,John Kerry,democrat,2534.0,5923,"Georgia, Screven"
2004,Georgia,GA,Screven,George W. Bush,republican,3360.0,5923,"Georgia, Screven"
2004,Georgia,GA,Seminole,John Kerry,democrat,1278.0,3274,"Georgia, Seminole"
2004,Georgia,GA,Seminole,George W. Bush,republican,1977.0,3274,"Georgia, Seminole"
2004,Georgia,GA,Spalding,John Kerry,democrat,7460.0,21007,"Georgia, Spalding"
2004,Georgia,GA,Spalding,George W. Bush,republican,13461.0,21007,"Georgia, Spalding"
2004,Georgia,GA,Stephens,John Kerry,democrat,2714.0,9660,"Georgia, Stephens"
2004,Georgia,GA,Stephens,George W. Bush,republican,6904.0,9660,"Georgia, Stephens"
2004,Georgia,GA,Stewart,John Kerry,democrat,1220.0,2031,"Georgia, Stewart"
2004,Georgia,GA,Stewart,George W. Bush,republican,797.0,2031,"Georgia, Stewart"
2004,Georgia,GA,Sumter,John Kerry,democrat,5562.0,11287,"Georgia, Sumter"
2004,Georgia,GA,Sumter,George W. Bush,republican,5688.0,11287,"Georgia, Sumter"
2004,Georgia,GA,Talbot,John Kerry,democrat,1830.0,2943,"Georgia, Talbot"
2004,Georgia,GA,Talbot,George W. Bush,republican,1103.0,2943,"Georgia, Talbot"
2004,Georgia,GA,Taliaferro,John Kerry,democrat,612.0,951,"Georgia, Taliaferro"
2004,Georgia,GA,Taliaferro,George W. Bush,republican,335.0,951,"Georgia, Taliaferro"
2004,Georgia,GA,Tattnall,John Kerry,democrat,1787.0,6463,"Georgia, Tattnall"
2004,Georgia,GA,Tattnall,George W. Bush,republican,4657.0,6463,"Georgia, Tattnall"
2004,Georgia,GA,Taylor,John Kerry,democrat,1458.0,3381,"Georgia, Taylor"
2004,Georgia,GA,Taylor,George W. Bush,republican,1912.0,3381,"Georgia, Taylor"
2004,Georgia,GA,Telfair,John Kerry,democrat,1590.0,3775,"Georgia, Telfair"
2004,Georgia,GA,Telfair,George W. Bush,republican,2171.0,3775,"Georgia, Telfair"
2004,Georgia,GA,Terrell,John Kerry,democrat,1951.0,3824,"Georgia, Terrell"
2004,Georgia,GA,Terrell,George W. Bush,republican,1859.0,3824,"Georgia, Terrell"
2004,Georgia,GA,Thomas,John Kerry,democrat,5997.0,15705,"Georgia, Thomas"
2004,Georgia,GA,Thomas,George W. Bush,republican,9659.0,15705,"Georgia, Thomas"
2004,Georgia,GA,Tift,John Kerry,democrat,3864.0,12520,"Georgia, Tift"
2004,Georgia,GA,Tift,George W. Bush,republican,8619.0,12520,"Georgia, Tift"
2004,Georgia,GA,Toombs,John Kerry,democrat,2567.0,8813,"Georgia, Toombs"
2004,Georgia,GA,Toombs,George W. Bush,republican,6196.0,8813,"Georgia, Toombs"
2004,Georgia,GA,Towns,John Kerry,democrat,1430.0,5277,"Georgia, Towns"
2004,Georgia,GA,Towns,George W. Bush,republican,3823.0,5277,"Georgia, Towns"
2004,Georgia,GA,Treutlen,John Kerry,democrat,1052.0,2756,"Georgia, Treutlen"
2004,Georgia,GA,Treutlen,George W. Bush,republican,1691.0,2756,"Georgia, Treutlen"
2004,Georgia,GA,Troup,John Kerry,democrat,7630.0,21912,"Georgia, Troup"
2004,Georgia,GA,Troup,George W. Bush,republican,14183.0,21912,"Georgia, Troup"
2004,Georgia,GA,Turner,John Kerry,democrat,1135.0,2960,"Georgia, Turner"
2004,Georgia,GA,Turner,George W. Bush,republican,1815.0,2960,"Georgia, Turner"
2004,Georgia,GA,Twiggs,John Kerry,democrat,2220.0,4365,"Georgia, Twiggs"
2004,Georgia,GA,Twiggs,George W. Bush,republican,2112.0,4365,"Georgia, Twiggs"
2004,Georgia,GA,Union,John Kerry,democrat,2327.0,9225,"Georgia, Union"
2004,Georgia,GA,Union,George W. Bush,republican,6847.0,9225,"Georgia, Union"
2004,Georgia,GA,Upson,John Kerry,democrat,3424.0,10086,"Georgia, Upson"
2004,Georgia,GA,Upson,George W. Bush,republican,6634.0,10086,"Georgia, Upson"
2004,Georgia,GA,Walker,John Kerry,democrat,5986.0,21453,"Georgia, Walker"
2004,Georgia,GA,Walker,George W. Bush,republican,15340.0,21453,"Georgia, Walker"
2004,Georgia,GA,Walton,John Kerry,democrat,5887.0,27624,"Georgia, Walton"
2004,Georgia,GA,Walton,George W. Bush,republican,21594.0,27624,"Georgia, Walton"
2004,Georgia,GA,Ware,John Kerry,democrat,3449.0,11281,"Georgia, Ware"
2004,Georgia,GA,Ware,George W. Bush,republican,7790.0,11281,"Georgia, Ware"
2004,Georgia,GA,Warren,John Kerry,democrat,1360.0,2489,"Georgia, Warren"
2004,Georgia,GA,Warren,George W. Bush,republican,1121.0,2489,"Georgia, Warren"
2004,Georgia,GA,Washington,John Kerry,democrat,3733.0,7847,"Georgia, Washington"
2004,Georgia,GA,Washington,George W. Bush,republican,4081.0,7847,"Georgia, Washington"
2004,Georgia,GA,Wayne,John Kerry,democrat,2683.0,9542,"Georgia, Wayne"
2004,Georgia,GA,Wayne,George W. Bush,republican,6819.0,9542,"Georgia, Wayne"
2004,Georgia,GA,Webster,John Kerry,democrat,515.0,1004,"Georgia, Webster"
2004,Georgia,GA,Webster,George W. Bush,republican,485.0,1004,"Georgia, Webster"
2004,Georgia,GA,Wheeler,John Kerry,democrat,847.0,2049,"Georgia, Wheeler"
2004,Georgia,GA,Wheeler,George W. Bush,republican,1192.0,2049,"Georgia, Wheeler"
2004,Georgia,GA,White,John Kerry,democrat,2016.0,9483,"Georgia, White"
2004,Georgia,GA,White,George W. Bush,republican,7403.0,9483,"Georgia, White"
2004,Georgia,GA,Whitfield,John Kerry,democrat,6933.0,26356,"Georgia, Whitfield"
2004,Georgia,GA,Whitfield,George W. Bush,republican,19297.0,26356,"Georgia, Whitfield"
2004,Georgia,GA,Wilcox,John Kerry,democrat,902.0,2613,"Georgia, Wilcox"
2004,Georgia,GA,Wilcox,George W. Bush,republican,1705.0,2613,"Georgia, Wilcox"
2004,Georgia,GA,Wilkes,John Kerry,democrat,2028.0,4543,"Georgia, Wilkes"
2004,Georgia,GA,Wilkes,George W. Bush,republican,2490.0,4543,"Georgia, Wilkes"
2004,Georgia,GA,Wilkinson,John Kerry,democrat,2235.0,4514,"Georgia, Wilkinson"
2004,Georgia,GA,Wilkinson,George W. Bush,republican,2261.0,4514,"Georgia, Wilkinson"
2004,Georgia,GA,Worth,John Kerry,democrat,2219.0,7348,"Georgia, Worth"
2004,Georgia,GA,Worth,George W. Bush,republican,5105.0,7348,"Georgia, Worth"
2004,Hawaii,HI,Hawaii,John Kerry,democrat,35116.0,57702,"Hawaii, Hawaii"
2004,Hawaii,HI,Hawaii,George W. Bush,republican,22032.0,57702,"Hawaii, Hawaii"
2004,Hawaii,HI,Honolulu,John Kerry,democrat,152500.0,298547,"Hawaii, Honolulu"
2004,Hawaii,HI,Honolulu,George W. Bush,republican,144157.0,298547,"Hawaii, Honolulu"
2004,Hawaii,HI,Kauai,John Kerry,democrat,14916.0,24876,"Hawaii, Kauai"
2004,Hawaii,HI,Kauai,George W. Bush,republican,9740.0,24876,"Hawaii, Kauai"
2004,Hawaii,HI,Maui,John Kerry,democrat,28803.0,47430,"Hawaii, Maui"
2004,Hawaii,HI,Maui,George W. Bush,republican,18187.0,47430,"Hawaii, Maui"
2004,Idaho,ID,Ada,John Kerry,democrat,58523.0,155002,"Idaho, Ada"
2004,Idaho,ID,Ada,George W. Bush,republican,94641.0,155002,"Idaho, Ada"
2004,Idaho,ID,Adams,John Kerry,democrat,555.0,2063,"Idaho, Adams"
2004,Idaho,ID,Adams,George W. Bush,republican,1468.0,2063,"Idaho, Adams"
2004,Idaho,ID,Bannock,John Kerry,democrat,12903.0,34843,"Idaho, Bannock"
2004,Idaho,ID,Bannock,George W. Bush,republican,21479.0,34843,"Idaho, Bannock"
2004,Idaho,ID,Bear Lake,John Kerry,democrat,494.0,3040,"Idaho, Bear Lake"
2004,Idaho,ID,Bear Lake,George W. Bush,republican,2506.0,3040,"Idaho, Bear Lake"
2004,Idaho,ID,Benewah,John Kerry,democrat,1148.0,4047,"Idaho, Benewah"
2004,Idaho,ID,Benewah,George W. Bush,republican,2823.0,4047,"Idaho, Benewah"
2004,Idaho,ID,Bingham,John Kerry,democrat,3605.0,16564,"Idaho, Bingham"
2004,Idaho,ID,Bingham,George W. Bush,republican,12734.0,16564,"Idaho, Bingham"
2004,Idaho,ID,Blaine,John Kerry,democrat,5992.0,10146,"Idaho, Blaine"
2004,Idaho,ID,Blaine,George W. Bush,republican,4034.0,10146,"Idaho, Blaine"
2004,Idaho,ID,Boise,John Kerry,democrat,970.0,3527,"Idaho, Boise"
2004,Idaho,ID,Boise,George W. Bush,republican,2501.0,3527,"Idaho, Boise"
2004,Idaho,ID,Bonner,John Kerry,democrat,6649.0,17681,"Idaho, Bonner"
2004,Idaho,ID,Bonner,George W. Bush,republican,10697.0,17681,"Idaho, Bonner"
2004,Idaho,ID,Bonneville,John Kerry,democrat,8356.0,38871,"Idaho, Bonneville"
2004,Idaho,ID,Bonneville,George W. Bush,republican,30048.0,38871,"Idaho, Bonneville"
2004,Idaho,ID,Boundary,John Kerry,democrat,1268.0,4378,"Idaho, Boundary"
2004,Idaho,ID,Boundary,George W. Bush,republican,3012.0,4378,"Idaho, Boundary"
2004,Idaho,ID,Butte,John Kerry,democrat,321.0,1406,"Idaho, Butte"
2004,Idaho,ID,Butte,George W. Bush,republican,1077.0,1406,"Idaho, Butte"
2004,Idaho,ID,Camas,John Kerry,democrat,139.0,595,"Idaho, Camas"
2004,Idaho,ID,Camas,George W. Bush,republican,450.0,595,"Idaho, Camas"
2004,Idaho,ID,Canyon,John Kerry,democrat,13415.0,55692,"Idaho, Canyon"
2004,Idaho,ID,Canyon,George W. Bush,republican,41599.0,55692,"Idaho, Canyon"
2004,Idaho,ID,Caribou,John Kerry,democrat,491.0,3281,"Idaho, Caribou"
2004,Idaho,ID,Caribou,George W. Bush,republican,2753.0,3281,"Idaho, Caribou"
2004,Idaho,ID,Cassia,John Kerry,democrat,1153.0,7821,"Idaho, Cassia"
2004,Idaho,ID,Cassia,George W. Bush,republican,6562.0,7821,"Idaho, Cassia"
2004,Idaho,ID,Clark,John Kerry,democrat,46.0,353,"Idaho, Clark"
2004,Idaho,ID,Clark,George W. Bush,republican,302.0,353,"Idaho, Clark"
2004,Idaho,ID,Clearwater,John Kerry,democrat,1117.0,4034,"Idaho, Clearwater"
2004,Idaho,ID,Clearwater,George W. Bush,republican,2839.0,4034,"Idaho, Clearwater"
2004,Idaho,ID,Custer,John Kerry,democrat,559.0,2358,"Idaho, Custer"
2004,Idaho,ID,Custer,George W. Bush,republican,1762.0,2358,"Idaho, Custer"
2004,Idaho,ID,Elmore,John Kerry,democrat,1959.0,8059,"Idaho, Elmore"
2004,Idaho,ID,Elmore,George W. Bush,republican,6011.0,8059,"Idaho, Elmore"
2004,Idaho,ID,Franklin,John Kerry,democrat,456.0,5054,"Idaho, Franklin"
2004,Idaho,ID,Franklin,George W. Bush,republican,4527.0,5054,"Idaho, Franklin"
2004,Idaho,ID,Fremont,John Kerry,democrat,741.0,5769,"Idaho, Fremont"
2004,Idaho,ID,Fremont,George W. Bush,republican,4965.0,5769,"Idaho, Fremont"
2004,Idaho,ID,Gem,John Kerry,democrat,1628.0,7134,"Idaho, Gem"
2004,Idaho,ID,Gem,George W. Bush,republican,5416.0,7134,"Idaho, Gem"
2004,Idaho,ID,Gooding,John Kerry,democrat,1278.0,5325,"Idaho, Gooding"
2004,Idaho,ID,Gooding,George W. Bush,republican,3973.0,5325,"Idaho, Gooding"
2004,Idaho,ID,Idaho,John Kerry,democrat,1689.0,7965,"Idaho, Idaho"
2004,Idaho,ID,Idaho,George W. Bush,republican,6017.0,7965,"Idaho, Idaho"
2004,Idaho,ID,Jefferson,John Kerry,democrat,1084.0,8906,"Idaho, Jefferson"
2004,Idaho,ID,Jefferson,George W. Bush,republican,7703.0,8906,"Idaho, Jefferson"
2004,Idaho,ID,Jerome,John Kerry,democrat,1344.0,6580,"Idaho, Jerome"
2004,Idaho,ID,Jerome,George W. Bush,republican,5177.0,6580,"Idaho, Jerome"
2004,Idaho,ID,Kootenai,John Kerry,democrat,17584.0,54596,"Idaho, Kootenai"
2004,Idaho,ID,Kootenai,George W. Bush,republican,36173.0,54596,"Idaho, Kootenai"
2004,Idaho,ID,Latah,John Kerry,democrat,8430.0,17547,"Idaho, Latah"
2004,Idaho,ID,Latah,George W. Bush,republican,8686.0,17547,"Idaho, Latah"
2004,Idaho,ID,Lemhi,John Kerry,democrat,915.0,4053,"Idaho, Lemhi"
2004,Idaho,ID,Lemhi,George W. Bush,republican,3079.0,4053,"Idaho, Lemhi"
2004,Idaho,ID,Lewis,John Kerry,democrat,440.0,1820,"Idaho, Lewis"
2004,Idaho,ID,Lewis,George W. Bush,republican,1359.0,1820,"Idaho, Lewis"
2004,Idaho,ID,Lincoln,John Kerry,democrat,466.0,1875,"Idaho, Lincoln"
2004,Idaho,ID,Lincoln,George W. Bush,republican,1388.0,1875,"Idaho, Lincoln"
2004,Idaho,ID,Madison,John Kerry,democrat,826.0,11637,"Idaho, Madison"
2004,Idaho,ID,Madison,George W. Bush,republican,10693.0,11637,"Idaho, Madison"
2004,Idaho,ID,Minidoka,John Kerry,democrat,1331.0,7200,"Idaho, Minidoka"
2004,Idaho,ID,Minidoka,George W. Bush,republican,5797.0,7200,"Idaho, Minidoka"
2004,Idaho,ID,Nez Perce,John Kerry,democrat,6476.0,17700,"Idaho, Nez Perce"
2004,Idaho,ID,Nez Perce,George W. Bush,republican,11009.0,17700,"Idaho, Nez Perce"
2004,Idaho,ID,Oneida,John Kerry,democrat,304.0,2133,"Idaho, Oneida"
2004,Idaho,ID,Oneida,George W. Bush,republican,1789.0,2133,"Idaho, Oneida"
2004,Idaho,ID,Owyhee,John Kerry,democrat,685.0,3590,"Idaho, Owyhee"
2004,Idaho,ID,Owyhee,George W. Bush,republican,2859.0,3590,"Idaho, Owyhee"
