State,County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Iowa,Black Hawk,128019,127765,126876,126491,126682,127021,127486,127756,129203,130595
Iowa,Boone,26251,26249,26086,26232,26372,26500,26471,26553,26454,26360
Iowa,Bremer,23312,23506,23386,23549,23728,23833,24054,24237,24162,24183
Iowa,Buchanan,21064,20952,20796,20822,20910,20831,20957,21069,21154,21016
Iowa,Buena Vista,20361,20241,20233,20141,20000,19970,19909,19798,19855,20004
Iowa,Butler,15299,15065,14926,14939,14985,14965,14931,14961,14957,14699
Iowa,Calhoun,11088,10918,10683,10488,10382,10228,10093,9947,9845,9684
Iowa,Carroll,21382,21225,21159,21024,20936,20973,20832,20869,20742,20743
Iowa,Cass,14675,14488,14242,14275,14142,14002,14021,13988,13935,13949
Iowa,Cedar,18199,18126,18150,18224,18248,18213,18332,18321,18460,18458
Iowa,Cerro Gordo,46389,45844,45430,45412,44993,44741,44531,44461,44285,44239
Iowa,Cherokee,13019,12905,12685,12579,12510,12380,12215,12152,12014,11953
Iowa,Chickasaw,13168,13192,12941,12770,12691,12561,12603,12540,12471,12465
Iowa,Clarke,9194,9207,9213,9282,9307,9180,9196,9149,9217,9228
Iowa,Clay,17360,17256,17086,16985,16960,16848,16812,16725,16697,16708
Iowa,Clayton,18611,18529,18369,18357,18358,18269,18272,18259,18209,18185
Iowa,Clinton,50120,49889,49659,49585,49498,49475,49487,49342,49303,49147
Iowa,Crawford,16944,16960,16981,16953,16941,16920,16868,16931,16881,16944
Iowa,Dallas,41446,43204,44960,47118,50387,53042,56158,59164,62144,64489
Iowa,Davis,8544,8588,8586,8534,8612,8583,8619,8676,8675,8701
Iowa,Decatur,8645,8669,8603,8575,8580,8618,8576,8569,8457,8506
Iowa,Delaware,18416,18294,18271,18190,18066,17955,17957,17981,17840,17755
Iowa,Des Moines,42253,41820,41138,41047,40562,40332,40192,40206,40235,40379
Iowa,Dickinson,16460,16477,16351,16339,16506,16644,16667,16634,16690,16666
Iowa,Dubuque,89201,88932,89132,90012,90462,90769,91258,92130,92519,92948
Iowa,Emmet,10995,10890,10815,10724,10553,10527,10437,10417,10448,10361
Iowa,Fayette,22022,21791,21643,21604,21415,21426,21265,21005,20910,20939
Iowa,Floyd,16854,16660,16670,16641,16586,16520,16586,16497,16331,16248
Iowa,Franklin,10679,10618,10674,10655,10716,10766,10699,10759,10690,10656
Iowa,Fremont,7995,7874,7787,7743,7655,7616,7622,7642,7489,7453
Iowa,Greene,10341,10150,10105,9996,9932,9800,9611,9548,9415,9329
Iowa,Grundy,12368,12319,12372,12348,12383,12406,12436,12317,12359,12447
Iowa,Guthrie,11334,11225,11227,11343,11389,11249,11150,11116,11038,10939
Iowa,Hamilton,16423,16236,16337,16366,16285,16261,16144,15987,15863,15739
Iowa,Hancock,12109,11954,11846,11905,11838,11834,11729,11580,11525,11371
Iowa,Hardin,18807,18669,18476,18327,18164,17974,17893,17789,17690,17535
Iowa,Harrison,15685,15592,15421,15444,15412,15362,15346,15177,14946,14972
Iowa,Henry,20341,20408,20086,20225,20225,20354,20326,20359,20307,20202
Iowa,Howard,9934,9908,9860,9808,9792,9760,9664,9636,9625,9568
Iowa,Humboldt,10377,10335,10176,10154,10121,10033,10038,9935,9911,9843
Iowa,Ida,7804,7704,7636,7571,7457,7369,7247,7228,7215,7090
Iowa,Iowa,15729,15868,15911,16062,16108,16297,16391,16308,16337,16406
Iowa,Jackson,20297,20267,20142,20148,20146,20124,20092,20015,19919,19841
Iowa,Jasper,37252,37377,37552,37703,37645,37482,37288,37167,37103,36879
Iowa,Jefferson,16189,16207,16131,16194,16298,16315,16401,16600,16607,16782
Iowa,Johnson,111455,113546,114948,116673,118891,120300,122226,124541,127113,129864
Iowa,Jones,20259,20254,20283,20406,20613,20605,20678,20803,20848,20562
Iowa,Keokuk,11418,11369,11330,11186,11061,10881,10713,10688,10620,10552
Iowa,Kossuth,17206,16912,16670,16525,16437,16287,16045,15878,15685,15630
Iowa,Lee,37931,37435,36960,36627,36587,36364,36291,36130,35819,35856
Iowa,Linn,192365,194359,195987,196920,198314,200395,202709,205840,208558,210217
Iowa,Louisa,12174,12184,12225,12230,12115,11862,11904,11892,11830,11416
Iowa,Lucas,9369,9386,9360,9384,9508,9462,9331,9280,9137,8948
Iowa,Lyon,11748,11684,11670,11702,11692,11677,11604,11536,11545,11557
Iowa,Madison,14049,14144,14312,14481,14733,14918,15262,15418,15517,15510
Iowa,Mahaska,22299,22407,22394,22156,22240,22454,22298,22388,22483,22364
Iowa,Marion,32104,32583,32572,32547,32618,32774,33396,33279,33515,33468
Iowa,Marshall,39356,39414,39297,39397,39711,39646,39601,39875,40151,40280
Iowa,Mills,14554,14497,14546,14621,14715,14905,15214,15239,15214,15056
Iowa,Mitchell,10868,10736,10822,10830,10898,10800,10836,10812,10815,10763
Iowa,Monona,10009,9860,9791,9819,9681,9566,9479,9423,9350,9247
Iowa,Monroe,8005,7986,7887,7954,7969,7955,7911,7877,7904,7924
Iowa,Montgomery,11793,11509,11313,11211,11191,11214,11179,10981,10823,10803
Iowa,Muscatine,41791,41760,41757,41654,41758,41894,42145,42325,42515,42783
Iowa,O'Brien,15067,14950,14808,14762,14564,14552,14558,14421,14332,14412
Iowa,Osceola,6985,6963,6899,6888,6863,6743,6713,6600,6617,6509
Iowa,Page,16939,16822,16506,16356,16227,16274,16331,16256,16083,15885
Iowa,Palo Alto,10135,10051,9896,9748,9753,9702,9586,9577,9486,9510
Iowa,Plymouth,24870,24847,24729,24858,25042,24980,24982,24886,24898,24904
Iowa,Pocahontas,8602,8465,8355,8170,8003,7835,7694,7667,7510,7395
Iowa,Polk,375627,380108,384355,388277,392164,399030,405990,413024,419495,425737
Iowa,Pottawattamie,88022,87953,88447,88821,89762,90198,90867,91239,91781,92395
Iowa,Poweshiek,18903,18972,18941,19060,19106,19002,19053,19140,19025,18958
Iowa,Ringgold,5465,5415,5339,5332,5335,5304,5230,5201,5164,5119
Iowa,Sac,11481,11403,11119,10967,10871,10716,10707,10532,10475,10342
Iowa,Scott,158614,158203,158086,158048,158145,158543,159597,160077,161824,163582
Iowa,Shelby,13031,12990,12869,12819,12750,12547,12480,12496,12338,12165
Iowa,Sioux,31609,31952,32164,32318,32547,32726,33077,33150,33364,33587
Iowa,Story,80152,80260,81885,82068,82754,82884,84739,86540,87831,89285
Iowa,Tama,18084,18080,18017,18030,18167,18197,18149,18064,17986,17833
Iowa,Taylor,6976,6894,6813,6747,6689,6534,6557,6448,6348,6355
Iowa,Union,12281,12240,12163,12004,12085,12143,12225,12319,12447,12527
Iowa,Van Buren,7793,7716,7722,7672,7665,7638,7660,7690,7699,7628
Iowa,Wapello,36007,35947,35796,35750,35709,35855,35776,35458,35381,35481
Iowa,Warren,40787,41080,41422,42187,42584,43339,44178,44868,45450,45926
Iowa,Washington,20718,21064,21108,21190,21258,21350,21472,21588,21686,21692
Iowa,Wayne,6728,6655,6665,6614,6561,6494,6478,6376,6373,6393
Iowa,Webster,40234,40045,39654,39377,38922,38562,38534,38393,38273,38316
Iowa,Winnebago,11778,11586,11403,11412,11321,11340,11138,10986,10927,10917
Iowa,Winneshiek,21265,21258,21183,21006,21040,21060,21012,21078,20980,21025
Iowa,Woodbury,103786,103129,102666,102039,101816,100589,100693,100492,100910,101581
Iowa,Worth,7894,7797,7795,7734,7731,7742,7649,7655,7632,7610
Iowa,Wright,14327,14133,13957,13831,13808,13717,13588,13492,13375,13262
Kansas,Allen,14393,14171,14110,13940,13923,13733,13639,13545,13422,13407
Kansas,Anderson,8091,8195,8143,8190,8101,8087,8023,8040,8158,8101
Kansas,Atchison,16796,16868,16823,16875,16937,16865,16902,16864,16820,16965
Kansas,Barber,5292,5158,5088,5049,5004,4984,5003,4927,4844,4882
Kansas,Barton,28163,27771,27684,27581,27390,27536,27460,27492,27314,27526
Kansas,Bourbon,15366,15368,15200,15187,15110,15002,14990,15038,15127,15157
Kansas,Brown,10709,10555,10373,10271,10253,10087,10111,10036,9988,9972
Kansas,Butler,59681,59894,60473,61056,61849,62547,63571,64213,64941,65617
Kansas,Chase,3019,2966,3008,2942,2996,2962,2949,2840,2810,2779
Kansas,Chautauqua,4344,4240,4183,4143,4139,3989,3836,3757,3735,3691
Kansas,Cherokee,22554,22338,22185,22138,22124,21750,21855,21896,21720,21658
Kansas,Cheyenne,3157,3083,3033,2957,2922,2880,2866,2810,2778,2743
Kansas,Clark,2402,2393,2372,2364,2358,2298,2252,2200,2225,2242
Kansas,Clay,8827,8730,8607,8493,8447,8444,8458,8527,8618,8500
Kansas,Cloud,10238,10090,9948,9886,9739,9741,9560,9525,9541,9545
Kansas,Coffey,8932,8828,8784,8795,8694,8622,8652,8542,8563,8566
Kansas,Comanche,1955,1984,1956,1910,1905,1931,1842,1841,1902,1878
Kansas,Cowley,36342,36103,36680,36300,36317,35928,35787,36148,36284,36195
Kansas,Crawford,38262,38434,38330,38631,38656,38638,38855,38922,38997,38966
Kansas,Decatur,3460,3450,3381,3302,3239,3128,3107,3043,2992,2980
Kansas,Dickinson,19349,19138,19121,19238,19189,19285,19429,19454,19862,19730
Kansas,Doniphan,8240,8219,8186,8144,8013,7868,7936,7988,8003,7907
Kansas,Douglas,100247,101269,102552,103570,104826,105681,107187,107892,109010,110039
Kansas,Edwards,3434,3376,3309,3223,3231,3194,3078,3068,3058,3008
Kansas,Elk,3217,3147,3148,3087,3073,3041,2971,2939,2954,2914
Kansas,Ellis,27454,27591,27532,27507,27457,27429,27653,27710,28010,28353
Kansas,Ellsworth,6536,6477,6419,6440,6437,6404,6465,6503,6471,6432
Kansas,Finney,40508,39730,38499,37701,37462,36754,36259,35663,35461,36300
Kansas,Ford,32544,32182,31981,32285,32265,32354,32029,32168,32187,33158
Kansas,Franklin,24869,25000,25218,25312,25525,25527,25716,25734,25851,25870
Kansas,Geary,27845,27821,27679,27532,27149,27099,27708,27951,30276,31537
Kansas,Gove,3087,3044,3018,2947,2896,2840,2824,2757,2646,2689
Kansas,Graham,2925,2896,2886,2842,2786,2762,2751,2707,2669,2592
Kansas,Grant,7880,7789,7901,7770,7722,7687,7707,7756,7674,7731
Kansas,Gray,5913,5921,5973,5981,5951,5882,5838,5735,5821,5920
Kansas,Greeley,1530,1524,1422,1377,1366,1299,1262,1275,1247,1210
Kansas,Greenwood,7647,7653,7567,7493,7415,7222,6944,6957,6817,6724
Kansas,Hamilton,2651,2675,2676,2694,2642,2590,2583,2633,2638,2669
Kansas,Harper,6511,6436,6307,6308,6261,6166,6049,5998,6063,6025
Kansas,Harvey,32894,32961,33254,33422,33549,33566,33659,33823,33994,34547
Kansas,Haskell,4302,4246,4194,4214,4238,4250,4182,4184,4153,4188
Kansas,Hodgeman,2072,2118,2139,2122,2089,2038,2027,1959,1949,1929
Kansas,Jackson,12655,12672,12826,12983,13069,13362,13356,13348,13235,13369
Kansas,Jefferson,18553,18640,18741,18835,19042,19159,19005,19049,19072,19037
Kansas,Jewell,3747,3603,3491,3421,3349,3271,3264,3200,3137,3077
Kansas,Johnson,454539,463554,475239,485689,495396,504441,514813,523879,532175,539396
Kansas,Kearny,4497,4489,4371,4249,4231,4147,4052,3928,3909,3941
Kansas,Kingman,8685,8597,8472,8544,8439,8249,8119,8011,7892,7885
Kansas,Kiowa,3264,3160,3150,3175,3130,3088,3039,2837,2418,2490
Kansas,Labette,22733,22436,22214,22100,21911,21913,21929,21928,21786,21759
Kansas,Lane,2145,2104,1981,1956,1916,1848,1780,1763,1756,1779
Kansas,Leavenworth,68957,69906,70793,70939,71373,71788,72741,73791,74560,75461
Kansas,Lincoln,3576,3560,3513,3536,3414,3443,3360,3365,3333,3249
Kansas,Linn,9580,9734,9724,9775,9830,10032,10013,9858,9731,9669
Kansas,Logan,3059,2992,2984,2925,2905,2881,2808,2798,2779,2729
Kansas,Lyon,35967,36049,35826,35868,36034,35936,35832,36018,35591,33777
Kansas,McPherson,29572,29489,29237,29239,29276,29375,29174,29250,29095,29222
Kansas,Marion,13394,13377,13289,13240,13066,13012,12804,12707,12639,12654
Kansas,Marshall,10933,10791,10585,10451,10312,10270,10171,10150,10174,10121
Kansas,Meade,4621,4669,4663,4595,4570,4586,4531,4490,4497,4502
Kansas,Miami,28536,28770,29072,29437,30158,30758,31180,31962,32131,32445
Kansas,Mitchell,6911,6772,6706,6688,6539,6443,6382,6389,6370,6420
Kansas,Montgomery,36242,35935,35490,35152,35150,35034,35246,35504,35538,35589
Kansas,Morris,6120,6061,5981,5922,5904,5947,5929,5931,5999,5958
Kansas,Morton,3482,3393,3387,3403,3326,3300,3285,3256,3227,3226
Kansas,Nemaha,10694,10494,10501,10490,10397,10367,10345,10325,10259,10165
Kansas,Neosho,16934,16884,16719,16615,16664,16591,16479,16578,16587,16568
Kansas,Ness,3448,3391,3352,3274,3219,3177,3135,3150,3127,3085
Kansas,Norton,5962,5863,5845,5852,5789,5765,5748,5698,5702,5640
Kansas,Osage,16756,16657,16689,16722,16843,16869,16633,16468,16439,16297
Kansas,Osborne,4436,4342,4283,4149,4094,4035,3998,3916,3867,3913
Kansas,Ottawa,6192,6142,6188,6153,6112,6097,6108,6101,6137,6114
Kansas,Pawnee,7225,7068,6996,6964,6975,7027,6889,6930,6859,6927
Kansas,Phillips,5995,5903,5833,5748,5749,5642,5573,5588,5586,5620
Kansas,Pottawatomie,18302,18412,18580,18925,19193,19444,19720,20395,20884,21206
Kansas,Pratt,9649,9579,9669,9575,9492,9618,9658,9698,9684,9669
Kansas,Rawlins,2988,2917,2903,2836,2776,2697,2663,2655,2592,2558
Kansas,Reno,64731,64584,64163,63990,63779,63778,63822,63683,63974,64196
Kansas,Republic,5804,5685,5485,5395,5285,5238,5159,5124,5067,5045
Kansas,Rice,10728,10609,10526,10465,10498,10396,10224,10103,10175,10047
Kansas,Riley,63237,62962,62625,62922,64218,64751,66928,67329,69444,69995
Kansas,Rooks,5665,5560,5482,5430,5400,5352,5322,5275,5254,5179
Kansas,Rush,3536,3511,3454,3439,3442,3384,3294,3273,3310,3253
Kansas,Russell,7349,7179,7066,7032,7085,6930,6894,6943,6869,6880
Kansas,Saline,53659,53952,54157,54018,54178,54361,54478,54723,54811,55164
Kansas,Scott,5100,5110,4960,4865,4713,4771,4738,4707,4729,4823
Kansas,Sedgwick,453705,456887,461020,462442,464021,467113,471659,478479,486077,495006
Kansas,Seward,22616,22544,22687,22647,22538,22334,22246,22409,22522,22729
Kansas,Shawnee,170027,170320,170349,170854,171378,171893,172986,174162,175449,176786
Kansas,Sheridan,2795,2728,2675,2659,2594,2618,2585,2578,2605,2575
Kansas,Sherman,6746,6606,6396,6293,6186,6155,5979,6004,6017,6004
Kansas,Smith,4519,4416,4311,4246,4190,4128,4052,4008,3909,3849
Kansas,Stafford,4752,4723,4646,4559,4468,4473,4440,4460,4404,4422
Kansas,Stanton,2394,2410,2421,2366,2354,2252,2212,2176,2169,2174
Kansas,Stevens,5460,5428,5442,5473,5626,5592,5481,5397,5440,5592
Kansas,Sumner,25946,25704,25500,25248,25146,24795,24493,24290,24238,24160
Kansas,Thomas,8179,8164,8119,8040,7919,7768,7726,7681,7685,7753
Kansas,Trego,3280,3225,3137,3097,3120,3025,2991,2971,2943,2985
Kansas,Wabaunsee,6868,6801,6750,6759,6823,6925,6845,6998,7077,7059
Kansas,Wallace,1733,1695,1671,1623,1562,1531,1527,1481,1447,1469
Kansas,Washington,6413,6281,6201,6156,6072,6022,5950,5880,5848,5779
Kansas,Wichita,2512,2511,2453,2431,2347,2361,2287,2264,2222,2211
Kansas,Wilson,10303,10216,10104,10063,9784,9772,9747,9783,9592,9485
Kansas,Woodson,3754,3742,3602,3572,3485,3523,3440,3363,3347,3309
Kansas,Wyandotte,157883,158372,157498,156276,154874,154356,153689,154267,155092,156416
Kentucky,Adair,17327,17584,17762,17924,17994,18128,18335,18493,18541,18729
Kentucky,Allen,17820,17947,18219,18434,18699,18910,19272,19540,19838,19811
Kentucky,Anderson,19151,19382,19315,19504,19714,19987,20519,20999,21088,21328
Kentucky,Ballard,8304,8225,8164,8254,8242,8269,8204,8190,8265,8204
Kentucky,Barren,38128,38517,38704,39164,39601,40320,40857,41435,41797,42171
Kentucky,Bath,11128,11280,11403,11428,11447,11538,11558,11470,11647,11544
Kentucky,Bell,30015,29561,29691,29478,29275,29130,28960,28794,28836,28667
Kentucky,Boone,87108,90277,93323,96680,100822,105456,109295,112308,115262,117461
Kentucky,Bourbon,19366,19443,19452,19563,19733,19908,19809,19891,20046,20027
Kentucky,Boyd,49627,49595,49578,49754,49542,49403,49312,49154,49244,49362
Kentucky,Boyle,27673,27472,27455,27451,27832,27922,28031,28112,28288,28297
Kentucky,Bracken,8267,8334,8408,8387,8592,8533,8484,8468,8471,8473
Kentucky,Breathitt,15999,15664,15346,15098,14975,14792,14549,14327,14249,14009
Kentucky,Breckinridge,18682,18837,19030,19209,19326,19579,19590,19819,20018,19979
Kentucky,Bullitt,61590,62596,63775,65074,66937,68620,70042,71577,72738,73743
Kentucky,Butler,12991,13015,12952,12957,13044,12900,12925,12759,12745,12670
Kentucky,Caldwell,13026,12843,12798,12802,12774,12816,12828,12882,12985,12996
Kentucky,Calloway,34160,34439,34499,34896,35327,35788,36375,36585,36686,36886
Kentucky,Campbell,88687,88843,88596,88259,87982,88047,88036,88302,88548,89664
Kentucky,Carlisle,5336,5305,5299,5255,5261,5215,5212,5109,5093,5113
Kentucky,Carroll,10181,10193,10312,10372,10379,10511,10528,10595,10744,10852
Kentucky,Carter,26874,26991,27262,27504,27528,27767,27921,27971,27752,27785
Kentucky,Casey,15466,15563,15679,15690,15784,15845,15900,15908,15970,15946
Kentucky,Christian,72730,73397,73098,71547,71700,72892,70592,73128,72034,73457
Kentucky,Clark,33234,33390,33407,33672,34025,34377,34823,35207,35256,35607
Kentucky,Clay,24458,24203,23995,23635,23278,22946,22718,22332,22289,21950
Kentucky,Clinton,9637,9696,9762,9825,9886,9932,9942,10120,10253,10227
Kentucky,Crittenden,9408,9310,9217,9234,9126,9138,9264,9278,9408,9301
Kentucky,Cumberland,7167,7157,7164,7151,7189,7066,7073,6959,6917,6855
Kentucky,Daviess,91657,91707,91821,92457,92769,93150,93908,94647,95411,96261
Kentucky,Edmonson,11639,11728,11763,11809,11804,11987,11957,12055,12127,12122
Kentucky,Elliott,6767,6694,6700,6782,6748,6867,7151,7134,7556,7727
Kentucky,Estill,15307,15293,15193,15014,14913,14780,14786,14778,14752,14672
Kentucky,Fayette,261408,263990,265822,269904,272377,275540,279971,283291,287683,292514
Kentucky,Fleming,13837,14016,14068,14230,14271,14270,14235,14349,14345,14280
Kentucky,Floyd,42316,41844,41671,41325,41128,40847,40429,40261,39964,39643
Kentucky,Franklin,47888,48185,48293,48246,48536,48620,48699,48795,49301,49253
Kentucky,Fulton,7697,7753,7563,7427,7274,7090,6871,6861,6945,6793
Kentucky,Gallatin,7866,8004,7891,8094,8119,8225,8253,8337,8420,8533
Kentucky,Garrard,14844,15090,15505,15790,15941,16315,16595,16887,16906,16900
Kentucky,Grant,22485,22972,23307,23619,23856,23993,24253,24544,24856,24697
Kentucky,Graves,37049,36869,36770,36898,36789,36926,36859,36932,36862,36932
Kentucky,Grayson,24094,24170,24235,24648,24962,25181,25294,25444,25558,25619
Kentucky,Green,11526,11566,11543,11557,11408,11406,11454,11412,11432,11359
Kentucky,Greenup,36836,36804,36600,36681,36579,36530,36827,36939,37106,37053
Kentucky,Hancock,8424,8431,8424,8426,8389,8508,8542,8536,8567,8558
Kentucky,Hardin,92919,93715,94136,93929,95015,96652,97539,98728,99926,101254
Kentucky,Harlan,32935,32184,31938,31291,30614,30277,30113,29969,29591,29534
Kentucky,Harrison,17997,18007,18009,18171,18233,18314,18483,18725,18876,18894
Kentucky,Hart,17535,17291,17573,17741,17821,18040,18109,18172,18320,18197
Kentucky,Henderson,44827,44865,45091,45214,45362,45521,45633,45696,46046,46037
Kentucky,Henry,15032,15113,15107,15259,15327,15368,15475,15465,15511,15530
Kentucky,Hickman,5240,5234,5225,5186,5093,5061,5002,4955,4957,4945
Kentucky,Hopkins,46463,46148,46374,46668,46759,46640,46727,46834,47051,46921
Kentucky,Jackson,13507,13611,13559,13512,13476,13596,13577,13606,13650,13463
Kentucky,Jefferson,694399,697159,699810,703970,706828,710018,715149,723040,730194,736705
Kentucky,Jessamine,39216,39819,40760,41545,42348,43503,45024,46044,47429,48153
Kentucky,Johnson,23315,23230,23156,23138,23229,23332,23382,23354,23256,23220
Kentucky,Kenton,151658,151974,151777,152591,153138,153769,155557,157240,158258,159239
Kentucky,Knott,17593,17411,17457,17294,17093,17089,16837,16640,16616,16543
Kentucky,Knox,31770,31431,31298,31376,31371,31570,31599,31668,31746,31920
Kentucky,Larue,13398,13436,13536,13455,13615,13793,13934,14008,14100,14172
Kentucky,Laurel,52920,53604,54452,55371,55811,56465,57239,57938,58142,58513
Kentucky,Lawrence,15553,15566,15625,15558,15664,15756,15766,15815,15867,15889
Kentucky,Lee,7929,7922,7971,8015,7950,7823,7850,7855,7859,7885
Kentucky,Leslie,12371,12183,12156,12010,11820,11797,11642,11585,11465,11361
Kentucky,Letcher,25213,24862,24914,24925,24742,24585,24534,24499,24363,24364
Kentucky,Lewis,14111,13990,13728,13710,13827,13861,14010,14069,13997,13915
Kentucky,Lincoln,23410,23704,23845,24109,24309,24719,24838,24875,24664,24776
Kentucky,Livingston,9811,9795,9742,9656,9589,9650,9594,9508,9458,9476
Kentucky,Logan,26654,26609,26615,26533,26632,26721,26768,26911,26802,26872
Kentucky,Lyon,8114,8149,8144,8180,8249,8327,8434,8393,8374,8332
Kentucky,McCracken,65423,64825,64588,64430,64270,64430,64678,64925,65287,65654
Kentucky,McCreary,17074,17144,17320,17363,17469,17758,17892,18053,18144,18207
Kentucky,McLean,9983,9853,9945,9852,9841,9811,9702,9717,9673,9566
Kentucky,Madison,71309,72571,73634,74998,76673,78732,80264,80659,81521,82299
Kentucky,Magoffin,13321,13195,13285,13287,13297,13302,13258,13316,13233,13335
Kentucky,Marion,18243,18404,18540,18676,19066,19251,19392,19458,19647,19769
Kentucky,Marshall,30113,30145,30258,30494,30674,30870,31204,31443,31418,31411
Kentucky,Martin,12586,12589,12711,12778,13138,13536,13371,13224,13160,13040
Kentucky,Mason,16790,16808,16825,16729,16802,16923,17138,17259,17454,17464
Kentucky,Meade,28189,28506,28919,28949,29600,29732,29397,29108,28962,28403
Kentucky,Menifee,6565,6631,6651,6581,6597,6581,6567,6486,6457,6317
Kentucky,Mercer,20794,20755,20877,21044,21118,21229,21181,21255,21273,21286
Kentucky,Metcalfe,10005,10075,9961,9968,10008,10094,10123,10187,10166,10067
Kentucky,Monroe,11700,11684,11557,11481,11348,11425,11337,11171,10990,10969
Kentucky,Montgomery,22650,22851,23251,23594,23899,24491,25085,25550,25981,26407
Kentucky,Morgan,13964,14046,14165,14201,14319,14219,14174,14191,14055,13928
Kentucky,Muhlenberg,31795,31768,31641,31588,31615,31595,31595,31627,31486,31505
Kentucky,Nelson,37662,38128,38681,39307,39947,40582,41424,42020,42588,42974
Kentucky,Nicholas,6789,6878,7015,7075,7139,7134,7147,7143,7135,7125
Kentucky,Ohio,22933,23040,23161,23158,23452,23611,23658,23794,24025,23888
Kentucky,Oldham,46895,47933,49250,51296,52830,54266,56329,57991,59375,59777
Kentucky,Owen,10554,10591,10749,10732,10893,10900,10886,11000,11010,10909
Kentucky,Owsley,4852,4809,4768,4758,4840,4797,4743,4729,4761,4713
Kentucky,Pendleton,14475,14593,14693,14819,14809,14884,14972,14935,14867,14786
Kentucky,Perry,29259,29112,29180,29173,29043,28851,28829,28742,28686,28713
Kentucky,Pike,68506,67607,67438,66850,66070,65719,65632,65431,65275,65255
Kentucky,Powell,13251,13213,13053,12970,13051,13117,12943,12926,12794,12644
Kentucky,Pulaski,56428,56911,57545,58232,59175,59950,60752,61440,62270,62711
Kentucky,Robertson,2271,2256,2292,2309,2298,2251,2309,2244,2272,2288
Kentucky,Rockcastle,16623,16572,16684,16745,16822,16911,16974,17078,17216,17074
Kentucky,Rowan,22077,22323,22329,22348,22185,22362,22706,22914,23097,23340
Kentucky,Russell,16296,16367,16445,16574,16851,17018,17232,17297,17529,17632
Kentucky,Scott,33422,34547,35601,36714,38051,39637,41924,43491,45157,46325
Kentucky,Shelby,33574,34047,34754,35706,36682,37800,39283,40335,41044,41576
Kentucky,Simpson,16416,16599,16629,16694,16820,16998,17115,17187,17182,17227
Kentucky,Spencer,11911,12559,13219,13892,14358,14929,15638,16346,16845,16971
Kentucky,Taylor,22874,22918,23338,23388,23536,23755,23971,24078,24256,24367
Kentucky,Todd,11926,12021,11975,11917,11858,11965,12092,12169,12340,12485
Kentucky,Trigg,12657,12803,12900,13022,13438,13619,13780,14079,14153,14222
Kentucky,Trimble,8227,8449,8572,8653,8843,8788,8856,8903,8950,8855
Kentucky,Union,15378,15330,15401,15395,15451,15335,15246,15060,15072,15004
Kentucky,Warren,92917,94211,95576,97721,99497,102121,105170,107356,109803,112375
Kentucky,Washington,10920,10997,11143,11222,11260,11339,11456,11640,11551,11550
Kentucky,Wayne,19958,19949,20078,20353,20473,20516,20547,20667,20757,20793
Kentucky,Webster,14097,13945,13982,13912,13969,14004,13875,13867,13646,13681
Kentucky,Whitley,35895,36091,36043,36099,36163,36253,36149,36138,36163,35994
Kentucky,Wolfe,7126,6965,7015,7053,7076,7201,7256,7323,7294,7351
Kentucky,Woodford,23278,23331,23406,23555,23695,23933,24134,24214,24541,24702
Louisiana,Acadia Parish,58795,58844,59065,59194,59223,59524,60522,60762,61115,61451
Louisiana,Allen Parish,25401,25399,25194,25327,25338,25076,25692,25937,25854,25863
Louisiana,Ascension Parish,77335,79210,81379,83967,86352,89741,96421,100132,102891,105172
Louisiana,Assumption Parish,23324,23194,23210,23262,23319,23199,23477,23543,23534,23508
Louisiana,Avoyelles Parish,41459,41274,41233,41446,41271,41036,42080,41809,42040,42034
Louisiana,Beauregard Parish,32979,33001,33000,33221,33614,34130,34510,34623,34893,35142
Louisiana,Bienville Parish,15717,15400,15279,15077,15017,14852,14773,14699,14494,14435
Louisiana,Bossier Parish,99658,100986,102227,103088,105435,107477,110606,112048,113824,115187
Louisiana,Caddo Parish,250990,249815,248753,248346,249157,249593,252740,251760,251953,253245
Louisiana,Calcasieu Parish,183554,183296,183487,184701,185593,186417,185350,187081,188928,191080
Louisiana,Caldwell Parish,10559,10429,10429,10352,10382,10247,10224,10189,10224,10185
Louisiana,Cameron Parish,9937,9875,9834,9851,9851,9846,7719,7517,7434,6930
Louisiana,Catahoula Parish,10882,10767,10635,10542,10448,10258,10423,10481,10567,10471
Louisiana,Claiborne Parish,16811,16810,16728,16825,16855,16908,17109,17149,17169,17230
Louisiana,Concordia Parish,20225,20134,20132,20074,19972,19885,20315,20244,20420,20726
Louisiana,De Soto Parish,25502,25449,25598,25675,25958,26029,26175,26413,26590,26413
Louisiana,East Baton Rouge Parish,412958,411666,411024,412553,414162,413812,433474,433344,433723,437623
Louisiana,East Carroll Parish,9384,9136,8911,8750,8588,8374,8188,8102,7939,7862
Louisiana,East Feliciana Parish,21298,20978,20667,20502,20266,20093,20559,20432,20415,20487
Louisiana,Evangeline Parish,35414,35155,34894,34513,34399,34532,34839,34873,34316,34078
Louisiana,Franklin Parish,21261,21070,20939,20942,20895,20660,20685,20740,20758,20677
Louisiana,Grant Parish,18734,18896,19133,19420,19878,20386,21039,21268,21657,22069
Louisiana,Iberia Parish,73170,72993,72862,72760,72590,72641,73362,73482,73522,73372
Louisiana,Iberville Parish,33321,33327,33242,33042,32717,32697,33519,33603,33685,33393
Louisiana,Jackson Parish,15415,15517,15470,15575,15650,15674,15950,15922,16105,16118
