State,County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Alabama,Etowah,103286,102976,102988,103025,103080,103174,103528,103893,104206,104239
Alabama,Fayette,18512,18384,18278,18178,18022,18030,17767,17523,17541,17310
Alabama,Franklin,31242,31190,30891,30874,30768,30968,31134,31004,31459,31589
Alabama,Geneva,25740,25565,25580,25702,25772,25988,26271,26322,26646,26653
Alabama,Greene,9902,9866,9893,9805,9686,9675,9361,9385,9359,9182
Alabama,Hale,18194,17868,17376,17116,16765,16622,16427,16418,16260,16025
Alabama,Henry,16341,16358,16447,16563,16692,16752,16953,17108,17129,17243
Alabama,Houston,88943,89490,89940,91321,92593,93903,95846,97727,99183,100500
Alabama,Jackson,53979,53997,53758,53711,53525,53332,53483,53333,53525,53461
Alabama,Jefferson,662033,660197,657518,657513,656023,654919,655893,655163,656510,658441
Alabama,Lamar,15923,15632,15446,15258,15075,15009,14816,14901,14799,14689
Alabama,Lauderdale,88039,87791,87627,88103,88732,89358,90294,91107,92202,92526
Alabama,Lawrence,34874,34870,34698,34488,34318,34435,34028,34293,34196,34315
Alabama,Lee,115430,116819,118392,120071,122274,126133,129247,131934,134524,138566
Alabama,Limestone,65966,66936,67677,68578,69593,71303,73651,76063,78835,81326
Alabama,Lowndes,13471,13329,13231,12996,12623,12397,12124,11973,11813,11486
Alabama,Macon,24047,23925,23563,23110,22685,22388,22227,21942,21597,21190
Alabama,Madison,278006,281517,286439,291342,295655,301474,309170,315859,323526,330856
Alabama,Marengo,22564,22203,22217,22025,21777,21569,21531,21475,21331,21170
Alabama,Marion,31137,30777,30608,30554,30516,30494,30779,30849,30918,30646
Alabama,Marshall,82429,82477,83417,84348,85131,86516,88209,89605,91072,92213
Alabama,Mobile,400073,400129,398549,398082,397959,398942,402916,405715,409196,411994
Alabama,Monroe,24319,24120,24022,23853,23769,23683,23602,23437,23393,23218
Alabama,Montgomery,223428,223048,223185,222680,223002,223608,227291,227888,227461,227607
Alabama,Morgan,111221,111682,111766,112898,113006,113964,115491,116397,117694,118954
Alabama,Perry,11809,11645,11549,11301,11153,10881,10677,10774,10722,10690
Alabama,Pickens,20881,20873,20835,20527,20380,20192,20128,19989,19951,19814
Alabama,Pike,29748,29844,29695,30050,30593,30772,31309,31761,32149,32560
Alabama,Randolph,22377,22465,22464,22359,22525,22658,22695,22662,22946,22864
Alabama,Russell,49805,49622,49489,49065,49498,49731,50459,51074,51434,52162
Alabama,St. Clair,65080,66093,67274,68629,70416,72596,75948,79348,81223,83009
Alabama,Shelby,144674,149358,153976,159704,165757,171691,178841,183491,188534,192708
Alabama,Sumter,14746,14630,14376,14329,14324,14143,14059,13926,13882,13746
Alabama,Talladega,80772,80939,81095,80900,81139,81546,81991,82226,82735,82674
Alabama,Tallapoosa,41689,41406,41044,40898,40904,40857,41243,41414,41668,41831
Alabama,Tuscaloosa,165414,166951,168154,169725,171960,175731,181383,184350,188093,192792
Alabama,Walker,70602,70364,69765,69105,68629,68500,68234,67695,67835,67347
Alabama,Washington,18101,17933,17895,17910,17801,17690,17705,17491,17496,17493
Alabama,Wilcox,12939,12806,12778,12600,12493,12369,12221,12208,12148,11870
Alabama,Winston,24857,24597,24600,24576,24614,24629,24796,24858,24696,24691
Alaska,Aleutians East Borough,2693,2590,2734,2732,2727,2787,2794,3012,2991,3084
Alaska,Aleutians West Census Area,5470,5501,5472,5709,5798,5913,5658,5466,5393,5537
Alaska,Anchorage Municipality,260816,264274,268229,270568,274484,276494,280085,278792,281554,287677
Alaska,Bethel Census Area,16080,16171,16414,16517,16603,16728,16755,16723,16762,16860
Alaska,Bristol Bay Borough,1232,1196,1166,1140,1144,1171,1111,1076,1040,976
Alaska,Denali Borough,1890,1850,1862,1825,1877,1834,1837,1803,1803,1817
Alaska,Dillingham Census Area,4916,4840,4900,4828,4850,4841,4833,4832,4769,4776
Alaska,Fairbanks North Star Borough,83005,84814,86095,86885,89043,90431,90545,93545,94552,95238
Alaska,Haines Borough,2399,2334,2325,2337,2281,2280,2300,2379,2404,2486
Alaska,Hoonah-Angoon Census Area,2562,2538,2479,2378,2331,2316,2271,2242,2225,2144
Alaska,Juneau City and Borough,30668,30502,30712,30993,31103,31003,30808,30682,31110,30857
Alaska,Kenai Peninsula Borough,49618,49986,50804,50963,51404,51590,52253,53272,53655,54796
Alaska,Ketchikan Gateway Borough,14000,13796,13599,13335,13244,13305,13492,13341,13326,13294
Alaska,Kodiak Island Borough,13983,13748,13651,13239,13206,13105,13184,13159,13262,13505
Alaska,Lake and Peninsula Borough,1814,1715,1621,1626,1644,1639,1624,1629,1606,1612
Alaska,Matanuska-Susitna Borough,59802,61807,64353,67162,70761,74409,78633,81402,84079,86885
Alaska,Nome Census Area,9152,9167,9161,9210,9351,9338,9235,9246,9231,9313
Alaska,North Slope Borough,7420,7530,7728,7968,8046,8190,8315,8519,8841,9105
Alaska,Northwest Arctic Borough,7226,7251,7252,7310,7397,7416,7467,7440,7466,7467
Alaska,Petersburg Census Area,4249,4198,4112,4022,4059,3959,3886,3898,3817,3775
Alaska,Prince of Wales-Hyder Census Area,6098,5887,5675,5650,5614,5534,5574,5457,5448,5465
Alaska,Sitka City and Borough,8845,8727,8874,8881,8890,8994,9046,8851,8835,8844
Alaska,Skagway Municipality,868,868,865,895,934,949,946,955,967,975
Alaska,Southeast Fairbanks Census Area,6177,5705,5672,5772,6022,6530,6817,6945,6904,6955
Alaska,Valdez-Cordova Census Area,10210,10114,10061,9996,9990,9914,9828,9572,9458,9492
Alaska,Wade Hampton Census Area,7033,7051,7103,7201,7330,7313,7292,7372,7392,7469
Alaska,Wrangell City and Borough,2452,2426,2382,2347,2288,2298,2309,2322,2353,2331
Alaska,Yakutat City and Borough,796,764,702,673,647,665,642,656,627,665
Alaska,Yukon-Koyukuk Census Area,6489,6364,6334,6252,6218,6000,5762,5712,5585,5495
Arizona,Arizona,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154
Arizona,Apache,69507,67863,67319,68072,68161,68521,69390,69602,69883,71008
Arizona,Cochise,118132,118798,119847,120638,123234,125786,127241,128206,129023,130081
Arizona,Coconino,116773,118283,121308,122882,125117,127025,128695,130442,131853,133477
Arizona,Gila,51332,51274,51478,51337,51423,51655,52541,53252,53437,53561
Arizona,Graham,33511,33356,33224,32985,32703,32964,33701,35175,36639,37525
Arizona,Greenlee,8547,8349,7831,7567,7549,7595,7838,8205,8561,8635
Arizona,La Paz,19611,19580,19464,19722,19979,20379,20573,20647,20555,20514
Arizona,Maricopa,3092197,3175989,3255388,3328468,3417860,3538988,3642884,3711954,3771061,3803779
Arizona,Mohave,156215,160312,166155,172633,180521,188773,196168,199760,200078,199696
Arizona,Navajo,97689,97849,100123,101529,102774,104184,105624,106927,107626,107571
Arizona,Pima,848019,859280,874267,885893,901342,920298,940930,955869,967778,975580
Arizona,Pinal,181280,187747,197082,207920,219472,235708,271328,306174,335311,349830
Arizona,Santa Cruz,38589,39288,40009,40625,41623,42961,44298,45338,46144,47011
Arizona,Yavapai,168608,172636,177362,182090,187822,195424,204082,208773,211211,211172
