location,year,state,state_code,county,candidate,party,candidate_votes,total_votes,Location
"Alabama, Escambia",2016,Alabama,AL,Escambia,Donald Trump,republican,9935.0,14845,"Alabama, Escambia"
"Alabama, Etowah",2016,Alabama,AL,Etowah,Hillary Clinton,democrat,10442.0,44164,"Alabama, Etowah"
"Alabama, Etowah",2016,Alabama,AL,Etowah,Donald Trump,republican,32353.0,44164,"Alabama, Etowah"
"Alabama, Fayette",2016,Alabama,AL,Fayette,Hillary Clinton,democrat,1362.0,8249,"Alabama, Fayette"
"Alabama, Fayette",2016,Alabama,AL,Fayette,Donald Trump,republican,6712.0,8249,"Alabama, Fayette"
"Alabama, Franklin",2016,Alabama,AL,Franklin,Hillary Clinton,democrat,2197.0,12040,"Alabama, Franklin"
"Alabama, Franklin",2016,Alabama,AL,Franklin,Donald Trump,republican,9466.0,12040,"Alabama, Franklin"
"Alabama, Geneva",2016,Alabama,AL,Geneva,Hillary Clinton,democrat,1525.0,11758,"Alabama, Geneva"
"Alabama, Geneva",2016,Alabama,AL,Geneva,Donald Trump,republican,9994.0,11758,"Alabama, Geneva"
"Alabama, Greene",2016,Alabama,AL,Greene,Hillary Clinton,democrat,4013.0,4880,"Alabama, Greene"
"Alabama, Greene",2016,Alabama,AL,Greene,Donald Trump,republican,838.0,4880,"Alabama, Greene"
"Alabama, Hale",2016,Alabama,AL,Hale,Hillary Clinton,democrat,4775.0,8040,"Alabama, Hale"
"Alabama, Hale",2016,Alabama,AL,Hale,Donald Trump,republican,3173.0,8040,"Alabama, Hale"
"Alabama, Henry",2016,Alabama,AL,Henry,Hillary Clinton,democrat,2292.0,8072,"Alabama, Henry"
"Alabama, Henry",2016,Alabama,AL,Henry,Donald Trump,republican,5632.0,8072,"Alabama, Henry"
"Alabama, Houston",2016,Alabama,AL,Houston,Hillary Clinton,democrat,10664.0,42639,"Alabama, Houston"
"Alabama, Houston",2016,Alabama,AL,Houston,Donald Trump,republican,30728.0,42639,"Alabama, Houston"
"Alabama, Jackson",2016,Alabama,AL,Jackson,Hillary Clinton,democrat,3673.0,20984,"Alabama, Jackson"
"Alabama, Jackson",2016,Alabama,AL,Jackson,Donald Trump,republican,16672.0,20984,"Alabama, Jackson"
"Alabama, Jefferson",2016,Alabama,AL,Jefferson,Hillary Clinton,democrat,156873.0,304191,"Alabama, Jefferson"
"Alabama, Jefferson",2016,Alabama,AL,Jefferson,Donald Trump,republican,134768.0,304191,"Alabama, Jefferson"
"Alabama, Lamar",2016,Alabama,AL,Lamar,Hillary Clinton,democrat,1036.0,6966,"Alabama, Lamar"
"Alabama, Lamar",2016,Alabama,AL,Lamar,Donald Trump,republican,5823.0,6966,"Alabama, Lamar"
"Alabama, Lauderdale",2016,Alabama,AL,Lauderdale,Hillary Clinton,democrat,9952.0,39525,"Alabama, Lauderdale"
"Alabama, Lauderdale",2016,Alabama,AL,Lauderdale,Donald Trump,republican,27899.0,39525,"Alabama, Lauderdale"
"Alabama, Lawrence",2016,Alabama,AL,Lawrence,Hillary Clinton,democrat,3627.0,14829,"Alabama, Lawrence"
"Alabama, Lawrence",2016,Alabama,AL,Lawrence,Donald Trump,republican,10833.0,14829,"Alabama, Lawrence"
"Alabama, Lee",2016,Alabama,AL,Lee,Hillary Clinton,democrat,21230.0,59191,"Alabama, Lee"
"Alabama, Lee",2016,Alabama,AL,Lee,Donald Trump,republican,34617.0,59191,"Alabama, Lee"
"Alabama, Limestone",2016,Alabama,AL,Limestone,Hillary Clinton,democrat,9468.0,40294,"Alabama, Limestone"
"Alabama, Limestone",2016,Alabama,AL,Limestone,Donald Trump,republican,29067.0,40294,"Alabama, Limestone"
"Alabama, Lowndes",2016,Alabama,AL,Lowndes,Hillary Clinton,democrat,4883.0,6684,"Alabama, Lowndes"
"Alabama, Lowndes",2016,Alabama,AL,Lowndes,Donald Trump,republican,1751.0,6684,"Alabama, Lowndes"
"Alabama, Macon",2016,Alabama,AL,Macon,Hillary Clinton,democrat,7566.0,9140,"Alabama, Macon"
"Alabama, Macon",2016,Alabama,AL,Macon,Donald Trump,republican,1431.0,9140,"Alabama, Macon"
"Alabama, Madison",2016,Alabama,AL,Madison,Hillary Clinton,democrat,62822.0,163389,"Alabama, Madison"
"Alabama, Madison",2016,Alabama,AL,Madison,Donald Trump,republican,89520.0,163389,"Alabama, Madison"
"Alabama, Marengo",2016,Alabama,AL,Marengo,Hillary Clinton,democrat,5615.0,10994,"Alabama, Marengo"
"Alabama, Marengo",2016,Alabama,AL,Marengo,Donald Trump,republican,5233.0,10994,"Alabama, Marengo"
"Alabama, Marion",2016,Alabama,AL,Marion,Hillary Clinton,democrat,1432.0,12984,"Alabama, Marion"
"Alabama, Marion",2016,Alabama,AL,Marion,Donald Trump,republican,11274.0,12984,"Alabama, Marion"
"Alabama, Marshall",2016,Alabama,AL,Marshall,Hillary Clinton,democrat,4917.0,35316,"Alabama, Marshall"
"Alabama, Marshall",2016,Alabama,AL,Marshall,Donald Trump,republican,29233.0,35316,"Alabama, Marshall"
"Alabama, Mobile",2016,Alabama,AL,Mobile,Hillary Clinton,democrat,72186.0,172737,"Alabama, Mobile"
"Alabama, Mobile",2016,Alabama,AL,Mobile,Donald Trump,republican,95116.0,172737,"Alabama, Mobile"
"Alabama, Monroe",2016,Alabama,AL,Monroe,Hillary Clinton,democrat,4332.0,10271,"Alabama, Monroe"
"Alabama, Monroe",2016,Alabama,AL,Monroe,Donald Trump,republican,5795.0,10271,"Alabama, Monroe"
"Alabama, Montgomery",2016,Alabama,AL,Montgomery,Hillary Clinton,democrat,58916.0,95878,"Alabama, Montgomery"
"Alabama, Montgomery",2016,Alabama,AL,Montgomery,Donald Trump,republican,34003.0,95878,"Alabama, Montgomery"
