location,year,state,state_code,county,candidate,party,candidate_votes,total_votes,Location
"Kansas, Gove",2016,Kansas,KS,Gove,Hillary Clinton,democrat,149.0,1343,"Kansas, Gove"
"Kansas, Gove",2016,Kansas,KS,Gove,Donald Trump,republican,1140.0,1343,"Kansas, Gove"
"Kansas, Graham",2016,Kansas,KS,Graham,Hillary Clinton,democrat,188.0,1284,"Kansas, Graham"
"Kansas, Graham",2016,Kansas,KS,Graham,Donald Trump,republican,1025.0,1284,"Kansas, Graham"
"Kansas, Grant",2016,Kansas,KS,Grant,Hillary Clinton,democrat,441.0,2389,"Kansas, Grant"
"Kansas, Grant",2016,Kansas,KS,Grant,Donald Trump,republican,1804.0,2389,"Kansas, Grant"
"Kansas, Gray",2016,Kansas,KS,Gray,Hillary Clinton,democrat,263.0,2066,"Kansas, Gray"
"Kansas, Gray",2016,Kansas,KS,Gray,Donald Trump,republican,1698.0,2066,"Kansas, Gray"
"Kansas, Greeley",2016,Kansas,KS,Greeley,Hillary Clinton,democrat,83.0,650,"Kansas, Greeley"
"Kansas, Greeley",2016,Kansas,KS,Greeley,Donald Trump,republican,534.0,650,"Kansas, Greeley"
"Kansas, Greenwood",2016,Kansas,KS,Greenwood,Hillary Clinton,democrat,485.0,2840,"Kansas, Greenwood"
"Kansas, Greenwood",2016,Kansas,KS,Greenwood,Donald Trump,republican,2160.0,2840,"Kansas, Greenwood"
"Kansas, Hamilton",2016,Kansas,KS,Hamilton,Hillary Clinton,democrat,121.0,876,"Kansas, Hamilton"
"Kansas, Hamilton",2016,Kansas,KS,Hamilton,Donald Trump,republican,705.0,876,"Kansas, Hamilton"
"Kansas, Harper",2016,Kansas,KS,Harper,Hillary Clinton,democrat,393.0,2578,"Kansas, Harper"
"Kansas, Harper",2016,Kansas,KS,Harper,Donald Trump,republican,1996.0,2578,"Kansas, Harper"
"Kansas, Harvey",2016,Kansas,KS,Harvey,Hillary Clinton,democrat,5068.0,14916,"Kansas, Harvey"
"Kansas, Harvey",2016,Kansas,KS,Harvey,Donald Trump,republican,8668.0,14916,"Kansas, Harvey"
"Kansas, Haskell",2016,Kansas,KS,Haskell,Hillary Clinton,democrat,245.0,1354,"Kansas, Haskell"
"Kansas, Haskell",2016,Kansas,KS,Haskell,Donald Trump,republican,1040.0,1354,"Kansas, Haskell"
"Kansas, Hodgeman",2016,Kansas,KS,Hodgeman,Hillary Clinton,democrat,124.0,1017,"Kansas, Hodgeman"
"Kansas, Hodgeman",2016,Kansas,KS,Hodgeman,Donald Trump,republican,855.0,1017,"Kansas, Hodgeman"
"Kansas, Jackson",2016,Kansas,KS,Jackson,Hillary Clinton,democrat,1512.0,5818,"Kansas, Jackson"
"Kansas, Jackson",2016,Kansas,KS,Jackson,Donald Trump,republican,3939.0,5818,"Kansas, Jackson"
"Kansas, Jefferson",2016,Kansas,KS,Jefferson,Hillary Clinton,democrat,2518.0,8337,"Kansas, Jefferson"
"Kansas, Jefferson",2016,Kansas,KS,Jefferson,Donald Trump,republican,5213.0,8337,"Kansas, Jefferson"
"Kansas, Jewell",2016,Kansas,KS,Jewell,Hillary Clinton,democrat,180.0,1494,"Kansas, Jewell"
"Kansas, Jewell",2016,Kansas,KS,Jewell,Donald Trump,republican,1223.0,1494,"Kansas, Jewell"
"Kansas, Johnson",2016,Kansas,KS,Johnson,Hillary Clinton,democrat,129852.0,290090,"Kansas, Johnson"
"Kansas, Johnson",2016,Kansas,KS,Johnson,Donald Trump,republican,137490.0,290090,"Kansas, Johnson"
"Kansas, Kearny",2016,Kansas,KS,Kearny,Hillary Clinton,democrat,174.0,1316,"Kansas, Kearny"
"Kansas, Kearny",2016,Kansas,KS,Kearny,Donald Trump,republican,1075.0,1316,"Kansas, Kearny"
"Kansas, Kingman",2016,Kansas,KS,Kingman,Hillary Clinton,democrat,599.0,3334,"Kansas, Kingman"
"Kansas, Kingman",2016,Kansas,KS,Kingman,Donald Trump,republican,2530.0,3334,"Kansas, Kingman"
"Kansas, Kiowa",2016,Kansas,KS,Kiowa,Hillary Clinton,democrat,114.0,1079,"Kansas, Kiowa"
"Kansas, Kiowa",2016,Kansas,KS,Kiowa,Donald Trump,republican,900.0,1079,"Kansas, Kiowa"
"Kansas, Labette",2016,Kansas,KS,Labette,Hillary Clinton,democrat,2291.0,8107,"Kansas, Labette"
"Kansas, Labette",2016,Kansas,KS,Labette,Donald Trump,republican,5335.0,8107,"Kansas, Labette"
"Kansas, Lane",2016,Kansas,KS,Lane,Hillary Clinton,democrat,106.0,871,"Kansas, Lane"
"Kansas, Lane",2016,Kansas,KS,Lane,Donald Trump,republican,718.0,871,"Kansas, Lane"
"Kansas, Leavenworth",2016,Kansas,KS,Leavenworth,Hillary Clinton,democrat,10209.0,30301,"Kansas, Leavenworth"
"Kansas, Leavenworth",2016,Kansas,KS,Leavenworth,Donald Trump,republican,17638.0,30301,"Kansas, Leavenworth"
"Kansas, Lincoln",2016,Kansas,KS,Lincoln,Hillary Clinton,democrat,215.0,1464,"Kansas, Lincoln"
"Kansas, Lincoln",2016,Kansas,KS,Lincoln,Donald Trump,republican,1179.0,1464,"Kansas, Lincoln"
"Kansas, Linn",2016,Kansas,KS,Linn,Hillary Clinton,democrat,736.0,4427,"Kansas, Linn"
"Kansas, Linn",2016,Kansas,KS,Linn,Donald Trump,republican,3484.0,4427,"Kansas, Linn"
"Kansas, Logan",2016,Kansas,KS,Logan,Hillary Clinton,democrat,149.0,1357,"Kansas, Logan"
"Kansas, Logan",2016,Kansas,KS,Logan,Donald Trump,republican,1132.0,1357,"Kansas, Logan"
"Kansas, Lyon",2016,Kansas,KS,Lyon,Hillary Clinton,democrat,4649.0,12288,"Kansas, Lyon"
"Kansas, Lyon",2016,Kansas,KS,Lyon,Donald Trump,republican,6552.0,12288,"Kansas, Lyon"
"Kansas, Marion",2016,Kansas,KS,Marion,Hillary Clinton,democrat,1204.0,5624,"Kansas, Marion"
"Kansas, Marion",2016,Kansas,KS,Marion,Donald Trump,republican,4003.0,5624,"Kansas, Marion"
"Kansas, Marshall",2016,Kansas,KS,Marshall,Hillary Clinton,democrat,1072.0,4673,"Kansas, Marshall"
"Kansas, Marshall",2016,Kansas,KS,Marshall,Donald Trump,republican,3307.0,4673,"Kansas, Marshall"
"Kansas, McPherson",2016,Kansas,KS,McPherson,Hillary Clinton,democrat,3226.0,12742,"Kansas, McPherson"
"Kansas, McPherson",2016,Kansas,KS,McPherson,Donald Trump,republican,8549.0,12742,"Kansas, McPherson"
"Kansas, Meade",2016,Kansas,KS,Meade,Hillary Clinton,democrat,210.0,1720,"Kansas, Meade"
"Kansas, Meade",2016,Kansas,KS,Meade,Donald Trump,republican,1415.0,1720,"Kansas, Meade"
"Kansas, Miami",2016,Kansas,KS,Miami,Hillary Clinton,democrat,3991.0,15022,"Kansas, Miami"
"Kansas, Miami",2016,Kansas,KS,Miami,Donald Trump,republican,10003.0,15022,"Kansas, Miami"
"Kansas, Mitchell",2016,Kansas,KS,Mitchell,Hillary Clinton,democrat,477.0,2942,"Kansas, Mitchell"
"Kansas, Mitchell",2016,Kansas,KS,Mitchell,Donald Trump,republican,2308.0,2942,"Kansas, Mitchell"
"Kansas, Montgomery",2016,Kansas,KS,Montgomery,Hillary Clinton,democrat,2637.0,12004,"Kansas, Montgomery"
"Kansas, Montgomery",2016,Kansas,KS,Montgomery,Donald Trump,republican,8679.0,12004,"Kansas, Montgomery"
"Kansas, Morris",2016,Kansas,KS,Morris,Hillary Clinton,democrat,601.0,2624,"Kansas, Morris"
"Kansas, Morris",2016,Kansas,KS,Morris,Donald Trump,republican,1820.0,2624,"Kansas, Morris"
"Kansas, Morton",2016,Kansas,KS,Morton,Hillary Clinton,democrat,147.0,1192,"Kansas, Morton"
"Kansas, Morton",2016,Kansas,KS,Morton,Donald Trump,republican,995.0,1192,"Kansas, Morton"
"Kansas, Nemaha",2016,Kansas,KS,Nemaha,Hillary Clinton,democrat,725.0,5122,"Kansas, Nemaha"
"Kansas, Nemaha",2016,Kansas,KS,Nemaha,Donald Trump,republican,4124.0,5122,"Kansas, Nemaha"
"Kansas, Neosho",2016,Kansas,KS,Neosho,Hillary Clinton,democrat,1501.0,6314,"Kansas, Neosho"
"Kansas, Neosho",2016,Kansas,KS,Neosho,Donald Trump,republican,4431.0,6314,"Kansas, Neosho"
"Kansas, Ness",2016,Kansas,KS,Ness,Hillary Clinton,democrat,162.0,1454,"Kansas, Ness"
"Kansas, Ness",2016,Kansas,KS,Ness,Donald Trump,republican,1228.0,1454,"Kansas, Ness"
"Kansas, Norton",2016,Kansas,KS,Norton,Hillary Clinton,democrat,281.0,2234,"Kansas, Norton"
"Kansas, Norton",2016,Kansas,KS,Norton,Donald Trump,republican,1840.0,2234,"Kansas, Norton"
"Kansas, Osage",2016,Kansas,KS,Osage,Hillary Clinton,democrat,1753.0,7046,"Kansas, Osage"
"Kansas, Osage",2016,Kansas,KS,Osage,Donald Trump,republican,4826.0,7046,"Kansas, Osage"
"Kansas, Osborne",2016,Kansas,KS,Osborne,Hillary Clinton,democrat,233.0,1788,"Kansas, Osborne"
"Kansas, Osborne",2016,Kansas,KS,Osborne,Donald Trump,republican,1460.0,1788,"Kansas, Osborne"
"Kansas, Ottawa",2016,Kansas,KS,Ottawa,Hillary Clinton,democrat,424.0,2903,"Kansas, Ottawa"
"Kansas, Ottawa",2016,Kansas,KS,Ottawa,Donald Trump,republican,2283.0,2903,"Kansas, Ottawa"
"Kansas, Pawnee",2016,Kansas,KS,Pawnee,Hillary Clinton,democrat,579.0,2661,"Kansas, Pawnee"
"Kansas, Pawnee",2016,Kansas,KS,Pawnee,Donald Trump,republican,1904.0,2661,"Kansas, Pawnee"
"Kansas, Phillips",2016,Kansas,KS,Phillips,Hillary Clinton,democrat,300.0,2664,"Kansas, Phillips"
"Kansas, Phillips",2016,Kansas,KS,Phillips,Donald Trump,republican,2233.0,2664,"Kansas, Phillips"
"Kansas, Pottawatomie",2016,Kansas,KS,Pottawatomie,Hillary Clinton,democrat,2225.0,10693,"Kansas, Pottawatomie"
"Kansas, Pottawatomie",2016,Kansas,KS,Pottawatomie,Donald Trump,republican,7612.0,10693,"Kansas, Pottawatomie"
"Kansas, Pratt",2016,Kansas,KS,Pratt,Hillary Clinton,democrat,771.0,3842,"Kansas, Pratt"
"Kansas, Pratt",2016,Kansas,KS,Pratt,Donald Trump,republican,2838.0,3842,"Kansas, Pratt"
"Kansas, Rawlins",2016,Kansas,KS,Rawlins,Hillary Clinton,democrat,163.0,1472,"Kansas, Rawlins"
"Kansas, Rawlins",2016,Kansas,KS,Rawlins,Donald Trump,republican,1220.0,1472,"Kansas, Rawlins"
"Kansas, Reno",2016,Kansas,KS,Reno,Hillary Clinton,democrat,6837.0,24210,"Kansas, Reno"
"Kansas, Reno",2016,Kansas,KS,Reno,Donald Trump,republican,15513.0,24210,"Kansas, Reno"
"Kansas, Republic",2016,Kansas,KS,Republic,Hillary Clinton,democrat,375.0,2529,"Kansas, Republic"
"Kansas, Republic",2016,Kansas,KS,Republic,Donald Trump,republican,2024.0,2529,"Kansas, Republic"
"Kansas, Rice",2016,Kansas,KS,Rice,Hillary Clinton,democrat,695.0,3804,"Kansas, Rice"
"Kansas, Rice",2016,Kansas,KS,Rice,Donald Trump,republican,2837.0,3804,"Kansas, Rice"
"Kansas, Riley",2016,Kansas,KS,Riley,Hillary Clinton,democrat,9341.0,21532,"Kansas, Riley"
"Kansas, Riley",2016,Kansas,KS,Riley,Donald Trump,republican,10107.0,21532,"Kansas, Riley"
"Kansas, Rooks",2016,Kansas,KS,Rooks,Hillary Clinton,democrat,275.0,2419,"Kansas, Rooks"
"Kansas, Rooks",2016,Kansas,KS,Rooks,Donald Trump,republican,2031.0,2419,"Kansas, Rooks"
"Kansas, Rush",2016,Kansas,KS,Rush,Hillary Clinton,democrat,233.0,1503,"Kansas, Rush"
"Kansas, Rush",2016,Kansas,KS,Rush,Donald Trump,republican,1197.0,1503,"Kansas, Rush"
"Kansas, Russell",2016,Kansas,KS,Russell,Hillary Clinton,democrat,461.0,3193,"Kansas, Russell"
"Kansas, Russell",2016,Kansas,KS,Russell,Donald Trump,republican,2574.0,3193,"Kansas, Russell"
"Kansas, Saline",2016,Kansas,KS,Saline,Hillary Clinton,democrat,6317.0,22064,"Kansas, Saline"
"Kansas, Saline",2016,Kansas,KS,Saline,Donald Trump,republican,13828.0,22064,"Kansas, Saline"
"Kansas, Scott",2016,Kansas,KS,Scott,Hillary Clinton,democrat,236.0,2202,"Kansas, Scott"
"Kansas, Scott",2016,Kansas,KS,Scott,Donald Trump,republican,1865.0,2202,"Kansas, Scott"
"Kansas, Sedgwick",2016,Kansas,KS,Sedgwick,Hillary Clinton,democrat,69627.0,188783,"Kansas, Sedgwick"
"Kansas, Sedgwick",2016,Kansas,KS,Sedgwick,Donald Trump,republican,104353.0,188783,"Kansas, Sedgwick"
"Kansas, Seward",2016,Kansas,KS,Seward,Hillary Clinton,democrat,1628.0,5038,"Kansas, Seward"
"Kansas, Seward",2016,Kansas,KS,Seward,Donald Trump,republican,3159.0,5038,"Kansas, Seward"
"Kansas, Shawnee",2016,Kansas,KS,Shawnee,Hillary Clinton,democrat,33926.0,75406,"Kansas, Shawnee"
"Kansas, Shawnee",2016,Kansas,KS,Shawnee,Donald Trump,republican,35934.0,75406,"Kansas, Shawnee"
"Kansas, Sheridan",2016,Kansas,KS,Sheridan,Hillary Clinton,democrat,127.0,1374,"Kansas, Sheridan"
"Kansas, Sheridan",2016,Kansas,KS,Sheridan,Donald Trump,republican,1197.0,1374,"Kansas, Sheridan"
"Kansas, Sherman",2016,Kansas,KS,Sherman,Hillary Clinton,democrat,347.0,2612,"Kansas, Sherman"
"Kansas, Sherman",2016,Kansas,KS,Sherman,Donald Trump,republican,2089.0,2612,"Kansas, Sherman"
"Kansas, Smith",2016,Kansas,KS,Smith,Hillary Clinton,democrat,297.0,2042,"Kansas, Smith"
"Kansas, Smith",2016,Kansas,KS,Smith,Donald Trump,republican,1661.0,2042,"Kansas, Smith"
"Kansas, Stafford",2016,Kansas,KS,Stafford,Hillary Clinton,democrat,304.0,1896,"Kansas, Stafford"
"Kansas, Stafford",2016,Kansas,KS,Stafford,Donald Trump,republican,1490.0,1896,"Kansas, Stafford"
"Kansas, Stanton",2016,Kansas,KS,Stanton,Hillary Clinton,democrat,115.0,637,"Kansas, Stanton"
"Kansas, Stanton",2016,Kansas,KS,Stanton,Donald Trump,republican,492.0,637,"Kansas, Stanton"
"Kansas, Stevens",2016,Kansas,KS,Stevens,Hillary Clinton,democrat,220.0,1891,"Kansas, Stevens"
"Kansas, Stevens",2016,Kansas,KS,Stevens,Donald Trump,republican,1599.0,1891,"Kansas, Stevens"
"Kansas, Sumner",2016,Kansas,KS,Sumner,Hillary Clinton,democrat,2076.0,9722,"Kansas, Sumner"
"Kansas, Sumner",2016,Kansas,KS,Sumner,Donald Trump,republican,6984.0,9722,"Kansas, Sumner"
"Kansas, Thomas",2016,Kansas,KS,Thomas,Hillary Clinton,democrat,473.0,3576,"Kansas, Thomas"
"Kansas, Thomas",2016,Kansas,KS,Thomas,Donald Trump,republican,2908.0,3576,"Kansas, Thomas"
"Kansas, Trego",2016,Kansas,KS,Trego,Hillary Clinton,democrat,198.0,1482,"Kansas, Trego"
"Kansas, Trego",2016,Kansas,KS,Trego,Donald Trump,republican,1227.0,1482,"Kansas, Trego"
"Kansas, Wabaunsee",2016,Kansas,KS,Wabaunsee,Hillary Clinton,democrat,776.0,3380,"Kansas, Wabaunsee"
"Kansas, Wabaunsee",2016,Kansas,KS,Wabaunsee,Donald Trump,republican,2372.0,3380,"Kansas, Wabaunsee"
"Kansas, Wallace",2016,Kansas,KS,Wallace,Hillary Clinton,democrat,46.0,798,"Kansas, Wallace"
"Kansas, Wallace",2016,Kansas,KS,Wallace,Donald Trump,republican,721.0,798,"Kansas, Wallace"
"Kansas, Washington",2016,Kansas,KS,Washington,Hillary Clinton,democrat,387.0,2765,"Kansas, Washington"
"Kansas, Washington",2016,Kansas,KS,Washington,Donald Trump,republican,2194.0,2765,"Kansas, Washington"
"Kansas, Wichita",2016,Kansas,KS,Wichita,Hillary Clinton,democrat,140.0,956,"Kansas, Wichita"
"Kansas, Wichita",2016,Kansas,KS,Wichita,Donald Trump,republican,769.0,956,"Kansas, Wichita"
"Kansas, Wilson",2016,Kansas,KS,Wilson,Hillary Clinton,democrat,594.0,3591,"Kansas, Wilson"
"Kansas, Wilson",2016,Kansas,KS,Wilson,Donald Trump,republican,2788.0,3591,"Kansas, Wilson"
"Kansas, Woodson",2016,Kansas,KS,Woodson,Hillary Clinton,democrat,273.0,1443,"Kansas, Woodson"
"Kansas, Woodson",2016,Kansas,KS,Woodson,Donald Trump,republican,1082.0,1443,"Kansas, Woodson"
"Kansas, Wyandotte",2016,Kansas,KS,Wyandotte,Hillary Clinton,democrat,30146.0,48781,"Kansas, Wyandotte"
"Kansas, Wyandotte",2016,Kansas,KS,Wyandotte,Donald Trump,republican,15806.0,48781,"Kansas, Wyandotte"
"Kentucky, Adair",2016,Kentucky,KY,Adair,Hillary Clinton,democrat,1323.0,8233,"Kentucky, Adair"
"Kentucky, Adair",2016,Kentucky,KY,Adair,Donald Trump,republican,6637.0,8233,"Kentucky, Adair"
"Kentucky, Allen",2016,Kentucky,KY,Allen,Hillary Clinton,democrat,1349.0,8096,"Kentucky, Allen"
"Kentucky, Allen",2016,Kentucky,KY,Allen,Donald Trump,republican,6466.0,8096,"Kentucky, Allen"
"Kentucky, Anderson",2016,Kentucky,KY,Anderson,Hillary Clinton,democrat,2634.0,11422,"Kentucky, Anderson"
"Kentucky, Anderson",2016,Kentucky,KY,Anderson,Donald Trump,republican,8242.0,11422,"Kentucky, Anderson"
"Kentucky, Ballard",2016,Kentucky,KY,Ballard,Hillary Clinton,democrat,816.0,4101,"Kentucky, Ballard"
"Kentucky, Ballard",2016,Kentucky,KY,Ballard,Donald Trump,republican,3161.0,4101,"Kentucky, Ballard"
"Kentucky, Barren",2016,Kentucky,KY,Barren,Hillary Clinton,democrat,4275.0,18488,"Kentucky, Barren"
"Kentucky, Barren",2016,Kentucky,KY,Barren,Donald Trump,republican,13483.0,18488,"Kentucky, Barren"
"Kentucky, Bath",2016,Kentucky,KY,Bath,Hillary Clinton,democrat,1361.0,4587,"Kentucky, Bath"
"Kentucky, Bath",2016,Kentucky,KY,Bath,Donald Trump,republican,3082.0,4587,"Kentucky, Bath"
"Kentucky, Bell",2016,Kentucky,KY,Bell,Hillary Clinton,democrat,1720.0,9718,"Kentucky, Bell"
"Kentucky, Bell",2016,Kentucky,KY,Bell,Donald Trump,republican,7764.0,9718,"Kentucky, Bell"
"Kentucky, Boone",2016,Kentucky,KY,Boone,Hillary Clinton,democrat,15026.0,57618,"Kentucky, Boone"
"Kentucky, Boone",2016,Kentucky,KY,Boone,Donald Trump,republican,39082.0,57618,"Kentucky, Boone"
"Kentucky, Bourbon",2016,Kentucky,KY,Bourbon,Hillary Clinton,democrat,2791.0,8803,"Kentucky, Bourbon"
"Kentucky, Bourbon",2016,Kentucky,KY,Bourbon,Donald Trump,republican,5569.0,8803,"Kentucky, Bourbon"
"Kentucky, Boyd",2016,Kentucky,KY,Boyd,Hillary Clinton,democrat,6021.0,20454,"Kentucky, Boyd"
"Kentucky, Boyd",2016,Kentucky,KY,Boyd,Donald Trump,republican,13591.0,20454,"Kentucky, Boyd"
"Kentucky, Boyle",2016,Kentucky,KY,Boyle,Hillary Clinton,democrat,4281.0,12946,"Kentucky, Boyle"
"Kentucky, Boyle",2016,Kentucky,KY,Boyle,Donald Trump,republican,8040.0,12946,"Kentucky, Boyle"
"Kentucky, Bracken",2016,Kentucky,KY,Bracken,Hillary Clinton,democrat,705.0,3527,"Kentucky, Bracken"
"Kentucky, Bracken",2016,Kentucky,KY,Bracken,Donald Trump,republican,2711.0,3527,"Kentucky, Bracken"
"Kentucky, Breathitt",2016,Kentucky,KY,Breathitt,Hillary Clinton,democrat,1537.0,5738,"Kentucky, Breathitt"
"Kentucky, Breathitt",2016,Kentucky,KY,Breathitt,Donald Trump,republican,3991.0,5738,"Kentucky, Breathitt"
"Kentucky, Breckinridge",2016,Kentucky,KY,Breckinridge,Hillary Clinton,democrat,1960.0,8774,"Kentucky, Breckinridge"
"Kentucky, Breckinridge",2016,Kentucky,KY,Breckinridge,Donald Trump,republican,6484.0,8774,"Kentucky, Breckinridge"
"Kentucky, Bullitt",2016,Kentucky,KY,Bullitt,Hillary Clinton,democrat,8255.0,36069,"Kentucky, Bullitt"
"Kentucky, Bullitt",2016,Kentucky,KY,Bullitt,Donald Trump,republican,26210.0,36069,"Kentucky, Bullitt"
"Kentucky, Butler",2016,Kentucky,KY,Butler,Hillary Clinton,democrat,947.0,5576,"Kentucky, Butler"
"Kentucky, Butler",2016,Kentucky,KY,Butler,Donald Trump,republican,4428.0,5576,"Kentucky, Butler"
"Kentucky, Caldwell",2016,Kentucky,KY,Caldwell,Hillary Clinton,democrat,1260.0,5975,"Kentucky, Caldwell"
"Kentucky, Caldwell",2016,Kentucky,KY,Caldwell,Donald Trump,republican,4507.0,5975,"Kentucky, Caldwell"
"Kentucky, Calloway",2016,Kentucky,KY,Calloway,Hillary Clinton,democrat,4749.0,16049,"Kentucky, Calloway"
"Kentucky, Calloway",2016,Kentucky,KY,Calloway,Donald Trump,republican,10367.0,16049,"Kentucky, Calloway"
"Kentucky, Campbell",2016,Kentucky,KY,Campbell,Hillary Clinton,democrat,14658.0,42510,"Kentucky, Campbell"
"Kentucky, Campbell",2016,Kentucky,KY,Campbell,Donald Trump,republican,25050.0,42510,"Kentucky, Campbell"
"Kentucky, Carlisle",2016,Kentucky,KY,Carlisle,Hillary Clinton,democrat,432.0,2601,"Kentucky, Carlisle"
"Kentucky, Carlisle",2016,Kentucky,KY,Carlisle,Donald Trump,republican,2094.0,2601,"Kentucky, Carlisle"
"Kentucky, Carroll",2016,Kentucky,KY,Carroll,Hillary Clinton,democrat,1106.0,3855,"Kentucky, Carroll"
"Kentucky, Carroll",2016,Kentucky,KY,Carroll,Donald Trump,republican,2588.0,3855,"Kentucky, Carroll"
"Kentucky, Carter",2016,Kentucky,KY,Carter,Hillary Clinton,democrat,2276.0,10278,"Kentucky, Carter"
"Kentucky, Carter",2016,Kentucky,KY,Carter,Donald Trump,republican,7587.0,10278,"Kentucky, Carter"
"Kentucky, Casey",2016,Kentucky,KY,Casey,Hillary Clinton,democrat,767.0,6439,"Kentucky, Casey"
"Kentucky, Casey",2016,Kentucky,KY,Casey,Donald Trump,republican,5482.0,6439,"Kentucky, Casey"
"Kentucky, Christian",2016,Kentucky,KY,Christian,Hillary Clinton,democrat,7188.0,22083,"Kentucky, Christian"
"Kentucky, Christian",2016,Kentucky,KY,Christian,Donald Trump,republican,14108.0,22083,"Kentucky, Christian"
"Kentucky, Clark",2016,Kentucky,KY,Clark,Hillary Clinton,democrat,4706.0,16205,"Kentucky, Clark"
"Kentucky, Clark",2016,Kentucky,KY,Clark,Donald Trump,republican,10710.0,16205,"Kentucky, Clark"
"Kentucky, Clay",2016,Kentucky,KY,Clay,Hillary Clinton,democrat,752.0,6767,"Kentucky, Clay"
"Kentucky, Clay",2016,Kentucky,KY,Clay,Donald Trump,republican,5861.0,6767,"Kentucky, Clay"
"Kentucky, Clinton",2016,Kentucky,KY,Clinton,Hillary Clinton,democrat,547.0,4462,"Kentucky, Clinton"
"Kentucky, Clinton",2016,Kentucky,KY,Clinton,Donald Trump,republican,3809.0,4462,"Kentucky, Clinton"
"Kentucky, Crittenden",2016,Kentucky,KY,Crittenden,Hillary Clinton,democrat,617.0,4037,"Kentucky, Crittenden"
"Kentucky, Crittenden",2016,Kentucky,KY,Crittenden,Donald Trump,republican,3290.0,4037,"Kentucky, Crittenden"
"Kentucky, Cumberland",2016,Kentucky,KY,Cumberland,Hillary Clinton,democrat,459.0,3066,"Kentucky, Cumberland"
"Kentucky, Cumberland",2016,Kentucky,KY,Cumberland,Donald Trump,republican,2502.0,3066,"Kentucky, Cumberland"
"Kentucky, Daviess",2016,Kentucky,KY,Daviess,Hillary Clinton,democrat,14163.0,45807,"Kentucky, Daviess"
"Kentucky, Daviess",2016,Kentucky,KY,Daviess,Donald Trump,republican,28907.0,45807,"Kentucky, Daviess"
"Kentucky, Edmonson",2016,Kentucky,KY,Edmonson,Hillary Clinton,democrat,979.0,5244,"Kentucky, Edmonson"
"Kentucky, Edmonson",2016,Kentucky,KY,Edmonson,Donald Trump,republican,4135.0,5244,"Kentucky, Edmonson"
"Kentucky, Elliott",2016,Kentucky,KY,Elliott,Hillary Clinton,democrat,740.0,2855,"Kentucky, Elliott"
"Kentucky, Elliott",2016,Kentucky,KY,Elliott,Donald Trump,republican,2000.0,2855,"Kentucky, Elliott"
"Kentucky, Estill",2016,Kentucky,KY,Estill,Hillary Clinton,democrat,1108.0,5545,"Kentucky, Estill"
"Kentucky, Estill",2016,Kentucky,KY,Estill,Donald Trump,republican,4236.0,5545,"Kentucky, Estill"
"Kentucky, Fayette",2016,Kentucky,KY,Fayette,Hillary Clinton,democrat,69778.0,136315,"Kentucky, Fayette"
"Kentucky, Fayette",2016,Kentucky,KY,Fayette,Donald Trump,republican,56894.0,136315,"Kentucky, Fayette"
"Kentucky, Fleming",2016,Kentucky,KY,Fleming,Hillary Clinton,democrat,1348.0,6260,"Kentucky, Fleming"
"Kentucky, Fleming",2016,Kentucky,KY,Fleming,Donald Trump,republican,4722.0,6260,"Kentucky, Fleming"
"Kentucky, Floyd",2016,Kentucky,KY,Floyd,Hillary Clinton,democrat,4015.0,16540,"Kentucky, Floyd"
"Kentucky, Floyd",2016,Kentucky,KY,Floyd,Donald Trump,republican,11993.0,16540,"Kentucky, Floyd"
"Kentucky, Franklin",2016,Kentucky,KY,Franklin,Hillary Clinton,democrat,10717.0,23865,"Kentucky, Franklin"
"Kentucky, Franklin",2016,Kentucky,KY,Franklin,Donald Trump,republican,11819.0,23865,"Kentucky, Franklin"
"Kentucky, Fulton",2016,Kentucky,KY,Fulton,Hillary Clinton,democrat,774.0,2382,"Kentucky, Fulton"
"Kentucky, Fulton",2016,Kentucky,KY,Fulton,Donald Trump,republican,1549.0,2382,"Kentucky, Fulton"
"Kentucky, Gallatin",2016,Kentucky,KY,Gallatin,Hillary Clinton,democrat,749.0,3338,"Kentucky, Gallatin"
"Kentucky, Gallatin",2016,Kentucky,KY,Gallatin,Donald Trump,republican,2443.0,3338,"Kentucky, Gallatin"
"Kentucky, Garrard",2016,Kentucky,KY,Garrard,Hillary Clinton,democrat,1453.0,7623,"Kentucky, Garrard"
"Kentucky, Garrard",2016,Kentucky,KY,Garrard,Donald Trump,republican,5904.0,7623,"Kentucky, Garrard"
"Kentucky, Grant",2016,Kentucky,KY,Grant,Hillary Clinton,democrat,1910.0,9559,"Kentucky, Grant"
"Kentucky, Grant",2016,Kentucky,KY,Grant,Donald Trump,republican,7268.0,9559,"Kentucky, Grant"
"Kentucky, Graves",2016,Kentucky,KY,Graves,Hillary Clinton,democrat,3308.0,16606,"Kentucky, Graves"
"Kentucky, Graves",2016,Kentucky,KY,Graves,Donald Trump,republican,12671.0,16606,"Kentucky, Graves"
"Kentucky, Grayson",2016,Kentucky,KY,Grayson,Hillary Clinton,democrat,1959.0,10576,"Kentucky, Grayson"
"Kentucky, Grayson",2016,Kentucky,KY,Grayson,Donald Trump,republican,8219.0,10576,"Kentucky, Grayson"
"Kentucky, Green",2016,Kentucky,KY,Green,Hillary Clinton,democrat,832.0,5333,"Kentucky, Green"
"Kentucky, Green",2016,Kentucky,KY,Green,Donald Trump,republican,4372.0,5333,"Kentucky, Green"
