Location,Total_Votes_2016,2016_republican_votes,2016_democrat_votes,State_Code
"Arkansas, Jackson",5156,3267.0,1583.0,AR
"Arkansas, Jefferson",25894,9250.0,15772.0,AR
"Arkansas, Johnson",9112,6091.0,2427.0,AR
"Arkansas, Lafayette",2860,1758.0,1032.0,AR
"Arkansas, Lawrence",5685,4064.0,1263.0,AR
"Arkansas, Lee",3026,1229.0,1735.0,AR
"Arkansas, Lincoln",3826,2455.0,1252.0,AR
"Arkansas, Little River",5227,3605.0,1397.0,AR
"Arkansas, Logan",7921,5746.0,1715.0,AR
"Arkansas, Lonoke",27100,19958.0,5664.0,AR
"Arkansas, Madison",6841,4928.0,1588.0,AR
"Arkansas, Marion",7107,5336.0,1434.0,AR
"Arkansas, Miller",16091,11294.0,4273.0,AR
"Arkansas, Mississippi",13204,7061.0,5670.0,AR
"Arkansas, Monroe",2884,1489.0,1312.0,AR
"Arkansas, Montgomery",3559,2643.0,748.0,AR
"Arkansas, Nevada",3246,2000.0,1157.0,AR
"Arkansas, Newton",3753,2875.0,699.0,AR
"Arkansas, Ouachita",9935,5351.0,4321.0,AR
"Arkansas, Perry",4306,3008.0,1049.0,AR
"Arkansas, Phillips",6953,2446.0,4310.0,AR
"Arkansas, Pike",3981,3150.0,685.0,AR
"Arkansas, Poinsett",7722,5502.0,1880.0,AR
"Arkansas, Polk",8231,6618.0,1212.0,AR
"Arkansas, Pope",22569,16256.0,5000.0,AR
"Arkansas, Prairie",3444,2505.0,814.0,AR
"Arkansas, Pulaski",159776,61257.0,89574.0,AR
"Arkansas, Randolph",6379,4509.0,1425.0,AR
"Arkansas, Saline",52100,35863.0,13256.0,AR
"Arkansas, Scott",3510,2731.0,602.0,AR
"Arkansas, Searcy",3728,2955.0,601.0,AR
"Arkansas, Sebastian",44637,29127.0,12300.0,AR
"Arkansas, Sevier",4562,3282.0,1075.0,AR
"Arkansas, Sharp",7249,5407.0,1472.0,AR
"Arkansas, St. Francis",7430,3195.0,4031.0,AR
"Arkansas, Stone",5618,4113.0,1203.0,AR
"Arkansas, Union",16894,10456.0,5855.0,AR
"Arkansas, Van Buren",7339,5382.0,1549.0,AR
"Arkansas, Washington",81861,41476.0,33366.0,AR
"Arkansas, White",27219,21077.0,5170.0,AR
"Arkansas, Woodruff",2571,1347.0,1118.0,AR
"Arkansas, Yell",6439,4608.0,1480.0,AR
"California, Alameda",654266,95922.0,514842.0,CA
"California, Alpine",602,217.0,334.0,CA
"California, Amador",17734,10485.0,6004.0,CA
"California, Butte",95564,45144.0,41567.0,CA
"California, Calaveras",23136,13511.0,7944.0,CA
"California, Colusa",6632,3551.0,2661.0,CA
"California, Contra Costa",466175,115956.0,319287.0,CA
"California, Del Norte",9558,5134.0,3485.0,CA
"California, El Dorado",93591,49247.0,36404.0,CA
"California, Fresno",282319,124049.0,141341.0,CA
"California, Glenn",9470,5788.0,3065.0,CA
"California, Humboldt",59246,18373.0,33200.0,CA
"California, Imperial",48091,12704.0,32667.0,CA
"California, Inyo",8086,4248.0,3155.0,CA
"California, Kern",244163,129584.0,98689.0,CA
"California, Kings",33915,18093.0,13617.0,CA
"California, Lake",24496,10599.0,11496.0,CA
"California, Lassen",10524,7574.0,2224.0,CA
"California, Los Angeles",3434308,769743.0,2464364.0,CA
"California, Madera",43112,23357.0,17029.0,CA
"California, Marin",139273,21771.0,108707.0,CA
"California, Mariposa",8877,5185.0,3122.0,CA
"California, Mendocino",37477,10888.0,22079.0,CA
"California, Merced",70789,28725.0,37317.0,CA
"California, Modoc",3788,2696.0,877.0,CA
"California, Mono",5276,2111.0,2773.0,CA
"California, Monterey",133408,34895.0,89088.0,CA
"California, Napa",61372,17411.0,39199.0,CA
"California, Nevada",54935,23365.0,26053.0,CA
"California, Orange",1197521,507148.0,609961.0,CA
"California, Placer",182839,95138.0,73509.0,CA
"California, Plumas",9676,5420.0,3459.0,CA
"California, Riverside",751391,333243.0,373695.0,CA
"California, Sacramento",559330,189789.0,326023.0,CA
"California, San Benito",21924,7841.0,12521.0,CA
"California, San Bernardino",653983,271240.0,340833.0,CA
"California, San Diego",1306400,477766.0,735476.0,CA
"California, San Francisco",405792,37688.0,345084.0,CA
"California, San Joaquin",224166,88936.0,121124.0,CA
"California, San Luis Obispo",135009,56164.0,67107.0,CA
"California, San Mateo",314384,57929.0,237882.0,CA
"California, Santa Barbara",176786,56365.0,107142.0,CA
"California, Santa Clara",703709,144826.0,511684.0,CA
"California, Santa Cruz",128821,22438.0,95249.0,CA
"California, Shasta",80053,51778.0,22301.0,CA
"California, Sierra",1830,1048.0,601.0,CA
"California, Siskiyou",20492,11341.0,7234.0,CA
"California, Solano",166113,51920.0,102360.0,CA
"California, Sonoma",231253,51408.0,160435.0,CA
"California, Stanislaus",172146,78494.0,81647.0,CA
"California, Sutter",33523,18176.0,13076.0,CA
"California, Tehama",23908,15494.0,6809.0,CA
"California, Trinity",5686,2812.0,2214.0,CA
"California, Tulare",112334,58299.0,47585.0,CA
"California, Tuolumne",25529,14551.0,9123.0,CA
"California, Ventura",351726,132323.0,194402.0,CA
"California, Yolo",82090,20739.0,54752.0,CA
"California, Yuba",22998,13170.0,7910.0,CA
"Colorado, Adams",193665,80082.0,96558.0,CO
"Colorado, Alamosa",6939,3046.0,3189.0,CO
"Colorado, Arapahoe",303046,117053.0,159885.0,CO
"Colorado, Archuleta",7339,4264.0,2500.0,CO
"Colorado, Baca",2153,1753.0,283.0,CO
"Colorado, Bent",1927,1188.0,590.0,CO
"Colorado, Boulder",188142,41396.0,132334.0,CO
"Colorado, Broomfield",37689,14367.0,19731.0,CO
"Colorado, Chaffee",11250,5391.0,4888.0,CO
"Colorado, Cheyenne",1102,925.0,132.0,CO
"Colorado, Clear Creek",5866,2575.0,2729.0,CO
"Colorado, Conejos",4022,1914.0,1771.0,CO
"Colorado, Costilla",1848,588.0,1125.0,CO
"Colorado, Crowley",1527,1079.0,339.0,CO
"Colorado, Custer",3066,2061.0,797.0,CO
"Colorado, Delta",16790,11655.0,4087.0,CO
"Colorado, Denver",331852,62690.0,244551.0,CO
"Colorado, Dolores",1255,944.0,242.0,CO
"Colorado, Douglas",187499,102573.0,68657.0,CO
"Colorado, Eagle",25223,8990.0,14099.0,CO
"Colorado, El Paso",318967,179228.0,108010.0,CO
"Colorado, Elbert",15978,11705.0,3134.0,CO
"Colorado, Fremont",21973,15122.0,5297.0,CO
"Colorado, Garfield",26470,13132.0,11271.0,CO
"Colorado, Gilpin",3576,1566.0,1634.0,CO
"Colorado, Grand",8588,4494.0,3358.0,CO
"Colorado, Gunnison",9412,3289.0,5128.0,CO
"Colorado, Hinsdale",589,339.0,197.0,CO
"Colorado, Huerfano",3783,1883.0,1633.0,CO
"Colorado, Jackson",861,629.0,171.0,CO
"Colorado, Jefferson",328882,138177.0,160776.0,CO
"Colorado, Kiowa",855,728.0,91.0,CO
"Colorado, Kit Carson",3702,2967.0,536.0,CO
"Colorado, La Plata",31150,12587.0,15525.0,CO
"Colorado, Lake",3199,1270.0,1616.0,CO
"Colorado, Larimer",195980,83430.0,93113.0,CO
"Colorado, Las Animas",6793,3710.0,2650.0,CO
"Colorado, Lincoln",2436,1892.0,409.0,CO
"Colorado, Logan",9722,7282.0,1851.0,CO
"Colorado, Mesa",77653,49779.0,21729.0,CO
"Colorado, Mineral",652,344.0,237.0,CO
"Colorado, Moffat",6525,5305.0,874.0,CO
"Colorado, Montezuma",12858,7853.0,3973.0,CO
"Colorado, Montrose",21186,14382.0,5466.0,CO
"Colorado, Morgan",11960,8145.0,3151.0,CO
"Colorado, Otero",8452,4928.0,2943.0,CO
"Colorado, Ouray",3310,1351.0,1697.0,CO
"Colorado, Park",10417,6135.0,3421.0,CO
"Colorado, Phillips",2332,1791.0,436.0,CO
"Colorado, Pitkin",10523,2550.0,7333.0,CO
"Colorado, Prowers",5016,3531.0,1186.0,CO
"Colorado, Pueblo",78646,36265.0,35875.0,CO
"Colorado, Rio Blanco",3450,2791.0,436.0,CO
"Colorado, Rio Grande",5534,3085.0,2001.0,CO
"Colorado, Routt",13986,5230.0,7600.0,CO
"Colorado, Saguache",2835,1147.0,1417.0,CO
"Colorado, San Juan",506,215.0,265.0,CO
"Colorado, San Miguel",4329,1033.0,2975.0,CO
"Colorado, Sedgwick",1364,1015.0,267.0,CO
"Colorado, Summit",16174,5100.0,9557.0,CO
"Colorado, Teller",14444,9745.0,3603.0,CO
"Colorado, Washington",2733,2299.0,296.0,CO
"Colorado, Weld",135428,76651.0,46519.0,CO
"Colorado, Yuma",4791,3850.0,726.0,CO
"Connecticut, Fairfield",421209,160077.0,243852.0,CT
"Connecticut, Hartford",406864,148173.0,240403.0,CT
"Connecticut, Litchfield",97442,53051.0,39775.0,CT
"Connecticut, Middlesex",88624,38867.0,45357.0,CT
"Connecticut, New Haven",379006,159048.0,205609.0,CT
"Connecticut, New London",123528,54058.0,62278.0,CT
"Connecticut, Tolland",77424,34194.0,38506.0,CT
"Connecticut, Windham",50823,25747.0,21792.0,CT
"Delaware, Kent",74598,36991.0,33351.0,DE
"Delaware, New Castle",262391,85525.0,162919.0,DE
"Delaware, Sussex",106008,62611.0,39333.0,DE
"District of Columbia, District of Columbia",311268,12723.0,282830.0,DC
"Florida, Alachua",128571,46834.0,75820.0,FL
"Florida, Baker",12634,10294.0,2112.0,FL
"Florida, Bay",87453,62194.0,21797.0,FL
"Florida, Bradford",12098,8913.0,2924.0,FL
"Florida, Brevard",314752,181848.0,119679.0,FL
"Florida, Broward",831951,260951.0,553320.0,FL
