State,County,Location,2016,new_county
Alabama,Autauga,"Alabama, Autauga","55,243",Autauga
Alabama,Baldwin,"Alabama, Baldwin","207,601",Baldwin
Alabama,Barbour,"Alabama, Barbour","25,806",Barbour
Alabama,Bibb,"Alabama, Bibb","22,586",Bibb
Alabama,Blount,"Alabama, Blount","57,494",Blount
Alabama,Bullock,"Alabama, Bullock","10,389",Bullock
Alabama,Butler,"Alabama, Butler","20,012",Butler
Alabama,Calhoun,"Alabama, Calhoun","114,973",Calhoun
Alabama,Chambers,"Alabama, Chambers","33,745",Chambers
Alabama,Cherokee,"Alabama, Cherokee","25,768",Cherokee
Alabama,Chilton,"Alabama, Chilton","43,866",Chilton
Alabama,Choctaw,"Alabama, Choctaw","13,045",Choctaw
Alabama,Clarke,"Alabama, Clarke","24,340",Clarke
Alabama,Clay,"Alabama, Clay","13,393",Clay
Alabama,Cleburne,"Alabama, Cleburne","14,848",Cleburne
Alabama,Coffee,"Alabama, Coffee","51,202",Coffee
Alabama,Colbert,"Alabama, Colbert","54,497",Colbert
Alabama,Conecuh,"Alabama, Conecuh","12,500",Conecuh
Alabama,Coosa,"Alabama, Coosa","10,819",Coosa
Alabama,Covington,"Alabama, Covington","37,382",Covington
Alabama,Crenshaw,"Alabama, Crenshaw","13,916",Crenshaw
Alabama,Cullman,"Alabama, Cullman","82,450",Cullman
Alabama,Dale,"Alabama, Dale","49,362",Dale
Alabama,Dallas,"Alabama, Dallas","40,080",Dallas
Alabama,DeKalb,"Alabama, DeKalb","71,104",DeKalb
Alabama,Elmore,"Alabama, Elmore","81,204",Elmore
Alabama,Escambia,"Alabama, Escambia","37,475",Escambia
Alabama,Etowah,"Alabama, Etowah","102,855",Etowah
Alabama,Fayette,"Alabama, Fayette","16,563",Fayette
Alabama,Franklin,"Alabama, Franklin","31,611",Franklin
Alabama,Geneva,"Alabama, Geneva","26,494",Geneva
Alabama,Greene,"Alabama, Greene","8,482",Greene
Alabama,Hale,"Alabama, Hale","14,828",Hale
Alabama,Henry,"Alabama, Henry","17,072",Henry
Alabama,Houston,"Alabama, Houston","104,218",Houston
Alabama,Jackson,"Alabama, Jackson","51,988",Jackson
Alabama,Jefferson,"Alabama, Jefferson","660,343",Jefferson
Alabama,Lamar,"Alabama, Lamar","13,928",Lamar
Alabama,Lauderdale,"Alabama, Lauderdale","92,425",Lauderdale
Alabama,Lawrence,"Alabama, Lawrence","33,227",Lawrence
Alabama,Lee,"Alabama, Lee","159,168",Lee
Alabama,Limestone,"Alabama, Limestone","92,847",Limestone
Alabama,Lowndes,"Alabama, Lowndes","10,248",Lowndes
Alabama,Macon,"Alabama, Macon","19,060",Macon
Alabama,Madison,"Alabama, Madison","356,729",Madison
Alabama,Marengo,"Alabama, Marengo","19,525",Marengo
Alabama,Marion,"Alabama, Marion","29,960",Marion
Alabama,Marshall,"Alabama, Marshall","95,113",Marshall
Alabama,Mobile,"Alabama, Mobile","414,945",Mobile
Alabama,Monroe,"Alabama, Monroe","21,548",Monroe
Alabama,Montgomery,"Alabama, Montgomery","227,170",Montgomery
Alabama,Morgan,"Alabama, Morgan","119,006",Morgan
Alabama,Perry,"Alabama, Perry","9,532",Perry
Alabama,Pickens,"Alabama, Pickens","20,325",Pickens
Alabama,Pike,"Alabama, Pike","33,464",Pike
Alabama,Randolph,"Alabama, Randolph","22,504",Randolph
Alabama,Russell,"Alabama, Russell","58,185",Russell
Alabama,Shelby,"Alabama, Shelby","211,282",Shelby
Alabama,St. Clair,"Alabama, St. Clair",,St. Clair
Alabama,Sumter,"Alabama, Sumter","12,967",Sumter
Alabama,Talladega,"Alabama, Talladega","80,552",Talladega
Alabama,Tallapoosa,"Alabama, Tallapoosa","40,586",Tallapoosa
Alabama,Tuscaloosa,"Alabama, Tuscaloosa","206,464",Tuscaloosa
Alabama,Walker,"Alabama, Walker","64,533",Walker
Alabama,Washington,"Alabama, Washington","16,621",Washington
Alabama,Wilcox,"Alabama, Wilcox","10,844",Wilcox
Alabama,Winston,"Alabama, Winston","23,907",Winston
Arizona,Apache,"Arizona, Apache","71,381",Apache
Arizona,Cochise,"Arizona, Cochise","125,686",Cochise
Arizona,Coconino,"Arizona, Coconino","140,407",Coconino
