County,State,State_Code,Location,Year,Party,Candidate,Candidate_Votes,Total_Votes,County_Pop_2004
Cochran,Texas,TX,"Texas, Cochran",2004,democrat,John Kerry,249.0,1110,3373
Cochran,Texas,TX,"Texas, Cochran",2004,republican,George W. Bush,856.0,1110,3373
Coke,Texas,TX,"Texas, Coke",2004,democrat,John Kerry,266.0,1610,3559
Coke,Texas,TX,"Texas, Coke",2004,republican,George W. Bush,1338.0,1610,3559
Coleman,Texas,TX,"Texas, Coleman",2004,democrat,John Kerry,778.0,3826,8817
Coleman,Texas,TX,"Texas, Coleman",2004,republican,George W. Bush,3035.0,3826,8817
Collin,Texas,TX,"Texas, Collin",2004,democrat,John Kerry,68935.0,245154,617802
Collin,Texas,TX,"Texas, Collin",2004,republican,George W. Bush,174435.0,245154,617802
Collingsworth,Texas,TX,"Texas, Collingsworth",2004,democrat,John Kerry,346.0,1398,3028
Collingsworth,Texas,TX,"Texas, Collingsworth",2004,republican,George W. Bush,1051.0,1398,3028
Colorado,Texas,TX,"Texas, Colorado",2004,democrat,John Kerry,2161.0,7690,20450
Colorado,Texas,TX,"Texas, Colorado",2004,republican,George W. Bush,5488.0,7690,20450
Comal,Texas,TX,"Texas, Comal",2004,democrat,John Kerry,9153.0,41043,88119
Comal,Texas,TX,"Texas, Comal",2004,republican,George W. Bush,31574.0,41043,88119
Comanche,Texas,TX,"Texas, Comanche",2004,democrat,John Kerry,1431.0,5268,13646
Comanche,Texas,TX,"Texas, Comanche",2004,republican,George W. Bush,3813.0,5268,13646
Concho,Texas,TX,"Texas, Concho",2004,democrat,John Kerry,270.0,1193,4018
Concho,Texas,TX,"Texas, Concho",2004,republican,George W. Bush,911.0,1193,4018
Cooke,Texas,TX,"Texas, Cooke",2004,democrat,John Kerry,3142.0,15107,37815
Cooke,Texas,TX,"Texas, Cooke",2004,republican,George W. Bush,11908.0,15107,37815
Coryell,Texas,TX,"Texas, Coryell",2004,democrat,John Kerry,5122.0,17625,71943
Coryell,Texas,TX,"Texas, Coryell",2004,republican,George W. Bush,12421.0,17625,71943
Cottle,Texas,TX,"Texas, Cottle",2004,democrat,John Kerry,214.0,768,1679
Cottle,Texas,TX,"Texas, Cottle",2004,republican,George W. Bush,549.0,768,1679
Crane,Texas,TX,"Texas, Crane",2004,democrat,John Kerry,254.0,1574,3865
Crane,Texas,TX,"Texas, Crane",2004,republican,George W. Bush,1314.0,1574,3865
Crockett,Texas,TX,"Texas, Crockett",2004,democrat,John Kerry,473.0,1728,3857
Crockett,Texas,TX,"Texas, Crockett",2004,republican,George W. Bush,1248.0,1728,3857
Crosby,Texas,TX,"Texas, Crosby",2004,democrat,John Kerry,622.0,2275,6625
Crosby,Texas,TX,"Texas, Crosby",2004,republican,George W. Bush,1647.0,2275,6625
Culberson,Texas,TX,"Texas, Culberson",2004,democrat,John Kerry,375.0,788,2695
Culberson,Texas,TX,"Texas, Culberson",2004,republican,George W. Bush,407.0,788,2695
Dallam,Texas,TX,"Texas, Dallam",2004,democrat,John Kerry,305.0,1782,6208
Dallam,Texas,TX,"Texas, Dallam",2004,republican,George W. Bush,1473.0,1782,6208
Dallas,Texas,TX,"Texas, Dallas",2004,democrat,John Kerry,336641.0,687709,2244020
Dallas,Texas,TX,"Texas, Dallas",2004,republican,George W. Bush,346246.0,687709,2244020
Dawson,Texas,TX,"Texas, Dawson",2004,democrat,John Kerry,1114.0,4545,14062
Dawson,Texas,TX,"Texas, Dawson",2004,republican,George W. Bush,3419.0,4545,14062
Deaf Smith,Texas,TX,"Texas, Deaf Smith",2004,democrat,John Kerry,1133.0,5291,18671
Deaf Smith,Texas,TX,"Texas, Deaf Smith",2004,republican,George W. Bush,4139.0,5291,18671
Delta,Texas,TX,"Texas, Delta",2004,democrat,John Kerry,627.0,2082,5409
Delta,Texas,TX,"Texas, Delta",2004,republican,George W. Bush,1447.0,2082,5409
Denton,Texas,TX,"Texas, Denton",2004,democrat,John Kerry,59346.0,201410,529811
Denton,Texas,TX,"Texas, Denton",2004,republican,George W. Bush,140891.0,201410,529811
Dickens,Texas,TX,"Texas, Dickens",2004,democrat,John Kerry,245.0,1063,2641
Dickens,Texas,TX,"Texas, Dickens",2004,republican,George W. Bush,815.0,1063,2641
Dimmit,Texas,TX,"Texas, Dimmit",2004,democrat,John Kerry,2365.0,3566,9964
Dimmit,Texas,TX,"Texas, Dimmit",2004,republican,George W. Bush,1188.0,3566,9964
Donley,Texas,TX,"Texas, Donley",2004,democrat,John Kerry,349.0,1784,3915
Donley,Texas,TX,"Texas, Donley",2004,republican,George W. Bush,1429.0,1784,3915
Duval,Texas,TX,"Texas, Duval",2004,democrat,John Kerry,2916.0,4091,12539
Duval,Texas,TX,"Texas, Duval",2004,republican,George W. Bush,1160.0,4091,12539
Eastland,Texas,TX,"Texas, Eastland",2004,democrat,John Kerry,1582.0,6857,18442
Eastland,Texas,TX,"Texas, Eastland",2004,republican,George W. Bush,5249.0,6857,18442
Ector,Texas,TX,"Texas, Ector",2004,democrat,John Kerry,8579.0,36310,124163
Ector,Texas,TX,"Texas, Ector",2004,republican,George W. Bush,27502.0,36310,124163
Edwards,Texas,TX,"Texas, Edwards",2004,democrat,John Kerry,217.0,963,2027
Edwards,Texas,TX,"Texas, Edwards",2004,republican,George W. Bush,745.0,963,2027
El Paso,Texas,TX,"Texas, El Paso",2004,democrat,John Kerry,95142.0,169573,717652
El Paso,Texas,TX,"Texas, El Paso",2004,republican,George W. Bush,73261.0,169573,717652
Ellis,Texas,TX,"Texas, Ellis",2004,democrat,John Kerry,11640.0,46444,125733
Ellis,Texas,TX,"Texas, Ellis",2004,republican,George W. Bush,34602.0,46444,125733
Erath,Texas,TX,"Texas, Erath",2004,democrat,John Kerry,2710.0,12281,34887
Erath,Texas,TX,"Texas, Erath",2004,republican,George W. Bush,9506.0,12281,34887
Falls,Texas,TX,"Texas, Falls",2004,democrat,John Kerry,2427.0,5902,18066
Falls,Texas,TX,"Texas, Falls",2004,republican,George W. Bush,3454.0,5902,18066
Fannin,Texas,TX,"Texas, Fannin",2004,democrat,John Kerry,4001.0,11960,32692
Fannin,Texas,TX,"Texas, Fannin",2004,republican,George W. Bush,7893.0,11960,32692
Fayette,Texas,TX,"Texas, Fayette",2004,democrat,John Kerry,2803.0,10397,23107
Fayette,Texas,TX,"Texas, Fayette",2004,republican,George W. Bush,7527.0,10397,23107
Fisher,Texas,TX,"Texas, Fisher",2004,democrat,John Kerry,758.0,1923,4118
Fisher,Texas,TX,"Texas, Fisher",2004,republican,George W. Bush,1161.0,1923,4118
Floyd,Texas,TX,"Texas, Floyd",2004,democrat,John Kerry,545.0,2584,7130
Floyd,Texas,TX,"Texas, Floyd",2004,republican,George W. Bush,2032.0,2584,7130
Foard,Texas,TX,"Texas, Foard",2004,democrat,John Kerry,235.0,587,1492
Foard,Texas,TX,"Texas, Foard",2004,republican,George W. Bush,347.0,587,1492
Fort Bend,Texas,TX,"Texas, Fort Bend",2004,democrat,John Kerry,68722.0,163169,441139
Fort Bend,Texas,TX,"Texas, Fort Bend",2004,republican,George W. Bush,93625.0,163169,441139
Franklin,Texas,TX,"Texas, Franklin",2004,democrat,John Kerry,1011.0,4217,9731
Franklin,Texas,TX,"Texas, Franklin",2004,republican,George W. Bush,3185.0,4217,9731
Freestone,Texas,TX,"Texas, Freestone",2004,democrat,John Kerry,2070.0,7161,18684
Freestone,Texas,TX,"Texas, Freestone",2004,republican,George W. Bush,5057.0,7161,18684
Frio,Texas,TX,"Texas, Frio",2004,democrat,John Kerry,1931.0,3930,16532
Frio,Texas,TX,"Texas, Frio",2004,republican,George W. Bush,1991.0,3930,16532
Gaines,Texas,TX,"Texas, Gaines",2004,democrat,John Kerry,608.0,4164,14978
Gaines,Texas,TX,"Texas, Gaines",2004,republican,George W. Bush,3540.0,4164,14978
Galveston,Texas,TX,"Texas, Galveston",2004,democrat,John Kerry,43919.0,105981,269760
Galveston,Texas,TX,"Texas, Galveston",2004,republican,George W. Bush,61290.0,105981,269760
Garza,Texas,TX,"Texas, Garza",2004,democrat,John Kerry,326.0,1812,5800
Garza,Texas,TX,"Texas, Garza",2004,republican,George W. Bush,1480.0,1812,5800
Gillespie,Texas,TX,"Texas, Gillespie",2004,democrat,John Kerry,2104.0,11553,22454
Gillespie,Texas,TX,"Texas, Gillespie",2004,republican,George W. Bush,9297.0,11553,22454
Glasscock,Texas,TX,"Texas, Glasscock",2004,democrat,John Kerry,44.0,533,1290
Glasscock,Texas,TX,"Texas, Glasscock",2004,republican,George W. Bush,488.0,533,1290
Goliad,Texas,TX,"Texas, Goliad",2004,democrat,John Kerry,1219.0,3501,7071
Goliad,Texas,TX,"Texas, Goliad",2004,republican,George W. Bush,2267.0,3501,7071
Gonzales,Texas,TX,"Texas, Gonzales",2004,democrat,John Kerry,1709.0,6022,19370
Gonzales,Texas,TX,"Texas, Gonzales",2004,republican,George W. Bush,4291.0,6022,19370
Gray,Texas,TX,"Texas, Gray",2004,democrat,John Kerry,1289.0,8572,21551
Gray,Texas,TX,"Texas, Gray",2004,republican,George W. Bush,7260.0,8572,21551
Grayson,Texas,TX,"Texas, Grayson",2004,democrat,John Kerry,13452.0,44423,114998
Grayson,Texas,TX,"Texas, Grayson",2004,republican,George W. Bush,30777.0,44423,114998
Gregg,Texas,TX,"Texas, Gregg",2004,democrat,John Kerry,12306.0,42398,114541
Gregg,Texas,TX,"Texas, Gregg",2004,republican,George W. Bush,29939.0,42398,114541
Grimes,Texas,TX,"Texas, Grimes",2004,democrat,John Kerry,2713.0,8030,25209
Grimes,Texas,TX,"Texas, Grimes",2004,republican,George W. Bush,5263.0,8030,25209
Guadalupe,Texas,TX,"Texas, Guadalupe",2004,democrat,John Kerry,10290.0,38752,101495
Guadalupe,Texas,TX,"Texas, Guadalupe",2004,republican,George W. Bush,28208.0,38752,101495
Hale,Texas,TX,"Texas, Hale",2004,democrat,John Kerry,2078.0,10154,36259
Hale,Texas,TX,"Texas, Hale",2004,republican,George W. Bush,8025.0,10154,36259
Hall,Texas,TX,"Texas, Hall",2004,democrat,John Kerry,413.0,1277,3665
Hall,Texas,TX,"Texas, Hall",2004,republican,George W. Bush,860.0,1277,3665
Hamilton,Texas,TX,"Texas, Hamilton",2004,democrat,John Kerry,845.0,3730,8181
Hamilton,Texas,TX,"Texas, Hamilton",2004,republican,George W. Bush,2856.0,3730,8181
Hansford,Texas,TX,"Texas, Hansford",2004,democrat,John Kerry,240.0,2147,5209
Hansford,Texas,TX,"Texas, Hansford",2004,republican,George W. Bush,1903.0,2147,5209
Hardeman,Texas,TX,"Texas, Hardeman",2004,democrat,John Kerry,480.0,1702,4474
Hardeman,Texas,TX,"Texas, Hardeman",2004,republican,George W. Bush,1214.0,1702,4474
Hardin,Texas,TX,"Texas, Hardin",2004,democrat,John Kerry,5608.0,20710,50220
Hardin,Texas,TX,"Texas, Hardin",2004,republican,George W. Bush,15030.0,20710,50220
Harris,Texas,TX,"Texas, Harris",2004,democrat,John Kerry,475865.0,1067968,3630185
Harris,Texas,TX,"Texas, Harris",2004,republican,George W. Bush,584723.0,1067968,3630185
Harrison,Texas,TX,"Texas, Harrison",2004,democrat,John Kerry,9642.0,26223,62583
Harrison,Texas,TX,"Texas, Harrison",2004,republican,George W. Bush,16473.0,26223,62583
Hartley,Texas,TX,"Texas, Hartley",2004,democrat,John Kerry,315.0,2059,5800
Hartley,Texas,TX,"Texas, Hartley",2004,republican,George W. Bush,1736.0,2059,5800
Haskell,Texas,TX,"Texas, Haskell",2004,democrat,John Kerry,867.0,2416,5851
