Location,State_Code_x,County,State,State_Code_y,Party,Candidate,Total_Votes,County_Pop_2016
"Alabama, Henry",AL,Henry,Alabama,AL,democrat,Hillary Clinton,8072,"17,072"
"Alabama, Henry",AL,Henry,Alabama,AL,republican,Donald Trump,8072,"17,072"
"Alabama, Houston",AL,Houston,Alabama,AL,democrat,Hillary Clinton,42639,"104,218"
"Alabama, Houston",AL,Houston,Alabama,AL,republican,Donald Trump,42639,"104,218"
"Alabama, Jackson",AL,Jackson,Alabama,AL,democrat,Hillary Clinton,20984,"51,988"
"Alabama, Jackson",AL,Jackson,Alabama,AL,republican,Donald Trump,20984,"51,988"
"Alabama, Jefferson",AL,Jefferson,Alabama,AL,democrat,Hillary Clinton,304191,"660,343"
"Alabama, Jefferson",AL,Jefferson,Alabama,AL,republican,Donald Trump,304191,"660,343"
"Alabama, Lamar",AL,Lamar,Alabama,AL,democrat,Hillary Clinton,6966,"13,928"
"Alabama, Lamar",AL,Lamar,Alabama,AL,republican,Donald Trump,6966,"13,928"
"Alabama, Lauderdale",AL,Lauderdale,Alabama,AL,democrat,Hillary Clinton,39525,"92,425"
"Alabama, Lauderdale",AL,Lauderdale,Alabama,AL,republican,Donald Trump,39525,"92,425"
"Alabama, Lawrence",AL,Lawrence,Alabama,AL,democrat,Hillary Clinton,14829,"33,227"
"Alabama, Lawrence",AL,Lawrence,Alabama,AL,republican,Donald Trump,14829,"33,227"
"Alabama, Lee",AL,Lee,Alabama,AL,democrat,Hillary Clinton,59191,"159,168"
"Alabama, Lee",AL,Lee,Alabama,AL,republican,Donald Trump,59191,"159,168"
"Alabama, Limestone",AL,Limestone,Alabama,AL,democrat,Hillary Clinton,40294,"92,847"
"Alabama, Limestone",AL,Limestone,Alabama,AL,republican,Donald Trump,40294,"92,847"
"Alabama, Lowndes",AL,Lowndes,Alabama,AL,democrat,Hillary Clinton,6684,"10,248"
"Alabama, Lowndes",AL,Lowndes,Alabama,AL,republican,Donald Trump,6684,"10,248"
"Alabama, Macon",AL,Macon,Alabama,AL,democrat,Hillary Clinton,9140,"19,060"
"Alabama, Macon",AL,Macon,Alabama,AL,republican,Donald Trump,9140,"19,060"
"Alabama, Madison",AL,Madison,Alabama,AL,democrat,Hillary Clinton,163389,"356,729"
"Alabama, Madison",AL,Madison,Alabama,AL,republican,Donald Trump,163389,"356,729"
"Alabama, Marengo",AL,Marengo,Alabama,AL,democrat,Hillary Clinton,10994,"19,525"
"Alabama, Marengo",AL,Marengo,Alabama,AL,republican,Donald Trump,10994,"19,525"
"Alabama, Marion",AL,Marion,Alabama,AL,democrat,Hillary Clinton,12984,"29,960"
"Alabama, Marion",AL,Marion,Alabama,AL,republican,Donald Trump,12984,"29,960"
"Alabama, Marshall",AL,Marshall,Alabama,AL,democrat,Hillary Clinton,35316,"95,113"
"Alabama, Marshall",AL,Marshall,Alabama,AL,republican,Donald Trump,35316,"95,113"
"Alabama, Mobile",AL,Mobile,Alabama,AL,democrat,Hillary Clinton,172737,"414,945"
"Alabama, Mobile",AL,Mobile,Alabama,AL,republican,Donald Trump,172737,"414,945"
"Alabama, Monroe",AL,Monroe,Alabama,AL,democrat,Hillary Clinton,10271,"21,548"
"Alabama, Monroe",AL,Monroe,Alabama,AL,republican,Donald Trump,10271,"21,548"
"Alabama, Montgomery",AL,Montgomery,Alabama,AL,democrat,Hillary Clinton,95878,"227,170"
"Alabama, Montgomery",AL,Montgomery,Alabama,AL,republican,Donald Trump,95878,"227,170"
"Alabama, Morgan",AL,Morgan,Alabama,AL,democrat,Hillary Clinton,50644,"119,006"
"Alabama, Morgan",AL,Morgan,Alabama,AL,republican,Donald Trump,50644,"119,006"
"Alabama, Perry",AL,Perry,Alabama,AL,democrat,Hillary Clinton,5278,"9,532"
"Alabama, Perry",AL,Perry,Alabama,AL,republican,Donald Trump,5278,"9,532"
"Alabama, Pickens",AL,Pickens,Alabama,AL,democrat,Hillary Clinton,9542,"20,325"
"Alabama, Pickens",AL,Pickens,Alabama,AL,republican,Donald Trump,9542,"20,325"
"Alabama, Pike",AL,Pike,Alabama,AL,democrat,Hillary Clinton,13168,"33,464"
"Alabama, Pike",AL,Pike,Alabama,AL,republican,Donald Trump,13168,"33,464"
